,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001995,0.00002036,0.00001860,0.00001991,3934571.00000000,2019-05-24 08:59:59.999,77.49667672,5410,1714341.00000000,33.85986709,0
1,2019-05-24 09:00:00.000,0.00001988,0.00002297,0.00001917,0.00002001,5660118.00000000,2019-05-25 08:59:59.999,118.12131865,7403,2558830.00000000,53.52756894,0
2,2019-05-25 09:00:00.000,0.00002002,0.00002080,0.00001944,0.00002023,1847170.00000000,2019-05-26 08:59:59.999,36.85694188,2590,890237.00000000,17.76329862,0
3,2019-05-26 09:00:00.000,0.00002023,0.00002205,0.00001888,0.00001935,4608435.00000000,2019-05-27 08:59:59.999,93.76736856,6580,2022848.00000000,41.35549950,0
4,2019-05-27 09:00:00.000,0.00001930,0.00001976,0.00001879,0.00001946,1222097.00000000,2019-05-28 08:59:59.999,23.56564517,2320,487165.00000000,9.40083152,0
5,2019-05-28 09:00:00.000,0.00001938,0.00002072,0.00001909,0.00001995,2229767.00000000,2019-05-29 08:59:59.999,44.22411980,3609,992478.00000000,19.75492788,0
6,2019-05-29 09:00:00.000,0.00001999,0.00002240,0.00001995,0.00002032,5225764.00000000,2019-05-30 08:59:59.999,109.37978620,7102,2226595.00000000,46.73742531,0
7,2019-05-30 09:00:00.000,0.00002032,0.00002192,0.00001956,0.00001990,6243726.00000000,2019-05-31 08:59:59.999,128.22834961,8271,2781643.00000000,57.34007440,0
8,2019-05-31 09:00:00.000,0.00001990,0.00002057,0.00001986,0.00002044,1624237.00000000,2019-06-01 08:59:59.999,32.69581049,2602,706534.00000000,14.24959382,0
9,2019-06-01 09:00:00.000,0.00002045,0.00002072,0.00001959,0.00001984,1636274.00000000,2019-06-02 08:59:59.999,33.21244732,2310,598386.00000000,12.16406967,0
10,2019-06-02 09:00:00.000,0.00001982,0.00002031,0.00001950,0.00002031,1581628.00000000,2019-06-03 08:59:59.999,31.37835738,2125,826230.00000000,16.42778648,0
11,2019-06-03 09:00:00.000,0.00002030,0.00002051,0.00001929,0.00001944,1552891.00000000,2019-06-04 08:59:59.999,31.07804135,2452,771861.00000000,15.50653367,0
