,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00007380,0.00007430,0.00006640,0.00006800,1873562.25000000,2019-05-24 08:59:59.999,128.85553291,5589,840630.55000000,57.78146969,0
1,2019-05-24 09:00:00.000,0.00006780,0.00007340,0.00006780,0.00007050,1848853.99000000,2019-05-25 08:59:59.999,130.78254715,6376,780304.12000000,55.27947447,0
2,2019-05-25 09:00:00.000,0.00007040,0.00007850,0.00006940,0.00007560,2761646.13000000,2019-05-26 08:59:59.999,205.12340485,10008,1224691.95000000,90.90331000,0
3,2019-05-26 09:00:00.000,0.00007570,0.00007990,0.00006350,0.00006810,4010182.00000000,2019-05-27 08:59:59.999,291.43067050,15531,1706357.17000000,125.19331715,0
4,2019-05-27 09:00:00.000,0.00006810,0.00006870,0.00006440,0.00006600,1944339.29000000,2019-05-28 08:59:59.999,128.48404255,7136,873579.43000000,57.79699685,0
5,2019-05-28 09:00:00.000,0.00006600,0.00007170,0.00006520,0.00006780,3071358.91000000,2019-05-29 08:59:59.999,210.75083393,10879,1391041.37000000,95.51927513,0
6,2019-05-29 09:00:00.000,0.00006770,0.00006810,0.00006450,0.00006520,1197431.39000000,2019-05-30 08:59:59.999,79.28072770,4647,493568.05000000,32.74683704,0
7,2019-05-30 09:00:00.000,0.00006520,0.00006740,0.00006110,0.00006240,2760360.76000000,2019-05-31 08:59:59.999,177.86490643,10030,1296696.50000000,83.61342416,0
8,2019-05-31 09:00:00.000,0.00006210,0.00006350,0.00006120,0.00006320,1038358.44000000,2019-06-01 08:59:59.999,64.82390579,3818,457112.45000000,28.55304202,0
9,2019-06-01 09:00:00.000,0.00006330,0.00006450,0.00005970,0.00006120,1329650.24000000,2019-06-02 08:59:59.999,82.28343609,5451,621691.78000000,38.51602886,0
10,2019-06-02 09:00:00.000,0.00006110,0.00006520,0.00006100,0.00006440,1587082.22000000,2019-06-03 08:59:59.999,100.16468716,6227,640694.79000000,40.50559794,0
11,2019-06-03 09:00:00.000,0.00006440,0.00006480,0.00006000,0.00006140,1431387.50000000,2019-06-04 08:59:59.999,89.61997114,5435,610339.88000000,38.32989499,0
12,2019-06-04 09:00:00.000,0.00006140,0.00006430,0.00006000,0.00006300,1196349.77000000,2019-06-05 08:59:59.999,74.30073961,4684,570651.70000000,35.50013214,0
13,2019-06-05 09:00:00.000,0.00006300,0.00006830,0.00006200,0.00006510,2925742.52000000,2019-06-06 08:59:59.999,189.88465319,10913,1332593.24000000,86.49217099,0
14,2019-06-06 09:00:00.000,0.00006510,0.00006540,0.00006290,0.00006430,1403003.18000000,2019-06-07 08:59:59.999,89.38903913,5285,733160.67000000,46.75802456,0
15,2019-06-07 09:00:00.000,0.00006400,0.00006460,0.00006260,0.00006360,689479.56000000,2019-06-08 08:59:59.999,43.79801960,2952,278695.08000000,17.72352227,0
