,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000614,0.00000713,0.00000605,0.00000666,44435427.00000000,2019-05-24 08:59:59.999,291.45395342,18095,29264755.00000000,191.57647190,0
1,2019-05-24 09:00:00.000,0.00000667,0.00000710,0.00000602,0.00000614,41403741.00000000,2019-05-25 08:59:59.999,273.65970007,12304,16631230.00000000,108.76440630,0
2,2019-05-25 09:00:00.000,0.00000615,0.00000637,0.00000589,0.00000603,24166942.00000000,2019-05-26 08:59:59.999,148.77004046,9996,12819331.00000000,79.20879224,0
3,2019-05-26 09:00:00.000,0.00000603,0.00000620,0.00000526,0.00000546,28348714.00000000,2019-05-27 08:59:59.999,166.83707415,11582,15566673.00000000,92.15046088,0
4,2019-05-27 09:00:00.000,0.00000545,0.00000569,0.00000527,0.00000548,22094286.00000000,2019-05-28 08:59:59.999,120.61135836,11209,13717590.00000000,75.20341322,0
5,2019-05-28 09:00:00.000,0.00000548,0.00000576,0.00000537,0.00000550,24269393.00000000,2019-05-29 08:59:59.999,135.06463209,6963,16581392.00000000,92.39165146,0
6,2019-05-29 09:00:00.000,0.00000551,0.00000575,0.00000531,0.00000558,33345691.00000000,2019-05-30 08:59:59.999,185.87222796,9932,22058721.00000000,122.97577925,0
7,2019-05-30 09:00:00.000,0.00000557,0.00000602,0.00000542,0.00000565,68265446.00000000,2019-05-31 08:59:59.999,396.97638090,20438,44232184.00000000,258.44676940,0
8,2019-05-31 09:00:00.000,0.00000565,0.00000637,0.00000550,0.00000606,43122121.00000000,2019-06-01 08:59:59.999,249.12562538,12671,29510546.00000000,169.66093762,0
9,2019-06-01 09:00:00.000,0.00000607,0.00000634,0.00000578,0.00000590,35657821.00000000,2019-06-02 08:59:59.999,213.98687887,9264,16578947.00000000,99.75087657,0
10,2019-06-02 09:00:00.000,0.00000591,0.00000606,0.00000576,0.00000599,18461768.00000000,2019-06-03 08:59:59.999,108.21072477,4519,9787827.00000000,57.46091745,0
11,2019-06-03 09:00:00.000,0.00000600,0.00000625,0.00000586,0.00000596,19735881.00000000,2019-06-04 08:59:59.999,119.46118474,5915,7447197.00000000,45.20632672,0
12,2019-06-04 09:00:00.000,0.00000596,0.00000617,0.00000590,0.00000603,20849663.00000000,2019-06-05 08:59:59.999,125.07177350,3604,5963451.00000000,35.91889549,0
13,2019-06-05 09:00:00.000,0.00000603,0.00000639,0.00000603,0.00000635,24468999.00000000,2019-06-06 08:59:59.999,152.18403111,6132,11256703.00000000,70.20981141,0
14,2019-06-06 09:00:00.000,0.00000633,0.00000635,0.00000603,0.00000612,11968964.00000000,2019-06-07 08:59:59.999,74.04267557,3002,4032788.00000000,24.97597763,0
15,2019-06-07 09:00:00.000,0.00000613,0.00000656,0.00000611,0.00000641,12411462.00000000,2019-06-08 08:59:59.999,78.65468588,4295,5685471.00000000,35.99293365,0
16,2019-06-08 09:00:00.000,0.00000642,0.00000656,0.00000629,0.00000639,7624715.00000000,2019-06-09 08:59:59.999,49.02354903,2757,3333644.00000000,21.49247042,0
17,2019-06-09 09:00:00.000,0.00000639,0.00000649,0.00000584,0.00000600,12595770.00000000,2019-06-10 08:59:59.999,77.22144139,4893,4664502.00000000,28.66326601,0
18,2019-06-10 09:00:00.000,0.00000601,0.00000642,0.00000598,0.00000621,15767014.00000000,2019-06-11 08:59:59.999,97.97756963,4107,5633183.00000000,35.09547067,0
19,2019-06-11 09:00:00.000,0.00000621,0.00000625,0.00000601,0.00000610,14965761.00000000,2019-06-12 08:59:59.999,91.23586243,3261,5114599.00000000,31.25502804,0
20,2019-06-12 09:00:00.000,0.00000611,0.00000736,0.00000587,0.00000634,78586977.00000000,2019-06-13 08:59:59.999,512.05384232,16907,39181492.00000000,256.55770691,0
21,2019-06-13 09:00:00.000,0.00000635,0.00000646,0.00000578,0.00000585,28193183.00000000,2019-06-14 08:59:59.999,174.13991009,8270,10716451.00000000,66.42602142,0
22,2019-06-14 09:00:00.000,0.00000587,0.00000598,0.00000505,0.00000525,38689021.00000000,2019-06-15 08:59:59.999,211.97152360,7788,16430664.00000000,90.00618931,0
23,2019-06-15 09:00:00.000,0.00000525,0.00000564,0.00000521,0.00000528,35099167.00000000,2019-06-16 08:59:59.999,191.44362105,11140,23596084.00000000,129.26461910,0
24,2019-06-16 09:00:00.000,0.00000528,0.00000531,0.00000484,0.00000511,27392623.00000000,2019-06-17 08:59:59.999,137.65435429,7939,14632510.00000000,73.59567721,0
25,2019-06-17 09:00:00.000,0.00000512,0.00000559,0.00000495,0.00000506,34690325.00000000,2019-06-18 08:59:59.999,182.71203997,11729,21941581.00000000,116.06559235,0
26,2019-06-18 09:00:00.000,0.00000505,0.00000549,0.00000505,0.00000521,22263691.00000000,2019-06-19 08:59:59.999,117.26776703,8342,13096833.00000000,69.15783024,0
27,2019-06-19 09:00:00.000,0.00000522,0.00000557,0.00000502,0.00000540,38735110.00000000,2019-06-20 08:59:59.999,206.90189164,12559,24129132.00000000,129.40184974,0
28,2019-06-20 09:00:00.000,0.00000541,0.00000564,0.00000488,0.00000519,31695805.00000000,2019-06-21 08:59:59.999,169.05644624,11643,18592483.00000000,100.24350097,0
29,2019-06-21 09:00:00.000,0.00000519,0.00000523,0.00000439,0.00000440,32879317.00000000,2019-06-22 08:59:59.999,160.55191974,11564,19728692.00000000,97.02811684,0
30,2019-06-22 09:00:00.000,0.00000439,0.00000453,0.00000403,0.00000411,65388639.00000000,2019-06-23 08:59:59.999,276.49044369,16639,38449626.00000000,162.84550264,0
31,2019-06-23 09:00:00.000,0.00000411,0.00000443,0.00000373,0.00000387,37945354.00000000,2019-06-24 08:59:59.999,156.48399731,8956,20298861.00000000,84.00344826,0
32,2019-06-24 09:00:00.000,0.00000387,0.00000414,0.00000371,0.00000378,44212530.00000000,2019-06-25 08:59:59.999,174.12844846,14697,29039408.00000000,115.00456070,0
33,2019-06-25 09:00:00.000,0.00000378,0.00000388,0.00000333,0.00000337,65623849.00000000,2019-06-26 08:59:59.999,241.32548857,21291,44981143.00000000,167.02479160,0
34,2019-06-26 09:00:00.000,0.00000337,0.00000352,0.00000247,0.00000279,105903501.00000000,2019-06-27 08:59:59.999,322.35896228,29064,66737955.00000000,205.19420829,0
35,2019-06-27 09:00:00.000,0.00000279,0.00000330,0.00000266,0.00000292,69883607.00000000,2019-06-28 08:59:59.999,211.07557329,19014,45280607.00000000,137.33674442,0
36,2019-06-28 09:00:00.000,0.00000294,0.00000309,0.00000250,0.00000256,56524055.00000000,2019-06-29 08:59:59.999,160.92643113,13854,36445162.00000000,105.05743845,0
37,2019-06-29 09:00:00.000,0.00000256,0.00000294,0.00000251,0.00000285,34977152.00000000,2019-06-30 08:59:59.999,96.63839558,5548,20646977.00000000,57.03885412,0
38,2019-06-30 09:00:00.000,0.00000284,0.00000304,0.00000272,0.00000298,63395617.00000000,2019-07-01 08:59:59.999,182.90092207,19021,47504314.00000000,137.51009418,0
39,2019-07-01 09:00:00.000,0.00000299,0.00000348,0.00000299,0.00000317,53819341.00000000,2019-07-02 08:59:59.999,174.63162410,9244,26117291.00000000,84.78216624,0
40,2019-07-02 09:00:00.000,0.00000318,0.00000342,0.00000291,0.00000299,46057387.00000000,2019-07-03 08:59:59.999,149.20299892,9792,25219508.00000000,82.26476554,0
41,2019-07-03 09:00:00.000,0.00000299,0.00000319,0.00000270,0.00000274,50863551.00000000,2019-07-04 08:59:59.999,148.40543408,8543,28811133.00000000,84.02204142,0
42,2019-07-04 09:00:00.000,0.00000274,0.00000309,0.00000272,0.00000298,43226436.00000000,2019-07-05 08:59:59.999,127.72965485,9324,24476283.00000000,72.70717369,0
43,2019-07-05 09:00:00.000,0.00000297,0.00000317,0.00000284,0.00000302,24455061.00000000,2019-07-06 08:59:59.999,73.22657042,3959,11462742.00000000,34.29367933,0
44,2019-07-06 09:00:00.000,0.00000303,0.00000305,0.00000279,0.00000289,14145935.00000000,2019-07-07 08:59:59.999,40.64496673,2605,6961982.00000000,20.00705288,0
45,2019-07-07 09:00:00.000,0.00000290,0.00000308,0.00000284,0.00000286,18922669.00000000,2019-07-08 08:59:59.999,56.44554298,4542,11520243.00000000,34.64419806,0
46,2019-07-08 09:00:00.000,0.00000286,0.00000302,0.00000260,0.00000269,41032498.00000000,2019-07-09 08:59:59.999,118.41934858,9956,26664713.00000000,77.98465539,0
47,2019-07-09 09:00:00.000,0.00000269,0.00000279,0.00000253,0.00000257,30060881.00000000,2019-07-10 08:59:59.999,79.11592412,6409,18327841.00000000,48.36911664,0
48,2019-07-10 09:00:00.000,0.00000256,0.00000257,0.00000221,0.00000233,50504197.00000000,2019-07-11 08:59:59.999,119.15946111,11672,32028867.00000000,75.91791209,0
49,2019-07-11 09:00:00.000,0.00000233,0.00000244,0.00000217,0.00000234,15136963.00000000,2019-07-12 08:59:59.999,35.02727145,3305,7253648.00000000,16.84890703,0
50,2019-07-12 09:00:00.000,0.00000235,0.00000241,0.00000222,0.00000233,32269115.00000000,2019-07-13 08:59:59.999,75.10194654,3896,21936192.00000000,51.24439286,0
51,2019-07-13 09:00:00.000,0.00000233,0.00000249,0.00000229,0.00000236,28370865.00000000,2019-07-14 08:59:59.999,68.89767612,3340,20403382.00000000,49.64250356,0
52,2019-07-14 09:00:00.000,0.00000236,0.00000249,0.00000226,0.00000239,39327352.00000000,2019-07-15 08:59:59.999,93.58582047,8632,29430694.00000000,70.13408041,0
53,2019-07-15 09:00:00.000,0.00000240,0.00000245,0.00000223,0.00000228,25069648.00000000,2019-07-16 08:59:59.999,58.83363892,3745,17491277.00000000,41.09506281,0
54,2019-07-16 09:00:00.000,0.00000228,0.00000242,0.00000226,0.00000233,34485300.00000000,2019-07-17 08:59:59.999,80.45274624,9163,29320714.00000000,68.41375186,0
55,2019-07-17 09:00:00.000,0.00000234,0.00000253,0.00000232,0.00000245,30025399.00000000,2019-07-18 08:59:59.999,73.28968475,3264,23992543.00000000,58.60756913,0
56,2019-07-18 09:00:00.000,0.00000246,0.00000255,0.00000237,0.00000241,24965280.00000000,2019-07-19 08:59:59.999,61.67030506,3075,17438171.00000000,43.15551125,0
57,2019-07-19 09:00:00.000,0.00000241,0.00000254,0.00000234,0.00000252,30242882.00000000,2019-07-20 08:59:59.999,73.42135943,2347,24551411.00000000,59.64901585,0
58,2019-07-20 09:00:00.000,0.00000251,0.00000267,0.00000243,0.00000254,37554049.00000000,2019-07-21 08:59:59.999,95.81148748,5838,29021776.00000000,74.09747648,0
59,2019-07-21 09:00:00.000,0.00000254,0.00000271,0.00000249,0.00000266,21243512.00000000,2019-07-22 08:59:59.999,55.33398169,3104,13095989.00000000,34.21876454,0
60,2019-07-22 09:00:00.000,0.00000267,0.00000294,0.00000265,0.00000293,30148119.00000000,2019-07-23 08:59:59.999,83.37667247,4897,21123051.00000000,58.20645906,0
