,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00002660,0.00002670,0.00002530,0.00002570,7923926.94000000,2019-05-24 08:59:59.999,206.33926803,6591,3658337.57000000,95.50804137,0
1,2019-05-24 09:00:00.000,0.00002580,0.00002730,0.00002430,0.00002540,8994345.25000000,2019-05-25 08:59:59.999,230.72903982,7933,3978634.06000000,102.54218692,0
2,2019-05-25 09:00:00.000,0.00002530,0.00002570,0.00002460,0.00002490,2938245.36000000,2019-05-26 08:59:59.999,73.44766147,2959,1216750.55000000,30.48956377,0
3,2019-05-26 09:00:00.000,0.00002500,0.00002560,0.00002220,0.00002250,8043183.21000000,2019-05-27 08:59:59.999,192.93594665,6611,2698642.27000000,65.20001731,0
4,2019-05-27 09:00:00.000,0.00002240,0.00002330,0.00002160,0.00002270,7337869.98000000,2019-05-28 08:59:59.999,164.47535206,5609,3471147.81000000,78.10766259,0
5,2019-05-28 09:00:00.000,0.00002260,0.00002380,0.00002220,0.00002270,5856255.97000000,2019-05-29 08:59:59.999,133.82301761,5615,2688068.68000000,61.60117284,0
6,2019-05-29 09:00:00.000,0.00002270,0.00002390,0.00002190,0.00002350,7530484.20000000,2019-05-30 08:59:59.999,172.87125900,4947,3199945.17000000,73.51206171,0
7,2019-05-30 09:00:00.000,0.00002350,0.00002570,0.00002240,0.00002300,10707179.02000000,2019-05-31 08:59:59.999,257.55417404,10297,4768072.75000000,115.60328705,0
8,2019-05-31 09:00:00.000,0.00002310,0.00002830,0.00002240,0.00002750,20057816.57000000,2019-06-01 08:59:59.999,509.67058181,19250,10216838.45000000,261.42063645,0
9,2019-06-01 09:00:00.000,0.00002750,0.00002920,0.00002440,0.00002860,24216678.90000000,2019-06-02 08:59:59.999,640.11646821,25611,10299614.44000000,274.26430467,0
10,2019-06-02 09:00:00.000,0.00002860,0.00003050,0.00002640,0.00002700,15485716.63000000,2019-06-03 08:59:59.999,442.68905254,18617,6840783.39000000,196.89482888,0
11,2019-06-03 09:00:00.000,0.00002700,0.00002720,0.00002480,0.00002520,9172272.22000000,2019-06-04 08:59:59.999,239.01527251,9249,3553914.54000000,92.94159785,0
12,2019-06-04 09:00:00.000,0.00002510,0.00002590,0.00002440,0.00002540,6269016.01000000,2019-06-05 08:59:59.999,157.35792914,5611,2824723.43000000,71.12057513,0
13,2019-06-05 09:00:00.000,0.00002540,0.00002640,0.00002360,0.00002400,8154326.02000000,2019-06-06 08:59:59.999,200.87676403,7574,3116106.01000000,77.02928155,0
14,2019-06-06 09:00:00.000,0.00002410,0.00002470,0.00002380,0.00002420,5544467.25000000,2019-06-07 08:59:59.999,134.32484188,3915,2608949.09000000,63.40388413,0
15,2019-06-07 09:00:00.000,0.00002430,0.00002550,0.00002390,0.00002500,4210317.91000000,2019-06-08 08:59:59.999,104.29195437,3683,2000428.08000000,49.64399042,0
16,2019-06-08 09:00:00.000,0.00002500,0.00002530,0.00002430,0.00002460,2259393.30000000,2019-06-09 08:59:59.999,55.74069614,2473,846325.81000000,20.91666796,0
17,2019-06-09 09:00:00.000,0.00002460,0.00002510,0.00002320,0.00002380,3563206.04000000,2019-06-10 08:59:59.999,86.68864318,2925,1338090.20000000,32.72445689,0
18,2019-06-10 09:00:00.000,0.00002380,0.00002480,0.00002380,0.00002440,3287898.23000000,2019-06-11 08:59:59.999,80.09551569,2615,1621793.58000000,39.57405865,0
19,2019-06-11 09:00:00.000,0.00002430,0.00002520,0.00002410,0.00002490,3205685.41000000,2019-06-12 08:59:59.999,79.26359059,2698,1803962.33000000,44.73878321,0
20,2019-06-12 09:00:00.000,0.00002500,0.00002520,0.00002370,0.00002370,3109907.08000000,2019-06-13 08:59:59.999,75.78867401,2638,1271513.50000000,31.06503997,0
21,2019-06-13 09:00:00.000,0.00002390,0.00002400,0.00002240,0.00002260,8798905.16000000,2019-06-14 08:59:59.999,202.55348868,5677,3893987.24000000,89.89155610,0
22,2019-06-14 09:00:00.000,0.00002260,0.00002280,0.00001950,0.00002020,10340135.90000000,2019-06-15 08:59:59.999,217.98437134,7798,4347359.99000000,91.59670682,0
23,2019-06-15 09:00:00.000,0.00002020,0.00002100,0.00001840,0.00001950,6356529.19000000,2019-06-16 08:59:59.999,127.09560515,4683,2821577.12000000,56.59886706,0
24,2019-06-16 09:00:00.000,0.00001960,0.00002130,0.00001820,0.00001910,8910160.20000000,2019-06-17 08:59:59.999,171.28793384,6526,3950768.30000000,76.30934986,0
25,2019-06-17 09:00:00.000,0.00001910,0.00001940,0.00001680,0.00001740,6468260.94000000,2019-06-18 08:59:59.999,118.43252078,4588,2787439.55000000,51.06417599,0
26,2019-06-18 09:00:00.000,0.00001740,0.00001810,0.00001670,0.00001790,6705336.71000000,2019-06-19 08:59:59.999,117.04030784,4453,3064088.43000000,53.68719245,0
27,2019-06-19 09:00:00.000,0.00001790,0.00001810,0.00001710,0.00001720,4002816.00000000,2019-06-20 08:59:59.999,70.45043237,2545,1733537.81000000,30.56757094,0
28,2019-06-20 09:00:00.000,0.00001720,0.00001760,0.00001580,0.00001620,6009229.68000000,2019-06-21 08:59:59.999,99.79997444,3765,2341725.83000000,38.83488734,0
29,2019-06-21 09:00:00.000,0.00001610,0.00001640,0.00001430,0.00001430,5503752.17000000,2019-06-22 08:59:59.999,84.79733178,3091,1898506.63000000,29.40271092,0
30,2019-06-22 09:00:00.000,0.00001430,0.00001470,0.00001250,0.00001370,9994753.13000000,2019-06-23 08:59:59.999,133.82894561,5889,4656670.79000000,62.46815940,0
31,2019-06-23 09:00:00.000,0.00001370,0.00001440,0.00001220,0.00001290,6181063.01000000,2019-06-24 08:59:59.999,82.79188316,3751,2762889.05000000,37.23303241,0
32,2019-06-24 09:00:00.000,0.00001300,0.00001400,0.00001260,0.00001320,3908234.99000000,2019-06-25 08:59:59.999,51.81165271,2678,1984707.76000000,26.39744923,0
33,2019-06-25 09:00:00.000,0.00001330,0.00001330,0.00001180,0.00001190,5301044.45000000,2019-06-26 08:59:59.999,66.19550578,3171,2387354.14000000,29.88911219,0
34,2019-06-26 09:00:00.000,0.00001190,0.00001210,0.00000960,0.00001060,9111973.37000000,2019-06-27 08:59:59.999,101.93881846,5818,4146941.60000000,46.63026975,0
35,2019-06-27 09:00:00.000,0.00001060,0.00001210,0.00001030,0.00001100,6199578.57000000,2019-06-28 08:59:59.999,69.21991039,3717,3007523.36000000,33.71377454,0
36,2019-06-28 09:00:00.000,0.00001100,0.00001190,0.00001040,0.00001070,4281858.39000000,2019-06-29 08:59:59.999,47.66348239,3031,2059867.68000000,23.00742892,0
37,2019-06-29 09:00:00.000,0.00001080,0.00001150,0.00001050,0.00001120,3622375.97000000,2019-06-30 08:59:59.999,40.03485296,2450,1714758.46000000,19.05447792,0
38,2019-06-30 09:00:00.000,0.00001120,0.00001200,0.00001090,0.00001170,3885864.51000000,2019-07-01 08:59:59.999,44.74463895,2411,1734873.43000000,19.93622470,0
39,2019-07-01 09:00:00.000,0.00001170,0.00001280,0.00001170,0.00001270,4993265.61000000,2019-07-02 08:59:59.999,60.91574800,2818,2580545.69000000,31.54862236,0
40,2019-07-02 09:00:00.000,0.00001270,0.00001280,0.00001090,0.00001150,6675286.65000000,2019-07-03 08:59:59.999,79.82003616,4221,2724699.48000000,32.75834638,0
41,2019-07-03 09:00:00.000,0.00001150,0.00001170,0.00001050,0.00001060,6722288.25000000,2019-07-04 08:59:59.999,74.50617680,3642,2871006.26000000,31.91484376,0
42,2019-07-04 09:00:00.000,0.00001050,0.00001090,0.00000990,0.00001090,4988847.74000000,2019-07-05 08:59:59.999,51.89277560,2858,2402512.03000000,25.10037498,0
43,2019-07-05 09:00:00.000,0.00001090,0.00001120,0.00001050,0.00001090,3609411.71000000,2019-07-06 08:59:59.999,38.94392179,2312,1750248.06000000,18.93300299,0
44,2019-07-06 09:00:00.000,0.00001080,0.00001110,0.00001040,0.00001090,2676953.32000000,2019-07-07 08:59:59.999,28.62333658,1734,1249582.99000000,13.41112018,0
45,2019-07-07 09:00:00.000,0.00001090,0.00001220,0.00001080,0.00001180,6476786.15000000,2019-07-08 08:59:59.999,73.86856880,4388,2911755.90000000,33.44956436,0
46,2019-07-08 09:00:00.000,0.00001180,0.00001200,0.00000980,0.00001030,7633589.98000000,2019-07-09 08:59:59.999,82.56407151,4111,3288783.48000000,35.52021094,0
47,2019-07-09 09:00:00.000,0.00001040,0.00001070,0.00000920,0.00000950,5520161.19000000,2019-07-10 08:59:59.999,53.94079557,3359,2668133.89000000,26.19524243,0
48,2019-07-10 09:00:00.000,0.00000960,0.00000960,0.00000820,0.00000890,13744498.17000000,2019-07-11 08:59:59.999,118.97754710,4694,7273184.44000000,62.94049379,0
49,2019-07-11 09:00:00.000,0.00000890,0.00000940,0.00000820,0.00000860,4113334.28000000,2019-07-12 08:59:59.999,35.74680179,3048,1879515.24000000,16.43910878,0
50,2019-07-12 09:00:00.000,0.00000860,0.00000920,0.00000830,0.00000880,3195470.99000000,2019-07-13 08:59:59.999,27.72232423,2397,1565315.03000000,13.61614796,0
51,2019-07-13 09:00:00.000,0.00000880,0.00000920,0.00000840,0.00000890,3548779.90000000,2019-07-14 08:59:59.999,31.19264848,2517,1572641.29000000,13.89621412,0
52,2019-07-14 09:00:00.000,0.00000880,0.00000920,0.00000850,0.00000850,3099539.68000000,2019-07-15 08:59:59.999,27.31692743,2775,1229898.74000000,10.90571042,0
53,2019-07-15 09:00:00.000,0.00000850,0.00000860,0.00000790,0.00000800,3089533.90000000,2019-07-16 08:59:59.999,25.56383986,2012,1324805.47000000,10.99656822,0
54,2019-07-16 09:00:00.000,0.00000810,0.00000820,0.00000760,0.00000780,2768519.01000000,2019-07-17 08:59:59.999,21.88103147,1676,1092535.84000000,8.66147689,0
55,2019-07-17 09:00:00.000,0.00000780,0.00000880,0.00000750,0.00000860,5185308.57000000,2019-07-18 08:59:59.999,41.61872750,2550,2269594.03000000,18.21641131,0
56,2019-07-18 09:00:00.000,0.00000860,0.00000890,0.00000780,0.00000800,3563919.95000000,2019-07-19 08:59:59.999,29.51702939,1892,1466613.50000000,12.16647141,0
57,2019-07-19 09:00:00.000,0.00000790,0.00000820,0.00000780,0.00000810,2037622.93000000,2019-07-20 08:59:59.999,16.38648300,1094,1102122.41000000,8.89824608,0
58,2019-07-20 09:00:00.000,0.00000810,0.00000880,0.00000810,0.00000870,1646153.91000000,2019-07-21 08:59:59.999,13.75417505,1406,877947.91000000,7.37944364,0
59,2019-07-21 09:00:00.000,0.00000880,0.00000910,0.00000840,0.00000850,2253519.20000000,2019-07-22 08:59:59.999,19.63280655,1528,1114996.21000000,9.77755372,0
60,2019-07-22 09:00:00.000,0.00000860,0.00000900,0.00000840,0.00000850,1767305.73000000,2019-07-23 08:59:59.999,15.19694781,1226,666266.82000000,5.76321588,0
61,2019-07-23 09:00:00.000,0.00000860,0.00000960,0.00000830,0.00000910,5563320.66000000,2019-07-24 08:59:59.999,49.00979074,3098,2805081.21000000,24.98689743,0
62,2019-07-24 09:00:00.000,0.00000900,0.00001000,0.00000890,0.00000970,4971846.10000000,2019-07-25 08:59:59.999,46.68006631,2729,2590258.20000000,24.50797365,0
63,2019-07-25 09:00:00.000,0.00000980,0.00001160,0.00000940,0.00001120,7836751.56000000,2019-07-26 08:59:59.999,81.33806218,4659,3627318.48000000,37.91878122,0
64,2019-07-26 09:00:00.000,0.00001120,0.00001180,0.00001050,0.00001110,9021109.95000000,2019-07-27 08:59:59.999,100.52442457,6436,4453086.33000000,49.90919926,0
65,2019-07-27 09:00:00.000,0.00001100,0.00001100,0.00000980,0.00000990,5208132.36000000,2019-07-28 08:59:59.999,53.56832170,3028,2257373.96000000,23.29281748,0
66,2019-07-28 09:00:00.000,0.00001000,0.00001170,0.00000990,0.00001060,8459461.07000000,2019-07-29 08:59:59.999,92.08287660,5509,4250597.43000000,46.28049171,0
67,2019-07-29 09:00:00.000,0.00001060,0.00001300,0.00001050,0.00001260,12794483.73000000,2019-07-30 08:59:59.999,153.59151377,7634,6690960.18000000,80.40861021,0
68,2019-07-30 09:00:00.000,0.00001260,0.00001390,0.00001180,0.00001250,14201066.58000000,2019-07-31 08:59:59.999,181.48495911,9348,7059444.22000000,90.89677512,0
69,2019-07-31 09:00:00.000,0.00001250,0.00001280,0.00001050,0.00001080,12742710.08000000,2019-08-01 08:59:59.999,147.86066590,8817,5421002.99000000,63.09688304,0
70,2019-08-01 09:00:00.000,0.00001080,0.00001110,0.00000960,0.00000990,5686219.12000000,2019-08-02 08:59:59.999,59.45451559,4849,2416334.04000000,25.53435552,0
71,2019-08-02 09:00:00.000,0.00000990,0.00000990,0.00000900,0.00000930,6568103.41000000,2019-08-03 08:59:59.999,61.83667412,4184,2944696.12000000,27.82432965,0
