,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000619,0.00000758,0.00000612,0.00000695,60295564.00000000,2019-05-24 08:59:59.999,417.97386782,18653,29013504.00000000,201.71649264,0
1,2019-05-24 09:00:00.000,0.00000693,0.00000808,0.00000627,0.00000634,57798431.00000000,2019-05-25 08:59:59.999,416.58103547,16780,25271020.00000000,183.17150967,0
2,2019-05-25 09:00:00.000,0.00000634,0.00000649,0.00000593,0.00000606,21307178.00000000,2019-05-26 08:59:59.999,131.58777425,5401,9808659.00000000,60.76865716,0
3,2019-05-26 09:00:00.000,0.00000606,0.00000635,0.00000519,0.00000538,23483134.00000000,2019-05-27 08:59:59.999,138.39440255,6257,10173109.00000000,60.28518880,0
4,2019-05-27 09:00:00.000,0.00000538,0.00000551,0.00000512,0.00000527,18568376.00000000,2019-05-28 08:59:59.999,98.03617057,5399,8249916.00000000,43.59712151,0
5,2019-05-28 09:00:00.000,0.00000527,0.00000593,0.00000523,0.00000561,26547379.00000000,2019-05-29 08:59:59.999,149.79432643,7110,13293963.00000000,75.12594508,0
6,2019-05-29 09:00:00.000,0.00000562,0.00000572,0.00000540,0.00000556,12994894.00000000,2019-05-30 08:59:59.999,71.91494266,3086,6601063.00000000,36.57264095,0
7,2019-05-30 09:00:00.000,0.00000555,0.00000574,0.00000514,0.00000535,16730284.00000000,2019-05-31 08:59:59.999,91.56240858,4695,7488980.00000000,41.10015505,0
8,2019-05-31 09:00:00.000,0.00000535,0.00000546,0.00000524,0.00000538,5863947.00000000,2019-06-01 08:59:59.999,31.27322325,1914,2562734.00000000,13.71550552,0
9,2019-06-01 09:00:00.000,0.00000538,0.00000541,0.00000520,0.00000534,7281412.00000000,2019-06-02 08:59:59.999,38.64140703,1905,3267382.00000000,17.36954292,0
10,2019-06-02 09:00:00.000,0.00000533,0.00000589,0.00000532,0.00000568,15711700.00000000,2019-06-03 08:59:59.999,87.73292935,4888,7691308.00000000,43.01490080,0
11,2019-06-03 09:00:00.000,0.00000567,0.00000582,0.00000535,0.00000539,9308934.00000000,2019-06-04 08:59:59.999,51.88858505,2740,4052739.00000000,22.65560750,0
12,2019-06-04 09:00:00.000,0.00000540,0.00000568,0.00000524,0.00000546,9861203.00000000,2019-06-05 08:59:59.999,53.91910290,2901,4711339.00000000,25.79385994,0
13,2019-06-05 09:00:00.000,0.00000545,0.00000577,0.00000531,0.00000548,27262089.00000000,2019-06-06 08:59:59.999,152.20241612,6002,13212043.00000000,73.95408326,0
14,2019-06-06 09:00:00.000,0.00000548,0.00000568,0.00000541,0.00000554,6329624.00000000,2019-06-07 08:59:59.999,34.96359365,2152,3172929.00000000,17.55287779,0
15,2019-06-07 09:00:00.000,0.00000555,0.00000682,0.00000551,0.00000607,62749790.00000000,2019-06-08 08:59:59.999,394.36084704,14045,32628166.00000000,205.09084104,0
16,2019-06-08 09:00:00.000,0.00000605,0.00000632,0.00000577,0.00000585,27292280.00000000,2019-06-09 08:59:59.999,164.28575968,6550,11870472.00000000,71.68461966,0
17,2019-06-09 09:00:00.000,0.00000585,0.00000594,0.00000548,0.00000554,10609475.00000000,2019-06-10 08:59:59.999,60.46881907,2987,4724038.00000000,27.04422882,0
18,2019-06-10 09:00:00.000,0.00000554,0.00000594,0.00000548,0.00000586,22542683.00000000,2019-06-11 08:59:59.999,130.20747509,5269,11810729.00000000,68.01641568,0
19,2019-06-11 09:00:00.000,0.00000587,0.00000591,0.00000575,0.00000586,7561898.00000000,2019-06-12 08:59:59.999,44.08541121,1905,3254753.00000000,19.00964800,0
20,2019-06-12 09:00:00.000,0.00000586,0.00000593,0.00000565,0.00000582,12590679.00000000,2019-06-13 08:59:59.999,73.07799300,3211,5779923.00000000,33.55085914,0
21,2019-06-13 09:00:00.000,0.00000583,0.00000618,0.00000556,0.00000564,18157438.00000000,2019-06-14 08:59:59.999,107.35408312,5332,7868223.00000000,46.70806050,0
22,2019-06-14 09:00:00.000,0.00000564,0.00000608,0.00000473,0.00000495,36159397.00000000,2019-06-15 08:59:59.999,192.39691147,9368,15929335.00000000,84.42388893,0
23,2019-06-15 09:00:00.000,0.00000494,0.00000545,0.00000493,0.00000508,29612780.00000000,2019-06-16 08:59:59.999,152.72453149,6526,12804701.00000000,66.02325315,0
24,2019-06-16 09:00:00.000,0.00000508,0.00000553,0.00000482,0.00000534,33660582.00000000,2019-06-17 08:59:59.999,175.19375505,9014,15817356.00000000,82.33129983,0
25,2019-06-17 09:00:00.000,0.00000533,0.00000540,0.00000469,0.00000482,14592734.00000000,2019-06-18 08:59:59.999,73.73303675,4007,6441345.00000000,32.61312240,0
26,2019-06-18 09:00:00.000,0.00000480,0.00000502,0.00000473,0.00000493,12740518.00000000,2019-06-19 08:59:59.999,62.07549467,2927,6801753.00000000,33.17156667,0
27,2019-06-19 09:00:00.000,0.00000494,0.00000525,0.00000473,0.00000495,15665656.00000000,2019-06-20 08:59:59.999,78.26265672,4576,6699929.00000000,33.55264317,0
28,2019-06-20 09:00:00.000,0.00000496,0.00000503,0.00000445,0.00000461,13196136.00000000,2019-06-21 08:59:59.999,62.29848390,4015,5106746.00000000,24.13210778,0
29,2019-06-21 09:00:00.000,0.00000461,0.00000463,0.00000420,0.00000422,12595182.00000000,2019-06-22 08:59:59.999,55.53990810,3602,5364612.00000000,23.72940363,0
30,2019-06-22 09:00:00.000,0.00000422,0.00000439,0.00000356,0.00000386,20653192.00000000,2019-06-23 08:59:59.999,79.19068545,5273,9420980.00000000,36.12314542,0
31,2019-06-23 09:00:00.000,0.00000387,0.00000416,0.00000358,0.00000386,17789155.00000000,2019-06-24 08:59:59.999,69.60172278,4497,8370311.00000000,32.83013098,0
32,2019-06-24 09:00:00.000,0.00000385,0.00000401,0.00000373,0.00000394,10446128.00000000,2019-06-25 08:59:59.999,40.33002712,2542,5089424.00000000,19.69466274,0
33,2019-06-25 09:00:00.000,0.00000393,0.00000394,0.00000354,0.00000356,12174828.00000000,2019-06-26 08:59:59.999,45.65496634,2901,5399565.00000000,20.25701105,0
34,2019-06-26 09:00:00.000,0.00000357,0.00000373,0.00000296,0.00000332,24980890.00000000,2019-06-27 08:59:59.999,83.82238518,6077,12486972.00000000,42.04254223,0
