,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-13 09:00:00.000,0.00039750,0.00146690,0.00039750,0.00056740,3778973.98000000,2020-08-14 08:59:59.999,2588.83086475,78778,1781131.09000000,1209.94806641,0
1,2020-08-14 09:00:00.000,0.00056740,0.00061990,0.00045000,0.00052100,826067.56000000,2020-08-15 08:59:59.999,463.87495421,22771,363447.59000000,204.30284910,0
2,2020-08-15 09:00:00.000,0.00052250,0.00055000,0.00047240,0.00050520,613069.00000000,2020-08-16 08:59:59.999,307.99537706,14746,317893.90000000,159.85083665,0
3,2020-08-16 09:00:00.000,0.00050630,0.00053420,0.00050160,0.00051030,193418.37000000,2020-08-17 08:59:59.999,99.88699732,6356,88685.49000000,45.86657360,0
4,2020-08-17 09:00:00.000,0.00051330,0.00051940,0.00046830,0.00050230,274005.03000000,2020-08-18 08:59:59.999,135.26800735,6542,143308.45000000,70.57982385,0
5,2020-08-18 09:00:00.000,0.00050060,0.00054530,0.00047160,0.00048200,422631.11000000,2020-08-19 08:59:59.999,212.47229643,12197,179358.74000000,90.28010886,0
6,2020-08-19 09:00:00.000,0.00048200,0.00049330,0.00043180,0.00044620,313899.54000000,2020-08-20 08:59:59.999,142.53523423,8035,137555.33000000,62.66723793,0
7,2020-08-20 09:00:00.000,0.00044660,0.00046710,0.00042480,0.00045230,252161.95000000,2020-08-21 08:59:59.999,112.78574771,6493,109755.55000000,49.05373064,0
8,2020-08-21 09:00:00.000,0.00045090,0.00045170,0.00041550,0.00042560,192439.44000000,2020-08-22 08:59:59.999,83.66848685,5912,95168.56000000,41.37082374,0
9,2020-08-22 09:00:00.000,0.00042800,0.00049000,0.00040110,0.00045750,379980.42000000,2020-08-23 08:59:59.999,169.70444493,10637,181174.12000000,81.17160909,0
10,2020-08-23 09:00:00.000,0.00045900,0.00054820,0.00044300,0.00052800,706555.36000000,2020-08-24 08:59:59.999,356.50855420,22324,313442.04000000,158.16094975,0
11,2020-08-24 09:00:00.000,0.00052770,0.00063120,0.00052770,0.00058510,1111078.08000000,2020-08-25 08:59:59.999,649.15273317,29149,531136.96000000,310.26221839,0
12,2020-08-25 09:00:00.000,0.00058510,0.00065580,0.00056770,0.00064130,661009.78000000,2020-08-26 08:59:59.999,407.03078233,27681,315988.98000000,194.88627049,0
13,2020-08-26 09:00:00.000,0.00064130,0.00094780,0.00063090,0.00083880,1822983.13000000,2020-08-27 08:59:59.999,1429.00876280,70014,865215.79000000,676.42394986,0
14,2020-08-27 09:00:00.000,0.00083950,0.00090350,0.00064020,0.00073790,1448703.51000000,2020-08-28 08:59:59.999,1117.15099969,58134,689836.72000000,533.80653044,0
15,2020-08-28 09:00:00.000,0.00073490,0.00073830,0.00065240,0.00068780,453605.13000000,2020-08-29 08:59:59.999,309.57206080,19069,205640.96000000,140.54582626,0
16,2020-08-29 09:00:00.000,0.00068800,0.00068860,0.00062590,0.00064390,353276.38000000,2020-08-30 08:59:59.999,231.44775924,13641,158887.46000000,104.30962114,0
17,2020-08-30 09:00:00.000,0.00064410,0.00079270,0.00062520,0.00076270,628304.86000000,2020-08-31 08:59:59.999,454.62134973,27882,299093.58000000,217.39017025,0
18,2020-08-31 09:00:00.000,0.00076310,0.00076710,0.00065650,0.00070270,342271.59000000,2020-09-01 08:59:59.999,240.14637794,16789,151359.11000000,106.64917884,0
19,2020-09-01 09:00:00.000,0.00070170,0.00073070,0.00061420,0.00062000,330209.08000000,2020-09-02 08:59:59.999,218.49374659,13103,199145.33000000,131.41074287,0
20,2020-09-02 09:00:00.000,0.00062210,0.00063680,0.00051190,0.00055500,490085.46000000,2020-09-03 08:59:59.999,279.46585071,19159,240841.80000000,137.12145984,0
21,2020-09-03 09:00:00.000,0.00055570,0.00055770,0.00047490,0.00047570,356966.62000000,2020-09-04 08:59:59.999,185.93408868,13597,132751.37000000,69.39902287,0
22,2020-09-04 09:00:00.000,0.00047780,0.00055830,0.00045610,0.00053070,305305.53000000,2020-09-05 08:59:59.999,152.46907421,12504,162016.87000000,81.05711574,0
23,2020-09-05 09:00:00.000,0.00053060,0.00053430,0.00039990,0.00042640,290556.45000000,2020-09-06 08:59:59.999,132.02247119,14122,130499.51000000,59.49093400,0
24,2020-09-06 09:00:00.000,0.00042510,0.00047640,0.00037290,0.00046100,316704.17000000,2020-09-07 08:59:59.999,135.33491078,14498,145260.80000000,61.96875359,0
25,2020-09-07 09:00:00.000,0.00046090,0.00047950,0.00040630,0.00043710,173003.67000000,2020-09-08 08:59:59.999,75.40872818,9423,76961.27000000,33.67365436,0
26,2020-09-08 09:00:00.000,0.00043670,0.00044070,0.00039090,0.00039810,176725.86000000,2020-09-09 08:59:59.999,73.00754080,8843,87858.00000000,36.32060059,0
27,2020-09-09 09:00:00.000,0.00039800,0.00045380,0.00039070,0.00045110,204501.38000000,2020-09-10 08:59:59.999,84.74283375,9677,97893.22000000,40.69869280,0
28,2020-09-10 09:00:00.000,0.00045120,0.00046220,0.00042260,0.00044590,226746.52000000,2020-09-11 08:59:59.999,100.00968416,10928,100363.37000000,44.35520759,0
29,2020-09-11 09:00:00.000,0.00044650,0.00044750,0.00040000,0.00042730,153698.05000000,2020-09-12 08:59:59.999,64.76968659,8711,75608.84000000,31.78354894,0
30,2020-09-12 09:00:00.000,0.00042730,0.00046870,0.00041400,0.00045860,167260.66000000,2020-09-13 08:59:59.999,73.22078848,9664,86169.42000000,37.84565015,0
31,2020-09-13 09:00:00.000,0.00045910,0.00050860,0.00044460,0.00047930,591812.44000000,2020-09-14 08:59:59.999,284.76339305,25155,263674.30000000,126.98804827,0
32,2020-09-14 09:00:00.000,0.00047950,0.00056230,0.00046790,0.00051950,625234.83000000,2020-09-15 08:59:59.999,321.20918736,23633,321106.22000000,165.46654434,0
33,2020-09-15 09:00:00.000,0.00051930,0.00054560,0.00040000,0.00040210,685191.22000000,2020-09-16 08:59:59.999,313.03358384,25921,321897.18000000,147.33491223,0
34,2020-09-16 09:00:00.000,0.00040060,0.00041960,0.00038830,0.00040150,267057.91000000,2020-09-17 08:59:59.999,107.49389239,14729,130413.47000000,52.60205437,0
35,2020-09-17 09:00:00.000,0.00040140,0.00042260,0.00038420,0.00039340,177633.85000000,2020-09-18 08:59:59.999,70.67444484,11257,81267.44000000,32.30876463,0
36,2020-09-18 09:00:00.000,0.00039370,0.00041410,0.00038770,0.00039450,143118.68000000,2020-09-19 08:59:59.999,57.01623435,9978,68946.83000000,27.47969452,0
37,2020-09-19 09:00:00.000,0.00039450,0.00039520,0.00037070,0.00038030,155007.79000000,2020-09-20 08:59:59.999,59.01089266,9799,76730.47000000,29.24538716,0
38,2020-09-20 09:00:00.000,0.00038170,0.00038410,0.00034070,0.00034410,214344.25000000,2020-09-21 08:59:59.999,78.05595618,11212,104788.86000000,38.05014318,0
39,2020-09-21 09:00:00.000,0.00034440,0.00035610,0.00028070,0.00030520,648977.09000000,2020-09-22 08:59:59.999,199.09544212,21935,320678.16000000,98.12652739,0
40,2020-09-22 09:00:00.000,0.00030440,0.00031570,0.00028680,0.00031230,395606.68000000,2020-09-23 08:59:59.999,121.06680169,17624,207805.89000000,63.60626686,0
41,2020-09-23 09:00:00.000,0.00031240,0.00031450,0.00029370,0.00030340,163675.05000000,2020-09-24 08:59:59.999,49.79202615,10229,84042.88000000,25.54327459,0
42,2020-09-24 09:00:00.000,0.00030450,0.00031760,0.00029570,0.00031200,121333.46000000,2020-09-25 08:59:59.999,37.53190851,8812,63171.70000000,19.55063506,0
