,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001037,0.00001720,0.00001000,0.00001488,54706838.00000000,2019-05-24 08:59:59.999,756.73604412,35689,28241795.00000000,391.49095612,0
1,2019-05-24 09:00:00.000,0.00001494,0.00001720,0.00001140,0.00001172,70720570.00000000,2019-05-25 08:59:59.999,1017.43300470,45957,31713002.00000000,461.21862079,0
2,2019-05-25 09:00:00.000,0.00001172,0.00001290,0.00001102,0.00001172,17679511.00000000,2019-05-26 08:59:59.999,208.41458816,11447,7822268.00000000,92.04970403,0
3,2019-05-26 09:00:00.000,0.00001173,0.00001392,0.00001091,0.00001101,19497378.00000000,2019-05-27 08:59:59.999,243.89097156,15158,9384606.00000000,119.13203346,0
4,2019-05-27 09:00:00.000,0.00001102,0.00001124,0.00001024,0.00001069,11014172.00000000,2019-05-28 08:59:59.999,117.37024710,6841,5775855.00000000,61.45210011,0
5,2019-05-28 09:00:00.000,0.00001068,0.00001216,0.00001059,0.00001097,13589337.00000000,2019-05-29 08:59:59.999,155.06279142,11173,6628528.00000000,75.73487457,0
6,2019-05-29 09:00:00.000,0.00001098,0.00001218,0.00001058,0.00001134,7322593.00000000,2019-05-30 08:59:59.999,83.61053324,6735,3351487.00000000,38.26836574,0
7,2019-05-30 09:00:00.000,0.00001132,0.00001197,0.00001069,0.00001101,7989188.00000000,2019-05-31 08:59:59.999,90.39711121,5494,3439252.00000000,38.99516609,0
8,2019-05-31 09:00:00.000,0.00001101,0.00001163,0.00001069,0.00001128,4168064.00000000,2019-06-01 08:59:59.999,46.46018554,3337,1924299.00000000,21.50807832,0
9,2019-06-01 09:00:00.000,0.00001128,0.00001153,0.00001075,0.00001141,3592412.00000000,2019-06-02 08:59:59.999,40.10481585,3025,1582329.00000000,17.68093890,0
10,2019-06-02 09:00:00.000,0.00001141,0.00001246,0.00001118,0.00001197,8308549.00000000,2019-06-03 08:59:59.999,98.13487085,7005,3849753.00000000,45.63332545,0
11,2019-06-03 09:00:00.000,0.00001196,0.00001279,0.00001111,0.00001127,10883217.00000000,2019-06-04 08:59:59.999,131.04422614,8961,4044794.00000000,48.96413783,0
12,2019-06-04 09:00:00.000,0.00001127,0.00001206,0.00001100,0.00001130,8037418.00000000,2019-06-05 08:59:59.999,91.83180419,5560,3583617.00000000,40.97583165,0
13,2019-06-05 09:00:00.000,0.00001127,0.00001164,0.00001125,0.00001137,2562002.00000000,2019-06-06 08:59:59.999,29.26421860,2246,1111578.00000000,12.71748620,0
14,2019-06-06 09:00:00.000,0.00001137,0.00001154,0.00001109,0.00001125,2324155.00000000,2019-06-07 08:59:59.999,26.27713027,1902,849542.00000000,9.63047646,0
15,2019-06-07 09:00:00.000,0.00001131,0.00001221,0.00001122,0.00001159,7254211.00000000,2019-06-08 08:59:59.999,84.80000106,5465,3982458.00000000,46.77575985,0
16,2019-06-08 09:00:00.000,0.00001160,0.00001277,0.00001156,0.00001215,8716493.00000000,2019-06-09 08:59:59.999,107.15543253,6088,3857324.00000000,47.51188034,0
17,2019-06-09 09:00:00.000,0.00001218,0.00001270,0.00001152,0.00001163,4012178.00000000,2019-06-10 08:59:59.999,48.17660767,3554,1596622.00000000,19.20224559,0
18,2019-06-10 09:00:00.000,0.00001160,0.00001252,0.00001153,0.00001224,5416202.00000000,2019-06-11 08:59:59.999,65.74649292,4912,2778281.00000000,33.77412538,0
19,2019-06-11 09:00:00.000,0.00001225,0.00001308,0.00001215,0.00001243,6856450.00000000,2019-06-12 08:59:59.999,86.49096103,5735,3383772.00000000,42.77126072,0
20,2019-06-12 09:00:00.000,0.00001246,0.00001255,0.00001187,0.00001208,2253954.00000000,2019-06-13 08:59:59.999,27.54908972,2119,948796.00000000,11.61268045,0
21,2019-06-13 09:00:00.000,0.00001207,0.00001241,0.00001129,0.00001151,2862040.00000000,2019-06-14 08:59:59.999,33.81057758,2981,1030288.00000000,12.21346560,0
22,2019-06-14 09:00:00.000,0.00001152,0.00001278,0.00001016,0.00001026,9954271.00000000,2019-06-15 08:59:59.999,113.15743071,8038,4035829.00000000,46.00640553,0
23,2019-06-15 09:00:00.000,0.00001026,0.00001170,0.00001014,0.00001094,9386671.00000000,2019-06-16 08:59:59.999,101.65797114,8730,4471567.00000000,48.55524215,0
24,2019-06-16 09:00:00.000,0.00001097,0.00001130,0.00000993,0.00001028,5368578.00000000,2019-06-17 08:59:59.999,56.42799188,4866,1972990.00000000,20.84758235,0
25,2019-06-17 09:00:00.000,0.00001029,0.00001226,0.00001010,0.00001042,20151563.00000000,2019-06-18 08:59:59.999,222.74102268,14325,9569948.00000000,106.27003936,0
26,2019-06-18 09:00:00.000,0.00001042,0.00001095,0.00001031,0.00001057,2814810.00000000,2019-06-19 08:59:59.999,29.63925138,2366,1067448.00000000,11.28016344,0
27,2019-06-19 09:00:00.000,0.00001059,0.00001131,0.00001041,0.00001050,3543745.00000000,2019-06-20 08:59:59.999,38.25281214,3766,1602244.00000000,17.28536599,0
28,2019-06-20 09:00:00.000,0.00001050,0.00001061,0.00000951,0.00000968,3914074.00000000,2019-06-21 08:59:59.999,39.65822472,3377,1447414.00000000,14.71606738,0
29,2019-06-21 09:00:00.000,0.00000968,0.00000968,0.00000884,0.00000884,2878203.00000000,2019-06-22 08:59:59.999,26.50281401,2383,1333129.00000000,12.30707012,0
30,2019-06-22 09:00:00.000,0.00000884,0.00000906,0.00000761,0.00000835,5795855.00000000,2019-06-23 08:59:59.999,47.41053936,4089,2508345.00000000,20.53000439,0
31,2019-06-23 09:00:00.000,0.00000832,0.00000897,0.00000771,0.00000800,4951548.00000000,2019-06-24 08:59:59.999,41.27349292,3337,2006298.00000000,16.71047777,0
32,2019-06-24 09:00:00.000,0.00000800,0.00000878,0.00000800,0.00000825,4510737.00000000,2019-06-25 08:59:59.999,37.58968760,3439,2158028.00000000,18.04645827,0
33,2019-06-25 09:00:00.000,0.00000824,0.00000911,0.00000785,0.00000787,6503693.00000000,2019-06-26 08:59:59.999,54.43196844,4516,2655748.00000000,22.43575131,0
34,2019-06-26 09:00:00.000,0.00000786,0.00000853,0.00000619,0.00000643,13536204.00000000,2019-06-27 08:59:59.999,97.85638996,8408,6127417.00000000,44.53001289,0
35,2019-06-27 09:00:00.000,0.00000642,0.00000800,0.00000617,0.00000740,8302468.00000000,2019-06-28 08:59:59.999,58.73073435,4832,4291623.00000000,30.48402656,0
36,2019-06-28 09:00:00.000,0.00000745,0.00000802,0.00000647,0.00000666,8395821.00000000,2019-06-29 08:59:59.999,60.30699032,4723,3747520.00000000,26.98086822,0
37,2019-06-29 09:00:00.000,0.00000668,0.00000738,0.00000661,0.00000713,4677820.00000000,2019-06-30 08:59:59.999,32.99702635,2740,2239997.00000000,15.76711557,0
38,2019-06-30 09:00:00.000,0.00000716,0.00000736,0.00000702,0.00000730,1387146.00000000,2019-07-01 08:59:59.999,9.99256200,1023,588524.00000000,4.24838403,0
39,2019-07-01 09:00:00.000,0.00000729,0.00000829,0.00000720,0.00000809,7083477.00000000,2019-07-02 08:59:59.999,55.69203627,3829,3280235.00000000,25.84767679,0
40,2019-07-02 09:00:00.000,0.00000808,0.00000820,0.00000701,0.00000724,7189447.00000000,2019-07-03 08:59:59.999,54.83051433,3698,3016242.00000000,22.98663285,0
41,2019-07-03 09:00:00.000,0.00000724,0.00000731,0.00000629,0.00000651,8989719.00000000,2019-07-04 08:59:59.999,62.45556389,4564,4121809.00000000,28.77212949,0
42,2019-07-04 09:00:00.000,0.00000651,0.00000677,0.00000627,0.00000663,3856017.00000000,2019-07-05 08:59:59.999,25.05903031,2482,2001313.00000000,13.03851238,0
43,2019-07-05 09:00:00.000,0.00000664,0.00000709,0.00000660,0.00000686,4079259.00000000,2019-07-06 08:59:59.999,27.74628567,2555,1909103.00000000,13.00994315,0
44,2019-07-06 09:00:00.000,0.00000686,0.00000710,0.00000655,0.00000677,5795041.00000000,2019-07-07 08:59:59.999,39.48382381,3150,2805440.00000000,19.17373772,0
45,2019-07-07 09:00:00.000,0.00000678,0.00000704,0.00000668,0.00000685,2600670.00000000,2019-07-08 08:59:59.999,17.78613634,1608,1129695.00000000,7.75019204,0
46,2019-07-08 09:00:00.000,0.00000686,0.00000715,0.00000590,0.00000594,5098870.00000000,2019-07-09 08:59:59.999,33.28403114,2922,2015900.00000000,13.25687723,0
47,2019-07-09 09:00:00.000,0.00000596,0.00000611,0.00000554,0.00000559,2464875.00000000,2019-07-10 08:59:59.999,14.32168124,1765,897489.00000000,5.25713265,0
48,2019-07-10 09:00:00.000,0.00000561,0.00000569,0.00000513,0.00000545,3610824.00000000,2019-07-11 08:59:59.999,19.29696995,2395,1646727.00000000,8.77954025,0
49,2019-07-11 09:00:00.000,0.00000542,0.00000561,0.00000505,0.00000527,2864915.00000000,2019-07-12 08:59:59.999,15.22853272,2868,1397302.00000000,7.45167967,0
50,2019-07-12 09:00:00.000,0.00000527,0.00000566,0.00000515,0.00000532,2410002.00000000,2019-07-13 08:59:59.999,12.81435205,2281,1043450.00000000,5.57998372,0
51,2019-07-13 09:00:00.000,0.00000530,0.00000579,0.00000525,0.00000539,3004172.00000000,2019-07-14 08:59:59.999,16.70893993,2692,1566162.00000000,8.76200196,0
52,2019-07-14 09:00:00.000,0.00000537,0.00000545,0.00000506,0.00000509,2338985.00000000,2019-07-15 08:59:59.999,12.31679510,1868,895852.00000000,4.71376290,0
53,2019-07-15 09:00:00.000,0.00000506,0.00000517,0.00000475,0.00000484,2999419.00000000,2019-07-16 08:59:59.999,14.82249820,2251,1442756.00000000,7.13947683,0
54,2019-07-16 09:00:00.000,0.00000484,0.00000495,0.00000450,0.00000461,2102411.00000000,2019-07-17 08:59:59.999,9.89559171,1530,903091.00000000,4.24662337,0
55,2019-07-17 09:00:00.000,0.00000464,0.00000478,0.00000448,0.00000466,2406922.00000000,2019-07-18 08:59:59.999,11.09474343,1764,1181990.00000000,5.45824748,0
56,2019-07-18 09:00:00.000,0.00000466,0.00000488,0.00000428,0.00000434,2535048.00000000,2019-07-19 08:59:59.999,11.55243480,1978,1004662.00000000,4.60143854,0
57,2019-07-19 09:00:00.000,0.00000433,0.00000446,0.00000425,0.00000436,1458992.00000000,2019-07-20 08:59:59.999,6.34933650,1052,572680.00000000,2.49790790,0
58,2019-07-20 09:00:00.000,0.00000438,0.00000465,0.00000432,0.00000449,2470835.00000000,2019-07-21 08:59:59.999,11.11418158,1477,1172796.00000000,5.29126769,0
59,2019-07-21 09:00:00.000,0.00000449,0.00000453,0.00000440,0.00000449,671723.00000000,2019-07-22 08:59:59.999,2.99977073,678,281294.00000000,1.25919920,0
60,2019-07-22 09:00:00.000,0.00000449,0.00000522,0.00000447,0.00000491,6111289.00000000,2019-07-23 08:59:59.999,29.70717026,3301,3713698.00000000,18.16290123,0
61,2019-07-23 09:00:00.000,0.00000491,0.00000496,0.00000467,0.00000483,1934474.00000000,2019-07-24 08:59:59.999,9.33180100,1252,768003.00000000,3.70664147,0
62,2019-07-24 09:00:00.000,0.00000484,0.00000535,0.00000480,0.00000502,2815546.00000000,2019-07-25 08:59:59.999,14.20316358,1871,1481238.00000000,7.46745709,0
63,2019-07-25 09:00:00.000,0.00000503,0.00000530,0.00000483,0.00000496,2477252.00000000,2019-07-26 08:59:59.999,12.38316394,1756,1106395.00000000,5.55033352,0
64,2019-07-26 09:00:00.000,0.00000496,0.00000523,0.00000492,0.00000510,1097968.00000000,2019-07-27 08:59:59.999,5.55833042,895,596935.00000000,3.03283729,0
65,2019-07-27 09:00:00.000,0.00000508,0.00000537,0.00000505,0.00000508,2755147.00000000,2019-07-28 08:59:59.999,14.26932530,1446,1154020.00000000,6.00648860,0
66,2019-07-28 09:00:00.000,0.00000510,0.00000569,0.00000508,0.00000537,4538424.00000000,2019-07-29 08:59:59.999,24.52744103,2547,2353919.00000000,12.74262370,0
67,2019-07-29 09:00:00.000,0.00000538,0.00000605,0.00000532,0.00000560,11871955.00000000,2019-07-30 08:59:59.999,68.33104494,5268,6865204.00000000,39.78122727,0
68,2019-07-30 09:00:00.000,0.00000557,0.00000569,0.00000513,0.00000523,2727146.00000000,2019-07-31 08:59:59.999,14.65116215,1714,1120573.00000000,5.96558249,0
69,2019-07-31 09:00:00.000,0.00000523,0.00000524,0.00000456,0.00000465,2706146.00000000,2019-08-01 08:59:59.999,13.23903736,1806,1252304.00000000,6.12991898,0
