,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001047,0.00001058,0.00001003,0.00001031,2299756.00000000,2019-05-24 08:59:59.999,23.75236206,2353,898385.00000000,9.30029285,0
1,2019-05-24 09:00:00.000,0.00001030,0.00001065,0.00000993,0.00001007,4125851.00000000,2019-05-25 08:59:59.999,42.17389865,3185,1782724.00000000,18.22963929,0
2,2019-05-25 09:00:00.000,0.00001007,0.00001032,0.00000998,0.00001016,2740427.00000000,2019-05-26 08:59:59.999,27.76766301,2493,1504760.00000000,15.29235579,0
3,2019-05-26 09:00:00.000,0.00001014,0.00001099,0.00000928,0.00000948,7390179.00000000,2019-05-27 08:59:59.999,74.61837701,6512,3519280.00000000,35.56663980,0
4,2019-05-27 09:00:00.000,0.00000948,0.00001034,0.00000920,0.00000982,5062320.00000000,2019-05-28 08:59:59.999,49.30055686,4238,2223570.00000000,21.56873684,0
5,2019-05-28 09:00:00.000,0.00000983,0.00001085,0.00000981,0.00001026,5562641.00000000,2019-05-29 08:59:59.999,57.63718039,5626,2782024.00000000,28.89175208,0
6,2019-05-29 09:00:00.000,0.00001026,0.00001039,0.00000987,0.00001009,1915972.00000000,2019-05-30 08:59:59.999,19.27960822,1932,822778.00000000,8.29865465,0
7,2019-05-30 09:00:00.000,0.00001009,0.00001052,0.00000947,0.00000983,4089576.00000000,2019-05-31 08:59:59.999,41.25779017,3962,1754289.00000000,17.73756382,0
8,2019-05-31 09:00:00.000,0.00000980,0.00001054,0.00000961,0.00000990,4673730.00000000,2019-06-01 08:59:59.999,47.00369713,4397,2162531.00000000,21.82658103,0
9,2019-06-01 09:00:00.000,0.00000990,0.00001038,0.00000971,0.00001000,5339130.00000000,2019-06-02 08:59:59.999,53.49538919,4562,2110243.00000000,21.15292611,0
10,2019-06-02 09:00:00.000,0.00001001,0.00001070,0.00000986,0.00001059,3685253.00000000,2019-06-03 08:59:59.999,37.79155749,3388,1874635.00000000,19.24483268,0
11,2019-06-03 09:00:00.000,0.00001058,0.00001104,0.00001010,0.00001026,4999975.00000000,2019-06-04 08:59:59.999,52.67924452,4161,2500374.00000000,26.55122942,0
12,2019-06-04 09:00:00.000,0.00001031,0.00001080,0.00001012,0.00001031,2635384.00000000,2019-06-05 08:59:59.999,27.42175228,3032,1341863.00000000,14.00503949,0
13,2019-06-05 09:00:00.000,0.00001033,0.00001099,0.00001025,0.00001033,2707104.00000000,2019-06-06 08:59:59.999,28.41674324,2909,1215146.00000000,12.81251879,0
14,2019-06-06 09:00:00.000,0.00001032,0.00001074,0.00001022,0.00001062,1668186.00000000,2019-06-07 08:59:59.999,17.48768621,1745,870440.00000000,9.13418652,0
15,2019-06-07 09:00:00.000,0.00001060,0.00001680,0.00001048,0.00001469,101828604.00000000,2019-06-08 08:59:59.999,1446.42052358,74548,50804186.00000000,721.47142951,0
16,2019-06-08 09:00:00.000,0.00001469,0.00001503,0.00001297,0.00001336,27637453.00000000,2019-06-09 08:59:59.999,383.11704752,18755,12561500.00000000,174.65785909,0
17,2019-06-09 09:00:00.000,0.00001341,0.00001341,0.00001228,0.00001251,6811806.00000000,2019-06-10 08:59:59.999,86.26500709,5334,2774865.00000000,35.04014654,0
18,2019-06-10 09:00:00.000,0.00001251,0.00001346,0.00001221,0.00001262,7492848.00000000,2019-06-11 08:59:59.999,95.17256096,5652,3791929.00000000,48.24382623,0
19,2019-06-11 09:00:00.000,0.00001268,0.00001331,0.00001240,0.00001295,5784943.00000000,2019-06-12 08:59:59.999,73.87795436,5283,2881284.00000000,36.93643674,0
