,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00008120,0.00008300,0.00007500,0.00007780,1015127.95000000,2019-05-24 08:59:59.999,79.31373651,5457,427205.29000000,33.37336119,0
1,2019-05-24 09:00:00.000,0.00007780,0.00008320,0.00007680,0.00008280,1550740.96000000,2019-05-25 08:59:59.999,124.18634002,8130,833417.99000000,66.90272448,0
2,2019-05-25 09:00:00.000,0.00008280,0.00009400,0.00007910,0.00008040,4473835.10000000,2019-05-26 08:59:59.999,379.67936962,20017,2151575.12000000,184.09892522,0
3,2019-05-26 09:00:00.000,0.00008050,0.00008360,0.00007000,0.00007290,1748305.22000000,2019-05-27 08:59:59.999,135.65272818,8106,759080.78000000,59.11968918,0
4,2019-05-27 09:00:00.000,0.00007320,0.00007690,0.00007170,0.00007350,1083150.11000000,2019-05-28 08:59:59.999,79.42878718,6622,555275.43000000,40.73389241,0
5,2019-05-28 09:00:00.000,0.00007340,0.00007500,0.00006650,0.00007220,1155112.35000000,2019-05-29 08:59:59.999,83.86165297,5531,471568.32000000,34.42321618,0
6,2019-05-29 09:00:00.000,0.00007230,0.00007490,0.00007090,0.00007300,769241.16000000,2019-05-30 08:59:59.999,55.88316617,4520,370261.17000000,26.95226715,0
7,2019-05-30 09:00:00.000,0.00007310,0.00007480,0.00006960,0.00007100,1402266.77000000,2019-05-31 08:59:59.999,101.66968318,6598,623107.37000000,45.29685852,0
8,2019-05-31 09:00:00.000,0.00007140,0.00007470,0.00007060,0.00007220,686357.67000000,2019-06-01 08:59:59.999,49.76461394,3736,294451.00000000,21.38233687,0
9,2019-06-01 09:00:00.000,0.00007220,0.00007300,0.00006870,0.00006990,1161974.13000000,2019-06-02 08:59:59.999,81.26133942,4739,588017.92000000,41.15979991,0
10,2019-06-02 09:00:00.000,0.00006990,0.00007330,0.00006950,0.00007070,736728.06000000,2019-06-03 08:59:59.999,52.15558420,4235,354803.90000000,25.19132275,0
11,2019-06-03 09:00:00.000,0.00007080,0.00007100,0.00006920,0.00007090,533403.82000000,2019-06-04 08:59:59.999,37.31218630,2727,285074.49000000,19.96906471,0
12,2019-06-04 09:00:00.000,0.00007090,0.00007250,0.00006920,0.00007030,654904.66000000,2019-06-05 08:59:59.999,46.54010020,4197,336855.74000000,24.00722754,0
13,2019-06-05 09:00:00.000,0.00007030,0.00007770,0.00006870,0.00007310,2062763.96000000,2019-06-06 08:59:59.999,151.53014579,7989,936586.84000000,68.78772877,0
14,2019-06-06 09:00:00.000,0.00007310,0.00007390,0.00007100,0.00007180,711518.03000000,2019-06-07 08:59:59.999,51.35116279,3445,303953.97000000,21.98270734,0
15,2019-06-07 09:00:00.000,0.00007190,0.00007590,0.00007060,0.00007520,1021175.67000000,2019-06-08 08:59:59.999,74.83956705,4943,555939.62000000,40.69572924,0
16,2019-06-08 09:00:00.000,0.00007530,0.00007670,0.00007420,0.00007600,775996.50000000,2019-06-09 08:59:59.999,58.60416931,3726,414906.33000000,31.38493554,0
17,2019-06-09 09:00:00.000,0.00007600,0.00008420,0.00007520,0.00007730,2109831.81000000,2019-06-10 08:59:59.999,166.74645277,12572,1132893.26000000,89.74782848,0
18,2019-06-10 09:00:00.000,0.00007730,0.00008090,0.00007470,0.00007650,1206791.27000000,2019-06-11 08:59:59.999,93.00399891,6063,520715.11000000,40.21718419,0
19,2019-06-11 09:00:00.000,0.00007650,0.00008230,0.00007470,0.00007890,1226344.05000000,2019-06-12 08:59:59.999,95.01921914,5098,679765.12000000,52.97669697,0
20,2019-06-12 09:00:00.000,0.00007870,0.00007950,0.00007430,0.00007510,599965.78000000,2019-06-13 08:59:59.999,45.80538629,3361,221825.93000000,16.98581594,0
21,2019-06-13 09:00:00.000,0.00007520,0.00007570,0.00006910,0.00007100,886891.48000000,2019-06-14 08:59:59.999,64.50489004,3952,362517.42000000,26.42518652,0
22,2019-06-14 09:00:00.000,0.00007110,0.00009330,0.00006590,0.00007200,3127262.63000000,2019-06-15 08:59:59.999,230.63494047,13431,1680927.51000000,125.86723026,0
23,2019-06-15 09:00:00.000,0.00007210,0.00007250,0.00006370,0.00006560,2430009.56000000,2019-06-16 08:59:59.999,162.54840522,7516,916719.23000000,61.44141258,0
24,2019-06-16 09:00:00.000,0.00006560,0.00006560,0.00006120,0.00006290,852725.62000000,2019-06-17 08:59:59.999,53.80422891,4046,374630.11000000,23.66576030,0
25,2019-06-17 09:00:00.000,0.00006290,0.00006330,0.00006030,0.00006110,652761.71000000,2019-06-18 08:59:59.999,40.37912111,2674,268930.24000000,16.69511536,0
26,2019-06-18 09:00:00.000,0.00006090,0.00006200,0.00005980,0.00006050,489129.60000000,2019-06-19 08:59:59.999,29.65321250,2099,234857.15000000,14.26784306,0
27,2019-06-19 09:00:00.000,0.00006050,0.00006270,0.00005910,0.00006030,689887.59000000,2019-06-20 08:59:59.999,42.12289695,2529,288643.32000000,17.66028208,0
28,2019-06-20 09:00:00.000,0.00006020,0.00006040,0.00005370,0.00005470,825716.41000000,2019-06-21 08:59:59.999,46.81516148,3852,355030.35000000,20.13340985,0
29,2019-06-21 09:00:00.000,0.00005490,0.00005600,0.00004960,0.00004960,703143.09000000,2019-06-22 08:59:59.999,36.92532306,3332,295885.08000000,15.59448319,0
30,2019-06-22 09:00:00.000,0.00004970,0.00005030,0.00004500,0.00004850,1012027.75000000,2019-06-23 08:59:59.999,48.37922913,4339,427830.48000000,20.46182063,0
31,2019-06-23 09:00:00.000,0.00004880,0.00005270,0.00004530,0.00004730,795507.52000000,2019-06-24 08:59:59.999,39.25673237,3786,361397.81000000,17.85899020,0
32,2019-06-24 09:00:00.000,0.00004720,0.00004950,0.00004670,0.00004810,548335.61000000,2019-06-25 08:59:59.999,26.36715419,2333,292185.67000000,14.08952680,0
33,2019-06-25 09:00:00.000,0.00004800,0.00004840,0.00004230,0.00004310,883713.42000000,2019-06-26 08:59:59.999,39.67372179,3208,365033.03000000,16.33510279,0
34,2019-06-26 09:00:00.000,0.00004310,0.00004310,0.00003440,0.00003640,1642863.91000000,2019-06-27 08:59:59.999,63.61570843,6467,705438.90000000,27.37247989,0
35,2019-06-27 09:00:00.000,0.00003610,0.00004150,0.00003490,0.00003900,1453167.94000000,2019-06-28 08:59:59.999,56.13977420,4639,647450.06000000,24.90951983,0
36,2019-06-28 09:00:00.000,0.00003910,0.00003950,0.00003600,0.00003650,874892.95000000,2019-06-29 08:59:59.999,33.06750543,3097,393143.42000000,14.88204968,0
37,2019-06-29 09:00:00.000,0.00003640,0.00004200,0.00003610,0.00003930,1462885.36000000,2019-06-30 08:59:59.999,57.24436747,4735,690591.51000000,26.96510401,0
38,2019-06-30 09:00:00.000,0.00003930,0.00004190,0.00003780,0.00004100,1248628.51000000,2019-07-01 08:59:59.999,49.32938813,3965,647836.89000000,25.61917561,0
39,2019-07-01 09:00:00.000,0.00004100,0.00004440,0.00004020,0.00004310,1024081.27000000,2019-07-02 08:59:59.999,43.51088808,3687,538091.48000000,22.91614002,0
40,2019-07-02 09:00:00.000,0.00004300,0.00004390,0.00003900,0.00004010,863045.22000000,2019-07-03 08:59:59.999,36.04719174,3354,390728.87000000,16.41525284,0
41,2019-07-03 09:00:00.000,0.00004000,0.00004280,0.00003690,0.00003770,1392601.36000000,2019-07-04 08:59:59.999,55.98934149,4960,636991.09000000,25.66363050,0
42,2019-07-04 09:00:00.000,0.00003750,0.00003880,0.00003650,0.00003820,620752.77000000,2019-07-05 08:59:59.999,23.25218074,2282,327833.21000000,12.30271482,0
43,2019-07-05 09:00:00.000,0.00003840,0.00004010,0.00003790,0.00003930,425923.53000000,2019-07-06 08:59:59.999,16.63498598,2057,193993.28000000,7.59511479,0
44,2019-07-06 09:00:00.000,0.00003920,0.00004050,0.00003820,0.00003980,523748.96000000,2019-07-07 08:59:59.999,20.59418957,2008,259982.98000000,10.24375049,0
45,2019-07-07 09:00:00.000,0.00003980,0.00004280,0.00003920,0.00004020,735116.24000000,2019-07-08 08:59:59.999,29.98990640,2539,317105.03000000,12.97020687,0
46,2019-07-08 09:00:00.000,0.00004020,0.00004060,0.00003520,0.00003600,735196.00000000,2019-07-09 08:59:59.999,27.70189446,2565,296314.06000000,11.12872191,0
47,2019-07-09 09:00:00.000,0.00003600,0.00003680,0.00003410,0.00003650,802077.41000000,2019-07-10 08:59:59.999,28.54309610,3318,350410.05000000,12.48865884,0
48,2019-07-10 09:00:00.000,0.00003650,0.00003670,0.00003230,0.00003370,771564.71000000,2019-07-11 08:59:59.999,26.10742859,3055,303238.60000000,10.24183263,0
49,2019-07-11 09:00:00.000,0.00003360,0.00003470,0.00003130,0.00003210,788461.88000000,2019-07-12 08:59:59.999,25.91391160,3440,350488.85000000,11.54822835,0
50,2019-07-12 09:00:00.000,0.00003220,0.00003390,0.00003180,0.00003370,477802.39000000,2019-07-13 08:59:59.999,15.80673945,2082,237079.25000000,7.85527058,0
51,2019-07-13 09:00:00.000,0.00003370,0.00003570,0.00003360,0.00003470,417794.25000000,2019-07-14 08:59:59.999,14.44721446,1590,213757.29000000,7.41003821,0
52,2019-07-14 09:00:00.000,0.00003470,0.00003470,0.00003140,0.00003210,599419.53000000,2019-07-15 08:59:59.999,19.47336742,2407,231431.74000000,7.51632552,0
