,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-03-09 09:00:00.000,0.00007983,0.00008385,0.00007827,0.00008017,5861900.00000000,2019-03-10 08:59:59.999,472.87977032,19060,3728232.00000000,300.76645766,0
1,2019-03-10 09:00:00.000,0.00008005,0.00009799,0.00008005,0.00009175,11502274.00000000,2019-03-11 08:59:59.999,997.56182563,33693,6873141.00000000,592.86865124,0
2,2019-03-11 09:00:00.000,0.00009175,0.00010963,0.00008264,0.00008753,20087586.00000000,2019-03-12 08:59:59.999,1882.23867935,53141,10405654.00000000,973.26071801,0
3,2019-03-12 09:00:00.000,0.00008802,0.00010798,0.00008201,0.00008851,18663803.00000000,2019-03-13 08:59:59.999,1764.96258101,49524,9134163.00000000,866.73192699,0
4,2019-03-13 09:00:00.000,0.00008831,0.00010780,0.00008828,0.00010169,16942001.00000000,2019-03-14 08:59:59.999,1648.11977164,50120,8747438.00000000,852.27699440,0
5,2019-03-14 09:00:00.000,0.00010170,0.00013649,0.00009900,0.00011850,41524840.00000000,2019-03-15 08:59:59.999,4906.20211716,123736,21394279.00000000,2530.08360484,0
6,2019-03-15 09:00:00.000,0.00011845,0.00012750,0.00010957,0.00011030,15849692.00000000,2019-03-16 08:59:59.999,1859.25441864,53051,8303027.00000000,973.49092054,0
7,2019-03-16 09:00:00.000,0.00011045,0.00012214,0.00010334,0.00011542,12702397.00000000,2019-03-17 08:59:59.999,1412.23536907,45880,6924987.00000000,769.45682323,0
8,2019-03-17 09:00:00.000,0.00011550,0.00011750,0.00010740,0.00010805,7594134.00000000,2019-03-18 08:59:59.999,847.47373000,28245,4392664.00000000,490.06132208,0
9,2019-03-18 09:00:00.000,0.00010805,0.00010900,0.00010486,0.00010574,4690072.00000000,2019-03-19 08:59:59.999,502.17071039,15336,3054791.00000000,327.12762849,0
