,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-11-06 09:00:00.000,0.00000225,0.00000410,0.00000158,0.00000291,1037551695.00000000,2019-11-07 08:59:59.999,3005.26501824,76681,454435665.00000000,1318.88821228,0
1,2019-11-07 09:00:00.000,0.00000292,0.00000311,0.00000233,0.00000248,663944112.00000000,2019-11-08 08:59:59.999,1780.33216255,52287,335622039.00000000,907.63326824,0
2,2019-11-08 09:00:00.000,0.00000247,0.00000254,0.00000218,0.00000232,247731971.00000000,2019-11-09 08:59:59.999,576.23396992,23790,104838859.00000000,244.49246444,0
3,2019-11-09 09:00:00.000,0.00000232,0.00000258,0.00000227,0.00000244,377770582.00000000,2019-11-10 08:59:59.999,922.81540216,23202,160102899.00000000,391.88769935,0
4,2019-11-10 09:00:00.000,0.00000243,0.00000245,0.00000219,0.00000226,146886947.00000000,2019-11-11 08:59:59.999,346.24140730,14316,59000127.00000000,139.51601987,0
5,2019-11-11 09:00:00.000,0.00000226,0.00000234,0.00000222,0.00000224,135805065.00000000,2019-11-12 08:59:59.999,308.10939928,12116,57900726.00000000,131.93742113,0
6,2019-11-12 09:00:00.000,0.00000224,0.00000225,0.00000212,0.00000217,129937303.00000000,2019-11-13 08:59:59.999,283.47797739,12654,48865761.00000000,106.74683891,0
7,2019-11-13 09:00:00.000,0.00000217,0.00000223,0.00000202,0.00000209,97057999.00000000,2019-11-14 08:59:59.999,209.69267222,8629,38072358.00000000,82.46279156,0
8,2019-11-14 09:00:00.000,0.00000208,0.00000209,0.00000195,0.00000200,147481440.00000000,2019-11-15 08:59:59.999,298.31965656,12236,60733642.00000000,123.13051110,0
9,2019-11-15 09:00:00.000,0.00000200,0.00000202,0.00000192,0.00000194,120184344.00000000,2019-11-16 08:59:59.999,235.56153892,9624,43433829.00000000,85.29967074,0
10,2019-11-16 09:00:00.000,0.00000194,0.00000204,0.00000192,0.00000202,76796192.00000000,2019-11-17 08:59:59.999,151.92752350,6696,36295441.00000000,71.98316399,0
11,2019-11-17 09:00:00.000,0.00000202,0.00000210,0.00000196,0.00000205,137774030.00000000,2019-11-18 08:59:59.999,281.12858131,10500,65225116.00000000,133.52949657,0
12,2019-11-18 09:00:00.000,0.00000204,0.00000206,0.00000184,0.00000187,132782243.00000000,2019-11-19 08:59:59.999,258.70729059,14019,48338543.00000000,94.58980199,0
