,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000774,0.00001095,0.00000722,0.00000888,450494291.00000000,2019-05-24 08:59:59.999,4040.27777612,129557,221825954.00000000,1991.24394364,0
1,2019-05-24 09:00:00.000,0.00000897,0.00000899,0.00000676,0.00000683,60741893.00000000,2019-05-25 08:59:59.999,461.53694510,22069,26624078.00000000,202.76961980,0
2,2019-05-25 09:00:00.000,0.00000683,0.00000720,0.00000617,0.00000647,31394992.00000000,2019-05-26 08:59:59.999,205.82279369,10762,12966698.00000000,85.02548737,0
3,2019-05-26 09:00:00.000,0.00000646,0.00000688,0.00000545,0.00000565,33041233.00000000,2019-05-27 08:59:59.999,206.47256454,10560,14246773.00000000,89.16137114,0
4,2019-05-27 09:00:00.000,0.00000565,0.00000581,0.00000531,0.00000558,15655571.00000000,2019-05-28 08:59:59.999,86.52185272,5481,7464744.00000000,41.42095969,0
5,2019-05-28 09:00:00.000,0.00000558,0.00000758,0.00000556,0.00000672,124081476.00000000,2019-05-29 08:59:59.999,861.99626596,36406,59752811.00000000,414.01879795,0
6,2019-05-29 09:00:00.000,0.00000670,0.00000676,0.00000611,0.00000625,26478449.00000000,2019-05-30 08:59:59.999,168.88456135,8298,11352791.00000000,72.40473625,0
7,2019-05-30 09:00:00.000,0.00000625,0.00000655,0.00000561,0.00000590,21490085.00000000,2019-05-31 08:59:59.999,132.84998148,7200,9696862.00000000,60.36097990,0
8,2019-05-31 09:00:00.000,0.00000590,0.00000648,0.00000572,0.00000620,15808902.00000000,2019-06-01 08:59:59.999,96.14645164,4937,7476419.00000000,45.56293217,0
9,2019-06-01 09:00:00.000,0.00000620,0.00000620,0.00000580,0.00000583,6965233.00000000,2019-06-02 08:59:59.999,41.62786678,2600,2936530.00000000,17.57281636,0
10,2019-06-02 09:00:00.000,0.00000584,0.00000640,0.00000574,0.00000612,13668322.00000000,2019-06-03 08:59:59.999,83.27896599,4114,5938730.00000000,36.23954296,0
11,2019-06-03 09:00:00.000,0.00000614,0.00000666,0.00000549,0.00000568,26298944.00000000,2019-06-04 08:59:59.999,159.97246670,7832,11949064.00000000,72.35975666,0
12,2019-06-04 09:00:00.000,0.00000568,0.00000575,0.00000535,0.00000558,23353744.00000000,2019-06-05 08:59:59.999,130.59192455,6107,10011174.00000000,56.05046020,0
13,2019-06-05 09:00:00.000,0.00000555,0.00000587,0.00000550,0.00000560,14522330.00000000,2019-06-06 08:59:59.999,82.38085895,3687,7330614.00000000,41.65972289,0
14,2019-06-06 09:00:00.000,0.00000560,0.00000590,0.00000557,0.00000581,12347879.00000000,2019-06-07 08:59:59.999,71.05003075,3422,5356006.00000000,30.86099293,0
15,2019-06-07 09:00:00.000,0.00000581,0.00000610,0.00000568,0.00000605,12645271.00000000,2019-06-08 08:59:59.999,74.47622328,3461,5727169.00000000,33.81745634,0
16,2019-06-08 09:00:00.000,0.00000605,0.00000688,0.00000592,0.00000649,38918626.00000000,2019-06-09 08:59:59.999,251.32531508,9806,18911437.00000000,122.27564545,0
