,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00056460,0.00057800,0.00053010,0.00055300,918209.78000000,2019-05-24 08:59:59.999,504.29876446,23058,442140.63000000,242.97672569,0
1,2019-05-24 09:00:00.000,0.00055230,0.00060570,0.00054320,0.00055900,3049031.00000000,2019-05-25 08:59:59.999,1741.94942248,61580,1358313.04000000,776.65374232,0
2,2019-05-25 09:00:00.000,0.00055900,0.00057940,0.00053440,0.00054650,984634.49000000,2019-05-26 08:59:59.999,548.92097895,18684,457431.86000000,255.01584231,0
3,2019-05-26 09:00:00.000,0.00054620,0.00055670,0.00050490,0.00051980,676293.14000000,2019-05-27 08:59:59.999,361.67637170,14835,332698.06000000,178.44558770,0
4,2019-05-27 09:00:00.000,0.00051980,0.00054070,0.00051170,0.00053120,624264.61000000,2019-05-28 08:59:59.999,327.12228928,13393,300887.70000000,157.88683941,0
5,2019-05-28 09:00:00.000,0.00053210,0.00055750,0.00051540,0.00054910,743440.70000000,2019-05-29 08:59:59.999,398.41206678,16467,325857.71000000,174.88177727,0
6,2019-05-29 09:00:00.000,0.00054850,0.00055990,0.00052590,0.00054210,647906.31000000,2019-05-30 08:59:59.999,350.36423575,14288,259841.31000000,140.58044665,0
7,2019-05-30 09:00:00.000,0.00054290,0.00075600,0.00054220,0.00071700,6823113.87000000,2019-05-31 08:59:59.999,4587.54660684,148353,3549344.42000000,2386.90636163,0
8,2019-05-31 09:00:00.000,0.00071690,0.00071690,0.00062200,0.00067600,3305853.47000000,2019-06-01 08:59:59.999,2210.82908739,62181,1538500.52000000,1027.73448196,0
9,2019-06-01 09:00:00.000,0.00067550,0.00074020,0.00066090,0.00067590,2511891.71000000,2019-06-02 08:59:59.999,1776.61015859,48070,1079585.83000000,762.85932115,0
10,2019-06-02 09:00:00.000,0.00067590,0.00073510,0.00064970,0.00073300,1344536.66000000,2019-06-03 08:59:59.999,934.89254018,31281,615749.75000000,428.67134927,0
11,2019-06-03 09:00:00.000,0.00073250,0.00085420,0.00070690,0.00080320,5244077.61000000,2019-06-04 08:59:59.999,4108.19887061,120090,2580664.53000000,2024.06937140,0
12,2019-06-04 09:00:00.000,0.00080320,0.00085640,0.00075410,0.00077160,2455142.57000000,2019-06-05 08:59:59.999,1978.28828162,66728,1237968.55000000,998.22336215,0
13,2019-06-05 09:00:00.000,0.00077160,0.00082000,0.00073800,0.00079020,1573901.74000000,2019-06-06 08:59:59.999,1217.97096386,42905,775322.72000000,600.64064464,0
14,2019-06-06 09:00:00.000,0.00079020,0.00079990,0.00073340,0.00076890,1693724.76000000,2019-06-07 08:59:59.999,1302.93912298,41394,761216.85000000,586.16106245,0
15,2019-06-07 09:00:00.000,0.00076890,0.00082840,0.00075670,0.00078710,1846294.09000000,2019-06-08 08:59:59.999,1464.18877522,39529,982097.64000000,779.41320681,0
16,2019-06-08 09:00:00.000,0.00078700,0.00078960,0.00076050,0.00077310,561845.50000000,2019-06-09 08:59:59.999,434.07761028,14725,272276.03000000,210.52794907,0
17,2019-06-09 09:00:00.000,0.00077210,0.00078880,0.00074630,0.00076340,429502.09000000,2019-06-10 08:59:59.999,328.79879885,12821,213029.10000000,163.16390643,0
18,2019-06-10 09:00:00.000,0.00076430,0.00077440,0.00074720,0.00076200,522310.27000000,2019-06-11 08:59:59.999,395.85283676,15663,267873.36000000,203.17144128,0
19,2019-06-11 09:00:00.000,0.00076190,0.00076900,0.00073990,0.00075380,448267.12000000,2019-06-12 08:59:59.999,336.78651585,11982,211664.43000000,159.08257509,0
20,2019-06-12 09:00:00.000,0.00075440,0.00078710,0.00074050,0.00075280,746857.40000000,2019-06-13 08:59:59.999,570.54559421,20043,327264.93000000,249.83318858,0
21,2019-06-13 09:00:00.000,0.00075300,0.00080100,0.00074660,0.00076250,820213.08000000,2019-06-14 08:59:59.999,633.12157239,21339,408761.13000000,315.75907335,0
22,2019-06-14 09:00:00.000,0.00076300,0.00076320,0.00070300,0.00071980,686392.80000000,2019-06-15 08:59:59.999,501.99059898,17638,334779.61000000,244.24486017,0
23,2019-06-15 09:00:00.000,0.00072080,0.00072900,0.00069410,0.00069950,385341.82000000,2019-06-16 08:59:59.999,274.11476804,9410,168005.28000000,119.53252885,0
24,2019-06-16 09:00:00.000,0.00069850,0.00075220,0.00067840,0.00074790,514008.10000000,2019-06-17 08:59:59.999,362.58333501,13905,227352.84000000,160.39900707,0
25,2019-06-17 09:00:00.000,0.00074680,0.00076700,0.00070570,0.00075220,1058500.31000000,2019-06-18 08:59:59.999,782.46389447,30098,524915.52000000,388.08906583,0
26,2019-06-18 09:00:00.000,0.00075340,0.00075630,0.00071480,0.00072500,420941.04000000,2019-06-19 08:59:59.999,307.61451103,12842,183846.30000000,134.31910646,0
27,2019-06-19 09:00:00.000,0.00072500,0.00074340,0.00071020,0.00071580,347445.68000000,2019-06-20 08:59:59.999,252.98285155,9899,167720.11000000,122.27184217,0
28,2019-06-20 09:00:00.000,0.00071550,0.00071550,0.00066910,0.00068060,513742.91000000,2019-06-21 08:59:59.999,354.98338693,13429,254925.46000000,176.11257779,0
29,2019-06-21 09:00:00.000,0.00068060,0.00068170,0.00064070,0.00064210,434183.31000000,2019-06-22 08:59:59.999,287.22751673,11386,222671.50000000,147.32355998,0
