,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-22 09:00:00.000,0.00008173,0.00120000,0.00008173,0.00050513,12932330.10000000,2020-09-23 08:59:59.999,6498.47852853,259321,5812611.60000000,2939.60992591,0
1,2020-09-23 09:00:00.000,0.00050508,0.00050855,0.00033377,0.00034427,5329698.70000000,2020-09-24 08:59:59.999,2175.22201529,119620,2395602.20000000,980.25129536,0
2,2020-09-24 09:00:00.000,0.00034486,0.00045439,0.00033582,0.00043193,3594268.80000000,2020-09-25 08:59:59.999,1398.14147693,86401,1721002.70000000,670.97343702,0
3,2020-09-25 09:00:00.000,0.00042946,0.00046699,0.00039800,0.00044168,1381402.30000000,2020-09-26 08:59:59.999,595.93081042,35997,696002.60000000,300.62245958,0
4,2020-09-26 09:00:00.000,0.00044150,0.00044836,0.00040761,0.00042140,739421.60000000,2020-09-27 08:59:59.999,314.55836685,17871,350958.70000000,149.37021999,0
5,2020-09-27 09:00:00.000,0.00042133,0.00043812,0.00038583,0.00043174,575430.70000000,2020-09-28 08:59:59.999,236.77957702,12228,268085.70000000,110.98182183,0
6,2020-09-28 09:00:00.000,0.00043173,0.00043364,0.00038586,0.00039369,475083.10000000,2020-09-29 08:59:59.999,190.63704877,10648,207370.30000000,83.22647989,0
7,2020-09-29 09:00:00.000,0.00039284,0.00040100,0.00037000,0.00038173,437374.10000000,2020-09-30 08:59:59.999,167.03480054,9670,186257.70000000,71.19737325,0
8,2020-09-30 09:00:00.000,0.00038244,0.00041019,0.00037440,0.00040213,309365.80000000,2020-10-01 08:59:59.999,120.98612808,7276,142047.40000000,55.70349574,0
9,2020-10-01 09:00:00.000,0.00040065,0.00041827,0.00037692,0.00039198,441970.00000000,2020-10-02 08:59:59.999,174.23210967,9940,185476.30000000,73.24574444,0
10,2020-10-02 09:00:00.000,0.00039070,0.00039597,0.00034989,0.00037006,562931.40000000,2020-10-03 08:59:59.999,208.45550600,12524,278254.10000000,102.86179314,0
11,2020-10-03 09:00:00.000,0.00036997,0.00038835,0.00036782,0.00037966,94008.70000000,2020-10-04 08:59:59.999,35.47044931,2129,47356.20000000,17.87823608,0
