,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-06 09:00:00.000,0.00086840,0.00132990,0.00086840,0.00111050,586736.59000000,2020-08-07 08:59:59.999,670.85216538,27444,287591.82000000,331.18023968,0
1,2020-08-07 09:00:00.000,0.00111040,0.00127000,0.00108250,0.00114320,353842.04000000,2020-08-08 08:59:59.999,422.42841254,23619,170362.92000000,204.15621766,0
2,2020-08-08 09:00:00.000,0.00114320,0.00147000,0.00113000,0.00146900,283680.66000000,2020-08-09 08:59:59.999,377.86055118,20719,142667.01000000,191.81769705,0
3,2020-08-09 09:00:00.000,0.00146790,0.00250000,0.00140470,0.00227290,820998.63000000,2020-08-10 08:59:59.999,1620.19995568,74210,448165.39000000,892.97080783,0
4,2020-08-10 09:00:00.000,0.00227290,0.00245000,0.00182240,0.00193530,421581.47000000,2020-08-11 08:59:59.999,866.48715187,45503,193466.95000000,399.63582951,0
5,2020-08-11 09:00:00.000,0.00193780,0.00195210,0.00162910,0.00178210,247516.76000000,2020-08-12 08:59:59.999,434.39870860,19629,122657.17000000,215.11894105,0
6,2020-08-12 09:00:00.000,0.00178200,0.00212640,0.00168210,0.00194230,274933.43000000,2020-08-13 08:59:59.999,513.75725418,23468,144558.70000000,270.28624259,0
7,2020-08-13 09:00:00.000,0.00193490,0.00209990,0.00171100,0.00180410,168366.99000000,2020-08-14 08:59:59.999,309.20135624,12616,58593.68000000,107.62904396,0
8,2020-08-14 09:00:00.000,0.00180760,0.00184320,0.00173740,0.00182490,75995.88000000,2020-08-15 08:59:59.999,135.60223299,7424,37407.01000000,66.88258056,0
9,2020-08-15 09:00:00.000,0.00182470,0.00183840,0.00159880,0.00163690,76025.98000000,2020-08-16 08:59:59.999,127.59102604,6763,33096.40000000,55.41073177,0
10,2020-08-16 09:00:00.000,0.00163760,0.00167110,0.00154250,0.00165480,76404.59000000,2020-08-17 08:59:59.999,123.15109486,5691,35207.59000000,56.76560129,0
11,2020-08-17 09:00:00.000,0.00164680,0.00169530,0.00154090,0.00160700,78767.52000000,2020-08-18 08:59:59.999,128.44150144,6912,30265.49000000,49.36451438,0
12,2020-08-18 09:00:00.000,0.00161220,0.00179000,0.00158670,0.00168700,212448.91000000,2020-08-19 08:59:59.999,358.66726785,16245,90469.58000000,152.94999543,0
13,2020-08-19 09:00:00.000,0.00169040,0.00169090,0.00147180,0.00151810,123478.94000000,2020-08-20 08:59:59.999,196.68442291,9178,55011.13000000,87.86154697,0
14,2020-08-20 09:00:00.000,0.00151840,0.00194010,0.00150940,0.00192000,232974.02000000,2020-08-21 08:59:59.999,401.44502571,18660,112958.60000000,194.30805442,0
15,2020-08-21 09:00:00.000,0.00192030,0.00192670,0.00170140,0.00171800,160890.29000000,2020-08-22 08:59:59.999,289.05610437,17171,67492.41000000,121.68572663,0
16,2020-08-22 09:00:00.000,0.00172160,0.00226130,0.00168000,0.00223500,218512.60000000,2020-08-23 08:59:59.999,434.74118797,23149,111613.82000000,222.54320500,0
17,2020-08-23 09:00:00.000,0.00222940,0.00223630,0.00193740,0.00209210,133527.16000000,2020-08-24 08:59:59.999,276.83516437,15339,57865.98000000,120.52610106,0
18,2020-08-24 09:00:00.000,0.00209850,0.00230690,0.00199960,0.00206570,108893.58000000,2020-08-25 08:59:59.999,232.19740052,13225,47778.83000000,102.06718690,0
19,2020-08-25 09:00:00.000,0.00206040,0.00215500,0.00196730,0.00206630,78388.81000000,2020-08-26 08:59:59.999,160.76447856,9677,36084.88000000,74.30155200,0
