,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-09-18 09:00:00.000,0.00023185,0.00023185,0.00006155,0.00006278,15018350.00000000,2019-09-19 08:59:59.999,1030.74887383,41208,5325084.00000000,360.51753891,0
1,2019-09-19 09:00:00.000,0.00006278,0.00006389,0.00005710,0.00005880,5438189.00000000,2019-09-20 08:59:59.999,325.84528310,20778,2581630.00000000,154.86562098,0
2,2019-09-20 09:00:00.000,0.00005880,0.00008798,0.00005777,0.00006675,19212377.00000000,2019-09-21 08:59:59.999,1356.24450825,45039,10022145.00000000,712.67819333,0
3,2019-09-21 09:00:00.000,0.00006684,0.00008500,0.00006670,0.00008140,10965584.00000000,2019-09-22 08:59:59.999,858.72902203,47471,5342418.00000000,418.86065955,0
4,2019-09-22 09:00:00.000,0.00008125,0.00009360,0.00007041,0.00007195,10013754.00000000,2019-09-23 08:59:59.999,829.45671463,51632,4356481.00000000,362.78960549,0
5,2019-09-23 09:00:00.000,0.00007195,0.00007567,0.00006402,0.00006506,3962401.00000000,2019-09-24 08:59:59.999,271.40313121,19299,1532777.00000000,105.38748610,0
6,2019-09-24 09:00:00.000,0.00006491,0.00006980,0.00005525,0.00005715,3246100.00000000,2019-09-25 08:59:59.999,204.76569370,14870,1052697.00000000,66.58572474,0
7,2019-09-25 09:00:00.000,0.00005772,0.00005950,0.00005283,0.00005510,1695416.00000000,2019-09-26 08:59:59.999,93.77970383,7688,664452.00000000,36.92424503,0
8,2019-09-26 09:00:00.000,0.00005502,0.00006826,0.00005400,0.00006347,6210450.00000000,2019-09-27 08:59:59.999,384.10430480,25840,2769586.00000000,171.16461453,0
9,2019-09-27 09:00:00.000,0.00006344,0.00006636,0.00006111,0.00006300,2286772.00000000,2019-09-28 08:59:59.999,145.45789435,12373,1016528.00000000,64.83602361,0
10,2019-09-28 09:00:00.000,0.00006300,0.00006530,0.00006150,0.00006412,1058755.00000000,2019-09-29 08:59:59.999,67.32307140,5754,441226.00000000,28.14540586,0
11,2019-09-29 09:00:00.000,0.00006421,0.00006564,0.00006123,0.00006165,1307051.00000000,2019-09-30 08:59:59.999,82.01522559,5810,572762.00000000,36.02503657,0
12,2019-09-30 09:00:00.000,0.00006170,0.00006995,0.00006134,0.00006155,5940365.00000000,2019-10-01 08:59:59.999,386.96998493,20214,2782018.00000000,181.55484075,0
13,2019-10-01 09:00:00.000,0.00006156,0.00006290,0.00005835,0.00005872,2066806.00000000,2019-10-02 08:59:59.999,125.27966767,6951,859628.00000000,52.20516517,0
14,2019-10-02 09:00:00.000,0.00005872,0.00005905,0.00005641,0.00005705,1055186.00000000,2019-10-03 08:59:59.999,60.53677108,4648,411339.00000000,23.63272220,0
15,2019-10-03 09:00:00.000,0.00005704,0.00006130,0.00005698,0.00005836,963950.00000000,2019-10-04 08:59:59.999,56.94339066,5190,433845.00000000,25.66522404,0
16,2019-10-04 09:00:00.000,0.00005834,0.00005915,0.00005802,0.00005824,387355.00000000,2019-10-05 08:59:59.999,22.62272010,1716,97688.00000000,5.72346546,0
17,2019-10-05 09:00:00.000,0.00005824,0.00005915,0.00005781,0.00005781,378637.00000000,2019-10-06 08:59:59.999,22.12816864,1692,139020.00000000,8.14814029,0
18,2019-10-06 09:00:00.000,0.00005782,0.00005809,0.00005423,0.00005465,642494.00000000,2019-10-07 08:59:59.999,36.06066223,3405,169912.00000000,9.53578605,0
19,2019-10-07 09:00:00.000,0.00005465,0.00005640,0.00005207,0.00005364,1086695.00000000,2019-10-08 08:59:59.999,58.34796164,5049,443176.00000000,23.83888006,0
20,2019-10-08 09:00:00.000,0.00005364,0.00005800,0.00005260,0.00005511,1137723.00000000,2019-10-09 08:59:59.999,62.38146341,4434,500530.00000000,27.63628214,0
21,2019-10-09 09:00:00.000,0.00005510,0.00005964,0.00005381,0.00005463,2204334.00000000,2019-10-10 08:59:59.999,124.63671941,7440,940776.00000000,53.55963291,0
22,2019-10-10 09:00:00.000,0.00005459,0.00005700,0.00005040,0.00005154,1023636.00000000,2019-10-11 08:59:59.999,54.07071825,5487,373134.00000000,19.76189679,0
