,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004500,0.00004511,0.00004263,0.00004439,16013612.00000000,2019-05-24 08:59:59.999,702.20423613,26445,8048791.00000000,353.02405969,0
1,2019-05-24 09:00:00.000,0.00004439,0.00004576,0.00004213,0.00004397,19497945.00000000,2019-05-25 08:59:59.999,863.64295265,31130,9393910.00000000,416.24434535,0
2,2019-05-25 09:00:00.000,0.00004396,0.00004452,0.00004287,0.00004330,7852802.00000000,2019-05-26 08:59:59.999,342.25569997,13455,4121257.00000000,179.69528472,0
3,2019-05-26 09:00:00.000,0.00004324,0.00004499,0.00004000,0.00004058,12226958.00000000,2019-05-27 08:59:59.999,520.42132950,20595,6130349.00000000,261.01662400,0
4,2019-05-27 09:00:00.000,0.00004059,0.00004442,0.00004003,0.00004316,17335126.00000000,2019-05-28 08:59:59.999,736.74816996,31457,8491810.00000000,360.70774525,0
5,2019-05-28 09:00:00.000,0.00004317,0.00004338,0.00004155,0.00004240,12573091.00000000,2019-05-29 08:59:59.999,530.90325814,20962,6484262.00000000,273.84044492,0
6,2019-05-29 09:00:00.000,0.00004239,0.00004256,0.00004075,0.00004179,12205045.00000000,2019-05-30 08:59:59.999,507.46017121,19124,6834246.00000000,284.25640998,0
7,2019-05-30 09:00:00.000,0.00004180,0.00004378,0.00003892,0.00004067,27272906.00000000,2019-05-31 08:59:59.999,1136.77914970,42318,13256169.00000000,552.66425150,0
8,2019-05-31 09:00:00.000,0.00004066,0.00004148,0.00003914,0.00004070,11065370.00000000,2019-06-01 08:59:59.999,448.16100917,20489,5733069.00000000,232.21986994,0
9,2019-06-01 09:00:00.000,0.00004068,0.00004252,0.00004024,0.00004184,10413535.00000000,2019-06-02 08:59:59.999,429.40968457,19828,5147492.00000000,212.27243324,0
10,2019-06-02 09:00:00.000,0.00004186,0.00004250,0.00004075,0.00004113,10259821.00000000,2019-06-03 08:59:59.999,425.92041383,17805,4783115.00000000,198.52615981,0
11,2019-06-03 09:00:00.000,0.00004113,0.00004380,0.00004041,0.00004159,19178120.00000000,2019-06-04 08:59:59.999,807.15066635,30798,9347402.00000000,393.56859215,0
12,2019-06-04 09:00:00.000,0.00004158,0.00004483,0.00004055,0.00004292,25507767.00000000,2019-06-05 08:59:59.999,1098.67581508,43885,13275547.00000000,571.57810302,0
13,2019-06-05 09:00:00.000,0.00004295,0.00004386,0.00004161,0.00004214,13393114.00000000,2019-06-06 08:59:59.999,571.41466287,23908,6509698.00000000,277.92776112,0
14,2019-06-06 09:00:00.000,0.00004215,0.00004270,0.00004127,0.00004194,10194138.00000000,2019-06-07 08:59:59.999,428.68837716,16895,5169358.00000000,217.55731979,0
15,2019-06-07 09:00:00.000,0.00004190,0.00004333,0.00004170,0.00004229,10451116.00000000,2019-06-08 08:59:59.999,443.96898567,17447,4750522.00000000,202.03869085,0
16,2019-06-08 09:00:00.000,0.00004228,0.00004380,0.00004195,0.00004251,6715706.00000000,2019-06-09 08:59:59.999,288.41119362,14175,3444410.00000000,147.95334612,0
17,2019-06-09 09:00:00.000,0.00004249,0.00004360,0.00004143,0.00004168,8779613.00000000,2019-06-10 08:59:59.999,372.83913351,15962,4441414.00000000,188.67346002,0
18,2019-06-10 09:00:00.000,0.00004171,0.00004250,0.00004135,0.00004159,7062463.00000000,2019-06-11 08:59:59.999,295.86117541,14014,3647371.00000000,152.89062956,0
19,2019-06-11 09:00:00.000,0.00004163,0.00004174,0.00004081,0.00004107,6042818.00000000,2019-06-12 08:59:59.999,249.16749273,12236,3015712.00000000,124.36113273,0
20,2019-06-12 09:00:00.000,0.00004107,0.00004206,0.00004027,0.00004092,7336485.00000000,2019-06-13 08:59:59.999,302.43667103,15647,3579210.00000000,147.59664410,0
21,2019-06-13 09:00:00.000,0.00004092,0.00004112,0.00003897,0.00003953,8389702.00000000,2019-06-14 08:59:59.999,337.08455497,15156,3873615.00000000,155.82053232,0
22,2019-06-14 09:00:00.000,0.00003954,0.00003991,0.00003634,0.00003668,12333281.00000000,2019-06-15 08:59:59.999,467.18382502,22644,5850372.00000000,221.48486556,0
23,2019-06-15 09:00:00.000,0.00003677,0.00003864,0.00003660,0.00003733,11079391.00000000,2019-06-16 08:59:59.999,417.01707984,17823,5333763.00000000,200.73906898,0
24,2019-06-16 09:00:00.000,0.00003734,0.00003764,0.00003467,0.00003740,13358085.00000000,2019-06-17 08:59:59.999,482.80194130,23089,6710903.00000000,242.80867600,0
25,2019-06-17 09:00:00.000,0.00003742,0.00003968,0.00003614,0.00003694,25936895.00000000,2019-06-18 08:59:59.999,990.84904235,42177,11725244.00000000,448.26983364,0
26,2019-06-18 09:00:00.000,0.00003696,0.00003882,0.00003642,0.00003869,12148202.00000000,2019-06-19 08:59:59.999,455.70602187,26240,6558372.00000000,246.13019983,0
27,2019-06-19 09:00:00.000,0.00003858,0.00003862,0.00003660,0.00003679,8034118.00000000,2019-06-20 08:59:59.999,301.87648311,17279,4029098.00000000,151.41748988,0
