,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00013900,0.00014000,0.00012900,0.00013200,565502.50400000,2019-05-24 08:59:59.999,75.32637208,3208,252462.14600000,33.65615984,0
1,2019-05-24 09:00:00.000,0.00013200,0.00013800,0.00012800,0.00013000,505018.16500000,2019-05-25 08:59:59.999,66.65553120,2869,239565.35600000,31.72845647,0
2,2019-05-25 09:00:00.000,0.00013100,0.00013200,0.00012700,0.00012800,202446.82000000,2019-05-26 08:59:59.999,26.08154883,1227,62132.44100000,8.03988581,0
3,2019-05-26 09:00:00.000,0.00012800,0.00013200,0.00012100,0.00012300,417769.94600000,2019-05-27 08:59:59.999,53.20544015,2269,175088.43300000,22.36873951,0
4,2019-05-27 09:00:00.000,0.00012300,0.00012600,0.00012100,0.00012400,436330.37200000,2019-05-28 08:59:59.999,53.90649446,2810,189605.29000000,23.54680986,0
5,2019-05-28 09:00:00.000,0.00012400,0.00012700,0.00012200,0.00012300,319738.65400000,2019-05-29 08:59:59.999,39.61376176,2078,137127.76800000,17.05410835,0
6,2019-05-29 09:00:00.000,0.00012300,0.00015600,0.00012200,0.00014800,3159692.33400000,2019-05-30 08:59:59.999,442.87644439,16879,1581170.80400000,222.14564507,0
7,2019-05-30 09:00:00.000,0.00014800,0.00020900,0.00014700,0.00015900,15117151.72800000,2019-05-31 08:59:59.999,2770.93491608,66324,7200686.19800000,1322.72012006,0
8,2019-05-31 09:00:00.000,0.00015800,0.00018000,0.00015300,0.00017800,2504742.88800000,2019-06-01 08:59:59.999,413.40554444,15749,1259356.62900000,208.36701696,0
9,2019-06-01 09:00:00.000,0.00017800,0.00018000,0.00015600,0.00015800,1368296.45100000,2019-06-02 08:59:59.999,227.18038699,8690,616725.63700000,102.69309525,0
10,2019-06-02 09:00:00.000,0.00015900,0.00016500,0.00015400,0.00015700,696725.92700000,2019-06-03 08:59:59.999,110.20688121,4360,320885.81700000,50.74738693,0
11,2019-06-03 09:00:00.000,0.00015600,0.00016900,0.00015600,0.00016100,957933.85400000,2019-06-04 08:59:59.999,154.63734882,7704,452448.85700000,73.18789330,0
12,2019-06-04 09:00:00.000,0.00016100,0.00016200,0.00014800,0.00015200,887357.79100000,2019-06-05 08:59:59.999,138.55406106,6839,385704.22600000,60.49238354,0
13,2019-06-05 09:00:00.000,0.00015200,0.00015700,0.00014800,0.00015400,983634.01200000,2019-06-06 08:59:59.999,150.59870113,5946,466359.36700000,71.64409584,0
14,2019-06-06 09:00:00.000,0.00015400,0.00015600,0.00014800,0.00015000,428476.52700000,2019-06-07 08:59:59.999,65.14276579,3066,165153.21400000,25.19796475,0
15,2019-06-07 09:00:00.000,0.00014900,0.00015500,0.00014800,0.00015200,423669.26800000,2019-06-08 08:59:59.999,63.97667989,3147,211637.43600000,32.05095567,0
16,2019-06-08 09:00:00.000,0.00015200,0.00015400,0.00014900,0.00015000,223797.48400000,2019-06-09 08:59:59.999,33.79453110,1956,99135.40700000,15.01373510,0
17,2019-06-09 09:00:00.000,0.00015000,0.00015300,0.00014500,0.00014900,381058.62200000,2019-06-10 08:59:59.999,56.73774873,3422,171630.78600000,25.64050237,0
18,2019-06-10 09:00:00.000,0.00014900,0.00017000,0.00014600,0.00015200,1156845.99300000,2019-06-11 08:59:59.999,181.98857556,8604,501352.16200000,79.33465391,0
19,2019-06-11 09:00:00.000,0.00015200,0.00015400,0.00014800,0.00015200,386837.11500000,2019-06-12 08:59:59.999,58.57280306,2503,171505.53400000,26.04487855,0
20,2019-06-12 09:00:00.000,0.00015200,0.00016000,0.00015100,0.00015200,456437.28800000,2019-06-13 08:59:59.999,70.13729125,3965,155431.94300000,24.02690061,0
21,2019-06-13 09:00:00.000,0.00015300,0.00015600,0.00014700,0.00014900,502239.10900000,2019-06-14 08:59:59.999,75.89596652,3562,258590.58000000,39.16981379,0
22,2019-06-14 09:00:00.000,0.00015000,0.00015100,0.00013700,0.00014200,448687.49500000,2019-06-15 08:59:59.999,64.69463279,3585,206855.04700000,29.79277611,0
23,2019-06-15 09:00:00.000,0.00014100,0.00014300,0.00013900,0.00014000,183835.76200000,2019-06-16 08:59:59.999,25.94469189,1507,82573.57200000,11.69860561,0
24,2019-06-16 09:00:00.000,0.00014000,0.00014100,0.00013400,0.00013800,327839.15100000,2019-06-17 08:59:59.999,44.87194317,3061,149348.56400000,20.50885590,0
25,2019-06-17 09:00:00.000,0.00013800,0.00015500,0.00013400,0.00015400,1354086.31600000,2019-06-18 08:59:59.999,198.63078499,12807,693345.88000000,102.16921940,0
26,2019-06-18 09:00:00.000,0.00015400,0.00015800,0.00013600,0.00014100,955280.04300000,2019-06-19 08:59:59.999,137.92215008,7196,446787.88100000,64.82567142,0
27,2019-06-19 09:00:00.000,0.00014200,0.00014300,0.00013400,0.00013800,259795.98100000,2019-06-20 08:59:59.999,36.42498541,1947,103975.44600000,14.68567765,0
28,2019-06-20 09:00:00.000,0.00013900,0.00014000,0.00013100,0.00013400,244098.63400000,2019-06-21 08:59:59.999,32.76524730,2362,83044.71200000,11.16768645,0
29,2019-06-21 09:00:00.000,0.00013400,0.00013600,0.00012700,0.00012700,274049.34900000,2019-06-22 08:59:59.999,36.02271122,2558,91418.34300000,12.07365633,0
30,2019-06-22 09:00:00.000,0.00012800,0.00013000,0.00012100,0.00012500,567828.85200000,2019-06-23 08:59:59.999,70.74826484,4882,207125.56000000,25.95471477,0
31,2019-06-23 09:00:00.000,0.00012500,0.00013000,0.00011700,0.00012200,345322.54400000,2019-06-24 08:59:59.999,42.97201008,3425,136961.92100000,17.10637518,0
32,2019-06-24 09:00:00.000,0.00012300,0.00012600,0.00011500,0.00012000,546745.29700000,2019-06-25 08:59:59.999,65.01977180,3475,307910.77300000,36.61386992,0
33,2019-06-25 09:00:00.000,0.00012000,0.00012200,0.00010700,0.00011400,465240.76400000,2019-06-26 08:59:59.999,53.97282766,3021,186327.01700000,21.70888304,0
34,2019-06-26 09:00:00.000,0.00011300,0.00011700,0.00010000,0.00010300,693428.35700000,2019-06-27 08:59:59.999,74.94660791,5922,309006.63500000,33.44993430,0
35,2019-06-27 09:00:00.000,0.00010300,0.00011000,0.00009900,0.00010400,1030409.79700000,2019-06-28 08:59:59.999,106.29426561,6146,537596.08400000,55.51233529,0
36,2019-06-28 09:00:00.000,0.00010400,0.00010800,0.00009600,0.00009800,490174.27000000,2019-06-29 08:59:59.999,49.77558098,3090,243089.36000000,24.70887675,0
37,2019-06-29 09:00:00.000,0.00009900,0.00010300,0.00009800,0.00010200,346331.13700000,2019-06-30 08:59:59.999,34.88673811,2178,149464.28600000,15.09578822,0
38,2019-06-30 09:00:00.000,0.00010100,0.00010500,0.00009900,0.00010400,436666.76600000,2019-07-01 08:59:59.999,44.42953471,2641,195147.54200000,19.95069208,0
39,2019-07-01 09:00:00.000,0.00010400,0.00010800,0.00010200,0.00010700,497132.17300000,2019-07-02 08:59:59.999,52.15522847,3186,216177.45600000,22.77637913,0
40,2019-07-02 09:00:00.000,0.00010700,0.00010900,0.00010000,0.00010200,375634.90000000,2019-07-03 08:59:59.999,39.58813820,2914,170798.08700000,18.05938197,0
41,2019-07-03 09:00:00.000,0.00010200,0.00010300,0.00009400,0.00009400,263481.05000000,2019-07-04 08:59:59.999,26.08986241,2031,93452.05300000,9.30834088,0
42,2019-07-04 09:00:00.000,0.00009400,0.00009800,0.00009300,0.00009700,268070.46100000,2019-07-05 08:59:59.999,25.49054424,1798,111293.52600000,10.64238537,0
43,2019-07-05 09:00:00.000,0.00009800,0.00010100,0.00009600,0.00009800,189746.52500000,2019-07-06 08:59:59.999,18.62288862,1749,99393.85500000,9.78998614,0
44,2019-07-06 09:00:00.000,0.00009800,0.00010300,0.00009700,0.00010100,220047.98800000,2019-07-07 08:59:59.999,21.81881784,1820,110389.78900000,10.98587800,0
45,2019-07-07 09:00:00.000,0.00010100,0.00010200,0.00009900,0.00010000,128209.84600000,2019-07-08 08:59:59.999,12.89962433,1116,43612.10700000,4.41030363,0
46,2019-07-08 09:00:00.000,0.00010000,0.00010200,0.00009400,0.00009400,152836.15900000,2019-07-09 08:59:59.999,15.04802664,1197,63466.73800000,6.27736498,0
47,2019-07-09 09:00:00.000,0.00009400,0.00009500,0.00009100,0.00009200,209878.51700000,2019-07-10 08:59:59.999,19.47079481,1926,66741.65000000,6.21022800,0
48,2019-07-10 09:00:00.000,0.00009300,0.00009300,0.00008600,0.00008800,231310.73700000,2019-07-11 08:59:59.999,20.47529325,1897,88534.02600000,7.86567805,0
49,2019-07-11 09:00:00.000,0.00008700,0.00009000,0.00008300,0.00008700,388522.35200000,2019-07-12 08:59:59.999,33.36137541,2843,156547.20200000,13.50537345,0
50,2019-07-12 09:00:00.000,0.00008800,0.00009100,0.00008500,0.00008700,370666.89900000,2019-07-13 08:59:59.999,32.38537270,2482,182379.75600000,15.95576653,0
51,2019-07-13 09:00:00.000,0.00008700,0.00009000,0.00008600,0.00008800,206187.68300000,2019-07-14 08:59:59.999,18.05900514,1629,91854.85900000,8.08548302,0
52,2019-07-14 09:00:00.000,0.00008800,0.00008900,0.00007900,0.00008400,546504.54900000,2019-07-15 08:59:59.999,45.24326175,3166,244504.41300000,20.38117300,0
53,2019-07-15 09:00:00.000,0.00008400,0.00008400,0.00007300,0.00007700,707775.55200000,2019-07-16 08:59:59.999,54.32315951,3954,311088.62600000,23.95529171,0
54,2019-07-16 09:00:00.000,0.00007600,0.00007900,0.00007400,0.00007800,446953.31900000,2019-07-17 08:59:59.999,34.15518786,2398,232733.73400000,17.85985461,0
55,2019-07-17 09:00:00.000,0.00007700,0.00008700,0.00007600,0.00008300,334043.92800000,2019-07-18 08:59:59.999,27.09389000,2762,146952.93800000,11.95376364,0
56,2019-07-18 09:00:00.000,0.00008200,0.00008300,0.00007600,0.00007700,281773.64300000,2019-07-19 08:59:59.999,22.45518259,1967,114952.68800000,9.20266806,0
57,2019-07-19 09:00:00.000,0.00007600,0.00007800,0.00007500,0.00007800,149442.44800000,2019-07-20 08:59:59.999,11.48319255,1023,84560.86900000,6.52275917,0
58,2019-07-20 09:00:00.000,0.00007800,0.00008500,0.00007700,0.00008200,214587.01700000,2019-07-21 08:59:59.999,17.18298901,1830,113383.85300000,9.08181226,0
59,2019-07-21 09:00:00.000,0.00008200,0.00008200,0.00007800,0.00008000,142080.55000000,2019-07-22 08:59:59.999,11.40844653,976,56827.29200000,4.58750807,0
60,2019-07-22 09:00:00.000,0.00007900,0.00008200,0.00007900,0.00008000,176175.60900000,2019-07-23 08:59:59.999,14.12677567,1007,75337.58500000,6.05966916,0
61,2019-07-23 09:00:00.000,0.00008000,0.00008400,0.00007900,0.00008400,155779.21900000,2019-07-24 08:59:59.999,12.56955769,1129,82414.07300000,6.68837535,0
62,2019-07-24 09:00:00.000,0.00008300,0.00008500,0.00008100,0.00008300,147004.61900000,2019-07-25 08:59:59.999,12.13031171,1312,72251.61100000,5.98327598,0
63,2019-07-25 09:00:00.000,0.00008300,0.00008400,0.00008100,0.00008200,177247.21200000,2019-07-26 08:59:59.999,14.52874558,1155,66916.16200000,5.50949462,0
64,2019-07-26 09:00:00.000,0.00008200,0.00008400,0.00008100,0.00008300,196740.72400000,2019-07-27 08:59:59.999,16.19664802,1264,118300.13600000,9.75738337,0
65,2019-07-27 09:00:00.000,0.00008300,0.00008500,0.00008000,0.00008300,185513.96700000,2019-07-28 08:59:59.999,15.21526738,1678,119094.20300000,9.79766837,0
66,2019-07-28 09:00:00.000,0.00008300,0.00009400,0.00008200,0.00008400,450891.45600000,2019-07-29 08:59:59.999,38.94917623,3718,257139.95000000,22.27783649,0
67,2019-07-29 09:00:00.000,0.00008400,0.00008600,0.00008200,0.00008500,266342.70000000,2019-07-30 08:59:59.999,22.33420682,1967,128545.78200000,10.82228704,0
68,2019-07-30 09:00:00.000,0.00008600,0.00008600,0.00008300,0.00008400,144110.20700000,2019-07-31 08:59:59.999,12.13918079,1028,65333.65300000,5.51808612,0
69,2019-07-31 09:00:00.000,0.00008500,0.00008500,0.00008000,0.00008200,142904.47600000,2019-08-01 08:59:59.999,11.78828573,1273,65380.15100000,5.42035993,0
70,2019-08-01 09:00:00.000,0.00008100,0.00008300,0.00007600,0.00007800,128483.58200000,2019-08-02 08:59:59.999,10.19570374,1327,53993.71200000,4.30964087,0
71,2019-08-02 09:00:00.000,0.00007700,0.00007900,0.00007500,0.00007700,157247.48200000,2019-08-03 08:59:59.999,12.07111061,1401,82736.17500000,6.38218169,0
72,2019-08-03 09:00:00.000,0.00007700,0.00007800,0.00007300,0.00007500,99990.13900000,2019-08-04 08:59:59.999,7.43562764,1300,33850.24500000,2.52473620,0
73,2019-08-04 09:00:00.000,0.00007500,0.00007600,0.00007200,0.00007200,89819.80800000,2019-08-05 08:59:59.999,6.64681736,1326,38411.80700000,2.86544120,0
74,2019-08-05 09:00:00.000,0.00007200,0.00007300,0.00006700,0.00006800,221678.65100000,2019-08-06 08:59:59.999,15.35697357,1679,94464.60000000,6.54652451,0
75,2019-08-06 09:00:00.000,0.00006800,0.00006900,0.00006500,0.00006700,165970.96800000,2019-08-07 08:59:59.999,11.19477732,1517,80806.97700000,5.47452214,0
76,2019-08-07 09:00:00.000,0.00006700,0.00006800,0.00006400,0.00006600,162540.47000000,2019-08-08 08:59:59.999,10.78416032,1486,77916.39200000,5.17988565,0
77,2019-08-08 09:00:00.000,0.00006500,0.00006600,0.00006300,0.00006500,117835.59400000,2019-08-09 08:59:59.999,7.65318884,1159,52008.23600000,3.40020179,0
78,2019-08-09 09:00:00.000,0.00006400,0.00006600,0.00006100,0.00006200,126489.71300000,2019-08-10 08:59:59.999,7.95983608,1212,61075.68800000,3.86758687,0
79,2019-08-10 09:00:00.000,0.00006200,0.00006400,0.00005800,0.00006300,318103.01100000,2019-08-11 08:59:59.999,19.37433782,3017,217453.27100000,13.25298156,0
80,2019-08-11 09:00:00.000,0.00006400,0.00006600,0.00006200,0.00006400,104365.81800000,2019-08-12 08:59:59.999,6.71771279,1120,54278.13700000,3.50397423,0
81,2019-08-12 09:00:00.000,0.00006400,0.00006900,0.00006400,0.00006500,248912.29300000,2019-08-13 08:59:59.999,16.44805148,1841,111924.22700000,7.41976357,0
82,2019-08-13 09:00:00.000,0.00006500,0.00007200,0.00006400,0.00006900,261139.05200000,2019-08-14 08:59:59.999,17.55402598,2322,147486.76000000,9.95314206,0
83,2019-08-14 09:00:00.000,0.00006900,0.00008100,0.00006800,0.00006800,989054.61100000,2019-08-15 08:59:59.999,74.32828540,6445,554716.39500000,42.28572030,0
84,2019-08-15 09:00:00.000,0.00006800,0.00007000,0.00006700,0.00006900,102677.08700000,2019-08-16 08:59:59.999,6.99927151,676,43732.44400000,2.99531770,0
85,2019-08-16 09:00:00.000,0.00006900,0.00007000,0.00006700,0.00006700,159025.91600000,2019-08-17 08:59:59.999,10.88274283,999,85847.41100000,5.91015513,0
86,2019-08-17 09:00:00.000,0.00006800,0.00006800,0.00006600,0.00006800,101943.34100000,2019-08-18 08:59:59.999,6.79659995,726,49825.94600000,3.34130320,0
87,2019-08-18 09:00:00.000,0.00006700,0.00006900,0.00006700,0.00006900,92012.06000000,2019-08-19 08:59:59.999,6.25344085,527,55616.98500000,3.79563888,0
