,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-11-28 09:00:00.000,0.02933000,0.03070200,0.02610000,0.02931800,5235.61800000,2019-11-29 08:59:59.999,152.56913873,3624,2499.03100000,72.90332564,0
1,2019-11-29 09:00:00.000,0.02931500,0.02990000,0.02880000,0.02894100,12177.09700000,2019-11-30 08:59:59.999,357.47872871,16441,5385.89700000,158.40353268,0
2,2019-11-30 09:00:00.000,0.02892100,0.02899400,0.02857600,0.02882500,8003.03700000,2019-12-01 08:59:59.999,230.60332648,14328,3430.92100000,98.88301579,0
3,2019-12-01 09:00:00.000,0.02882500,0.02929800,0.02874400,0.02898900,9630.51600000,2019-12-02 08:59:59.999,279.86358849,13195,4579.16700000,133.15458538,0
4,2019-12-02 09:00:00.000,0.02898900,0.02946000,0.02895400,0.02928700,11875.65200000,2019-12-03 08:59:59.999,346.98799024,14591,5497.78900000,160.66203872,0
5,2019-12-03 09:00:00.000,0.02928700,0.02939700,0.02890000,0.02898400,6971.85300000,2019-12-04 08:59:59.999,203.45585752,13719,2556.53200000,74.64816187,0
6,2019-12-04 09:00:00.000,0.02900500,0.02925800,0.02819900,0.02883900,20177.07700000,2019-12-05 08:59:59.999,578.70423781,24709,10571.90500000,303.50111322,0
7,2019-12-05 09:00:00.000,0.02884600,0.02901000,0.02837700,0.02863200,13313.23700000,2019-12-06 08:59:59.999,382.14805128,17413,6258.08400000,179.70116789,0
8,2019-12-06 09:00:00.000,0.02864400,0.02886900,0.02814700,0.02826200,10563.76800000,2019-12-07 08:59:59.999,301.58306915,16640,5487.25100000,156.73297926,0
9,2019-12-07 09:00:00.000,0.02828500,0.02858100,0.02810000,0.02817700,5458.61100000,2019-12-08 08:59:59.999,154.59440401,15267,2276.40500000,64.47465524,0
10,2019-12-08 09:00:00.000,0.02817800,0.02848100,0.02795500,0.02829300,6864.97800000,2019-12-09 08:59:59.999,194.07231035,16755,3020.58600000,85.47210061,0
11,2019-12-09 09:00:00.000,0.02829300,0.02853500,0.02796000,0.02835200,10549.55700000,2019-12-10 08:59:59.999,298.02040095,17070,5205.57500000,147.13054822,0
12,2019-12-10 09:00:00.000,0.02836700,0.02866100,0.02815200,0.02860000,11491.41300000,2019-12-11 08:59:59.999,325.96910627,17697,7418.42300000,210.48813362,0
13,2019-12-11 09:00:00.000,0.02860000,0.02876300,0.02840000,0.02871600,5637.00100000,2019-12-12 08:59:59.999,161.29022829,14683,2540.11500000,72.69780976,0
14,2019-12-12 09:00:00.000,0.02871600,0.02890000,0.02846100,0.02871200,7044.52200000,2019-12-13 08:59:59.999,202.16094253,16011,2907.71900000,83.48772306,0
15,2019-12-13 09:00:00.000,0.02871200,0.02927500,0.02857100,0.02914900,10264.86900000,2019-12-14 08:59:59.999,296.71130781,11073,4927.57100000,142.43731724,0
16,2019-12-14 09:00:00.000,0.02914900,0.02933700,0.02901700,0.02913900,12096.91200000,2019-12-15 08:59:59.999,353.27663075,10044,5976.67800000,174.68756079,0
17,2019-12-15 09:00:00.000,0.02913900,0.02933700,0.02878700,0.02906900,8987.27000000,2019-12-16 08:59:59.999,261.99373086,7381,4478.85200000,130.69454155,0
18,2019-12-16 09:00:00.000,0.02904500,0.02925000,0.02820000,0.02847200,19498.97600000,2019-12-17 08:59:59.999,558.36201567,16614,8393.86000000,240.53714329,0
19,2019-12-17 09:00:00.000,0.02847200,0.02854500,0.02605400,0.02663500,31481.96200000,2019-12-18 08:59:59.999,858.63345772,25025,13739.40900000,373.97470068,0
20,2019-12-18 09:00:00.000,0.02665200,0.02712400,0.02574800,0.02598600,30521.66800000,2019-12-19 08:59:59.999,807.28284316,27826,13355.97100000,353.37852001,0
21,2019-12-19 09:00:00.000,0.02596600,0.02646700,0.02582600,0.02600900,12920.84100000,2019-12-20 08:59:59.999,337.39298905,11357,6133.56800000,160.09215594,0
22,2019-12-20 09:00:00.000,0.02600900,0.02651900,0.02586300,0.02607100,9799.50800000,2019-12-21 08:59:59.999,256.74224866,8763,5296.55900000,138.78638123,0
23,2019-12-21 09:00:00.000,0.02607000,0.02633700,0.02590800,0.02609600,4741.90400000,2019-12-22 08:59:59.999,123.93110263,5503,2204.46500000,57.60633565,0
24,2019-12-22 09:00:00.000,0.02609600,0.02662300,0.02594800,0.02617000,8475.01900000,2019-12-23 08:59:59.999,222.52377490,7772,3604.87300000,94.59696962,0
25,2019-12-23 09:00:00.000,0.02615700,0.02625500,0.02560000,0.02591500,8526.20000000,2019-12-24 08:59:59.999,221.11613149,7635,4185.62400000,108.59104129,0
26,2019-12-24 09:00:00.000,0.02592900,0.02619700,0.02560000,0.02594100,8699.65100000,2019-12-25 08:59:59.999,225.55188452,7928,4626.50800000,120.01416745,0
27,2019-12-25 09:00:00.000,0.02593800,0.02602900,0.02545000,0.02573000,5441.74700000,2019-12-26 08:59:59.999,140.07901472,4601,2598.73500000,66.93355263,0
28,2019-12-26 09:00:00.000,0.02573000,0.02649900,0.02558000,0.02604800,10247.94700000,2019-12-27 08:59:59.999,266.00583911,8448,4618.19400000,120.02888589,0
29,2019-12-27 09:00:00.000,0.02604900,0.02814900,0.02595900,0.02802100,35736.15800000,2019-12-28 08:59:59.999,969.38185718,20847,19211.37500000,520.53148047,0
30,2019-12-28 09:00:00.000,0.02801200,0.02876700,0.02795400,0.02820800,24304.20000000,2019-12-29 08:59:59.999,688.70245647,15557,11741.41900000,332.83715466,0
31,2019-12-29 09:00:00.000,0.02818700,0.02910100,0.02801200,0.02873300,19110.61500000,2019-12-30 08:59:59.999,547.60677620,14842,8736.50800000,250.35051709,0
32,2019-12-30 09:00:00.000,0.02873900,0.02909500,0.02840600,0.02878000,14937.21800000,2019-12-31 08:59:59.999,429.81916320,11785,7484.65100000,215.47354015,0
33,2019-12-31 09:00:00.000,0.02878300,0.02934900,0.02811400,0.02843900,19638.20700000,2020-01-01 08:59:59.999,565.13238445,13022,9912.93900000,285.40450380,0
34,2020-01-01 09:00:00.000,0.02844100,0.02887800,0.02827300,0.02837100,7292.82400000,2020-01-02 08:59:59.999,208.14692646,7326,3307.35700000,94.40814722,0
35,2020-01-02 09:00:00.000,0.02837000,0.02857200,0.02774500,0.02805800,13879.34600000,2020-01-03 08:59:59.999,391.47884130,10340,6266.62700000,176.80382060,0
36,2020-01-03 09:00:00.000,0.02806600,0.03050000,0.02781000,0.03028600,42789.97700000,2020-01-04 08:59:59.999,1259.43878063,27932,20810.50900000,612.00315079,0
37,2020-01-04 09:00:00.000,0.03028600,0.03088900,0.03006200,0.03053100,21450.54000000,2020-01-05 08:59:59.999,652.06815568,14141,10058.15400000,305.59955000,0
