,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000684,0.00000825,0.00000674,0.00000744,42755213.00000000,2019-05-24 08:59:59.999,318.68759080,14353,20162789.00000000,150.61991601,0
1,2019-05-24 09:00:00.000,0.00000745,0.00000775,0.00000675,0.00000693,26196001.00000000,2019-05-25 08:59:59.999,189.89779329,7844,12818648.00000000,92.97339531,0
2,2019-05-25 09:00:00.000,0.00000693,0.00000940,0.00000690,0.00000909,49403897.00000000,2019-05-26 08:59:59.999,396.27501877,19092,25763373.00000000,207.16322055,0
3,2019-05-26 09:00:00.000,0.00000909,0.00001233,0.00000811,0.00000818,173007510.00000000,2019-05-27 08:59:59.999,1753.63745462,65201,81855042.00000000,832.95456803,0
4,2019-05-27 09:00:00.000,0.00000817,0.00000886,0.00000770,0.00000794,44535363.00000000,2019-05-28 08:59:59.999,365.71869451,15205,20789050.00000000,170.96169356,0
5,2019-05-28 09:00:00.000,0.00000793,0.00001076,0.00000781,0.00000874,69908703.00000000,2019-05-29 08:59:59.999,657.41444026,28080,34613708.00000000,324.86841617,0
6,2019-05-29 09:00:00.000,0.00000874,0.00000927,0.00000830,0.00000864,29878601.00000000,2019-05-30 08:59:59.999,261.17798220,10680,14368546.00000000,125.86096884,0
7,2019-05-30 09:00:00.000,0.00000864,0.00000992,0.00000830,0.00000879,66586640.00000000,2019-05-31 08:59:59.999,610.30919008,20964,32038545.00000000,294.69527497,0
8,2019-05-31 09:00:00.000,0.00000879,0.00000975,0.00000796,0.00000881,52335463.00000000,2019-06-01 08:59:59.999,473.68525265,17060,25860830.00000000,233.68951465,0
9,2019-06-01 09:00:00.000,0.00000877,0.00000880,0.00000816,0.00000845,22847067.00000000,2019-06-02 08:59:59.999,192.91215913,8207,10367650.00000000,87.65816089,0
10,2019-06-02 09:00:00.000,0.00000845,0.00000956,0.00000805,0.00000892,33146981.00000000,2019-06-03 08:59:59.999,297.06018219,13318,16280636.00000000,146.29952680,0
11,2019-06-03 09:00:00.000,0.00000892,0.00000939,0.00000809,0.00000817,36299681.00000000,2019-06-04 08:59:59.999,313.31916763,12423,15834441.00000000,137.27922253,0
12,2019-06-04 09:00:00.000,0.00000816,0.00000835,0.00000760,0.00000779,24319911.00000000,2019-06-05 08:59:59.999,194.83122456,7947,11047298.00000000,88.52627816,0
13,2019-06-05 09:00:00.000,0.00000779,0.00000802,0.00000749,0.00000781,16707031.00000000,2019-06-06 08:59:59.999,129.79327254,5960,7440469.00000000,57.95711047,0
14,2019-06-06 09:00:00.000,0.00000781,0.00000796,0.00000754,0.00000771,7066000.00000000,2019-06-07 08:59:59.999,54.78214494,2911,3184876.00000000,24.76970136,0
