,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-09-21 09:00:00.000,0.00013950,0.00015540,0.00011000,0.00013250,1789760.41000000,2019-09-22 08:59:59.999,253.78277770,16107,840963.44000000,119.37565125,0
1,2019-09-22 09:00:00.000,0.00013250,0.00013390,0.00012120,0.00012450,800479.82000000,2019-09-23 08:59:59.999,101.40887390,11130,344048.75000000,43.66864199,0
2,2019-09-23 09:00:00.000,0.00012390,0.00014300,0.00011800,0.00012320,1115688.48000000,2019-09-24 08:59:59.999,144.91995841,12606,414904.00000000,53.88603794,0
3,2019-09-24 09:00:00.000,0.00012370,0.00013450,0.00009970,0.00011760,890599.68000000,2019-09-25 08:59:59.999,110.38623602,11864,413496.03000000,51.65195339,0
4,2019-09-25 09:00:00.000,0.00011760,0.00011910,0.00010290,0.00011190,422181.13000000,2019-09-26 08:59:59.999,46.19576644,6193,175177.21000000,19.27101390,0
5,2019-09-26 09:00:00.000,0.00011160,0.00011350,0.00010080,0.00010460,470334.68000000,2019-09-27 08:59:59.999,50.65909871,6142,209860.42000000,22.56096197,0
6,2019-09-27 09:00:00.000,0.00010470,0.00010890,0.00010100,0.00010310,411597.65000000,2019-09-28 08:59:59.999,42.69849455,4639,168889.44000000,17.57018472,0
7,2019-09-28 09:00:00.000,0.00010310,0.00010940,0.00010250,0.00010620,352026.84000000,2019-09-29 08:59:59.999,37.39446676,4359,164542.50000000,17.54666642,0
8,2019-09-29 09:00:00.000,0.00010620,0.00013080,0.00010260,0.00011590,912379.13000000,2019-09-30 08:59:59.999,105.87125618,13919,429537.40000000,49.84169979,0
9,2019-09-30 09:00:00.000,0.00011540,0.00012050,0.00010890,0.00011440,734426.43000000,2019-10-01 08:59:59.999,83.61184079,16477,424462.16000000,48.44305632,0
10,2019-10-01 09:00:00.000,0.00011370,0.00011500,0.00010710,0.00010850,253420.80000000,2019-10-02 08:59:59.999,27.74565837,4218,99025.33000000,10.86192005,0
11,2019-10-02 09:00:00.000,0.00010900,0.00010980,0.00010490,0.00010850,166417.68000000,2019-10-03 08:59:59.999,17.81097834,4147,83887.45000000,8.99170897,0
12,2019-10-03 09:00:00.000,0.00010850,0.00010850,0.00010240,0.00010380,195879.54000000,2019-10-04 08:59:59.999,20.53523975,3267,71187.69000000,7.46834695,0
13,2019-10-04 09:00:00.000,0.00010380,0.00010950,0.00010250,0.00010480,289588.23000000,2019-10-05 08:59:59.999,30.78613862,4778,107588.25000000,11.41783279,0
14,2019-10-05 09:00:00.000,0.00010470,0.00010820,0.00010430,0.00010580,218902.04000000,2019-10-06 08:59:59.999,23.21647854,4326,90653.46000000,9.63321154,0
15,2019-10-06 09:00:00.000,0.00010620,0.00010650,0.00010080,0.00010190,296032.63000000,2019-10-07 08:59:59.999,30.79189112,6015,127213.79000000,13.25650278,0
16,2019-10-07 09:00:00.000,0.00010230,0.00010470,0.00009980,0.00010170,213581.48000000,2019-10-08 08:59:59.999,21.83493353,3055,86012.86000000,8.79364447,0
17,2019-10-08 09:00:00.000,0.00010170,0.00010410,0.00010020,0.00010310,205100.68000000,2019-10-09 08:59:59.999,20.84997294,3250,81144.84000000,8.27430477,0
18,2019-10-09 09:00:00.000,0.00010330,0.00010700,0.00010000,0.00010180,419768.70000000,2019-10-10 08:59:59.999,43.44493327,5542,162178.09000000,16.79697322,0
19,2019-10-10 09:00:00.000,0.00010180,0.00010240,0.00009310,0.00009540,349799.54000000,2019-10-11 08:59:59.999,34.01442504,3650,121587.14000000,11.80236197,0
20,2019-10-11 09:00:00.000,0.00009540,0.00009840,0.00009100,0.00009420,453961.55000000,2019-10-12 08:59:59.999,42.61358025,4063,210895.96000000,19.83531181,0
21,2019-10-12 09:00:00.000,0.00009420,0.00009740,0.00009240,0.00009430,391691.66000000,2019-10-13 08:59:59.999,37.12869041,3952,146232.16000000,13.89551042,0
22,2019-10-13 09:00:00.000,0.00009410,0.00009500,0.00009060,0.00009100,199628.71000000,2019-10-14 08:59:59.999,18.49842824,2529,68640.87000000,6.37360736,0
23,2019-10-14 09:00:00.000,0.00009110,0.00009340,0.00008670,0.00008930,759253.86000000,2019-10-15 08:59:59.999,68.11159658,6286,332022.55000000,29.77747084,0
24,2019-10-15 09:00:00.000,0.00008970,0.00009250,0.00008290,0.00008450,543038.42000000,2019-10-16 08:59:59.999,47.49155198,4529,233052.87000000,20.45324596,0
25,2019-10-16 09:00:00.000,0.00008470,0.00008540,0.00007280,0.00007720,2542155.37000000,2019-10-17 08:59:59.999,196.30202187,15513,944027.30000000,72.67577624,0
26,2019-10-17 09:00:00.000,0.00007720,0.00007720,0.00007170,0.00007300,1496392.90000000,2019-10-18 08:59:59.999,110.63888993,8762,535184.78000000,39.53955409,0
27,2019-10-18 09:00:00.000,0.00007300,0.00007380,0.00006710,0.00006850,1559921.36000000,2019-10-19 08:59:59.999,108.61397578,7087,569757.11000000,39.65392404,0
28,2019-10-19 09:00:00.000,0.00006860,0.00006900,0.00006340,0.00006540,2711922.85000000,2019-10-20 08:59:59.999,178.87109648,12393,1114904.56000000,73.66966492,0
29,2019-10-20 09:00:00.000,0.00006540,0.00007400,0.00006380,0.00007180,3451594.50000000,2019-10-21 08:59:59.999,239.76138531,16392,1596395.06000000,111.11459616,0
30,2019-10-21 09:00:00.000,0.00007180,0.00007600,0.00006860,0.00006970,2470347.41000000,2019-10-22 08:59:59.999,178.47569616,13495,989615.54000000,71.64532869,0
31,2019-10-22 09:00:00.000,0.00006980,0.00007470,0.00006880,0.00007080,1260176.00000000,2019-10-23 08:59:59.999,90.38348432,8030,495268.03000000,35.66979808,0
32,2019-10-23 09:00:00.000,0.00007080,0.00007370,0.00006750,0.00007150,1441975.31000000,2019-10-24 08:59:59.999,101.26686596,10008,653226.91000000,45.99606041,0
33,2019-10-24 09:00:00.000,0.00007170,0.00007320,0.00006830,0.00007110,728418.12000000,2019-10-25 08:59:59.999,51.14021529,5461,309241.69000000,21.80041230,0
34,2019-10-25 09:00:00.000,0.00007110,0.00007120,0.00006350,0.00006470,1451801.80000000,2019-10-26 08:59:59.999,98.11693578,8284,700658.46000000,47.32644050,0
35,2019-10-26 09:00:00.000,0.00006480,0.00006720,0.00005650,0.00005850,987614.78000000,2019-10-27 08:59:59.999,58.85049053,5449,573388.40000000,33.98537434,0
36,2019-10-27 09:00:00.000,0.00005840,0.00006290,0.00005710,0.00005930,762251.30000000,2019-10-28 08:59:59.999,45.19286753,5862,342389.75000000,20.32870951,0
37,2019-10-28 09:00:00.000,0.00005920,0.00007000,0.00005910,0.00006530,1307950.43000000,2019-10-29 08:59:59.999,86.30933292,9569,621931.79000000,40.88024488,0
38,2019-10-29 09:00:00.000,0.00006530,0.00006600,0.00006150,0.00006350,498401.14000000,2019-10-30 08:59:59.999,31.76520310,3699,235259.50000000,15.02828679,0
39,2019-10-30 09:00:00.000,0.00006350,0.00006420,0.00006040,0.00006240,434168.70000000,2019-10-31 08:59:59.999,27.03017835,3164,135835.30000000,8.45841612,0
40,2019-10-31 09:00:00.000,0.00006230,0.00006380,0.00006020,0.00006180,288095.31000000,2019-11-01 08:59:59.999,17.85085244,2752,103830.54000000,6.45675815,0
41,2019-11-01 09:00:00.000,0.00006180,0.00006500,0.00006080,0.00006320,543106.18000000,2019-11-02 08:59:59.999,33.94509861,4089,219447.88000000,13.75698017,0
42,2019-11-02 09:00:00.000,0.00006320,0.00007100,0.00006300,0.00006920,1564962.33000000,2019-11-03 08:59:59.999,106.06492093,11524,709006.14000000,48.04924293,0
43,2019-11-03 09:00:00.000,0.00006920,0.00007930,0.00006590,0.00007780,2392236.04000000,2019-11-04 08:59:59.999,174.34070381,13493,1130890.03000000,82.95101484,0
44,2019-11-04 09:00:00.000,0.00007770,0.00008380,0.00007370,0.00007870,2498526.65000000,2019-11-05 08:59:59.999,196.94977847,15293,1145757.57000000,90.53367224,0
45,2019-11-05 09:00:00.000,0.00007850,0.00007920,0.00007330,0.00007540,1080757.05000000,2019-11-06 08:59:59.999,81.60944538,7304,388830.64000000,29.40541753,0
46,2019-11-06 09:00:00.000,0.00007540,0.00008480,0.00007430,0.00008040,1706315.67000000,2019-11-07 08:59:59.999,137.33157012,15135,758289.99000000,61.02608171,0
47,2019-11-07 09:00:00.000,0.00008010,0.00008010,0.00007500,0.00007600,1120174.41000000,2019-11-08 08:59:59.999,85.53536195,7232,406790.46000000,31.14865021,0
48,2019-11-08 09:00:00.000,0.00007610,0.00007700,0.00007060,0.00007440,1089611.08000000,2019-11-09 08:59:59.999,80.26701475,7129,400963.85000000,29.55465466,0
49,2019-11-09 09:00:00.000,0.00007460,0.00008250,0.00007320,0.00007910,1943541.20000000,2019-11-10 08:59:59.999,152.33501168,13267,888166.96000000,69.60284591,0
50,2019-11-10 09:00:00.000,0.00007940,0.00008050,0.00007450,0.00007630,850262.44000000,2019-11-11 08:59:59.999,65.52525236,6790,331901.51000000,25.56890872,0
51,2019-11-11 09:00:00.000,0.00007640,0.00007640,0.00007290,0.00007440,632228.24000000,2019-11-12 08:59:59.999,47.17280273,5247,240144.38000000,17.95660091,0
52,2019-11-12 09:00:00.000,0.00007470,0.00008440,0.00007400,0.00008300,1631764.84000000,2019-11-13 08:59:59.999,130.98015166,13096,825643.27000000,66.30613704,0
53,2019-11-13 09:00:00.000,0.00008290,0.00009250,0.00008000,0.00008970,1843673.77000000,2019-11-14 08:59:59.999,160.52215695,14965,881725.59000000,77.13737389,0
54,2019-11-14 09:00:00.000,0.00008970,0.00009010,0.00008310,0.00008530,812010.37000000,2019-11-15 08:59:59.999,69.55550699,7004,261321.76000000,22.40028665,0
55,2019-11-15 09:00:00.000,0.00008520,0.00008740,0.00008020,0.00008190,693368.04000000,2019-11-16 08:59:59.999,57.74659325,5910,205090.41000000,17.18343573,0
56,2019-11-16 09:00:00.000,0.00008190,0.00008500,0.00008000,0.00008440,469432.85000000,2019-11-17 08:59:59.999,38.61768503,4482,207570.24000000,17.14638733,0
57,2019-11-17 09:00:00.000,0.00008440,0.00008790,0.00008290,0.00008570,894322.11000000,2019-11-18 08:59:59.999,76.33707756,6208,264551.26000000,22.59025115,0
58,2019-11-18 09:00:00.000,0.00008590,0.00008600,0.00007750,0.00007830,1233279.13000000,2019-11-19 08:59:59.999,100.13164690,7955,411707.98000000,33.52388369,0
59,2019-11-19 09:00:00.000,0.00007830,0.00007860,0.00007260,0.00007570,1126876.68000000,2019-11-20 08:59:59.999,84.60123761,6702,456499.57000000,34.36982458,0
60,2019-11-20 09:00:00.000,0.00007550,0.00007580,0.00007180,0.00007210,479196.98000000,2019-11-21 08:59:59.999,35.04201533,3098,178599.04000000,13.08154153,0
61,2019-11-21 09:00:00.000,0.00007230,0.00007390,0.00006750,0.00007140,638091.53000000,2019-11-22 08:59:59.999,44.74999844,4077,248293.75000000,17.45270649,0
62,2019-11-22 09:00:00.000,0.00007150,0.00007250,0.00006230,0.00006660,1096734.36000000,2019-11-23 08:59:59.999,73.58201170,7873,381312.00000000,25.70367961,0
63,2019-11-23 09:00:00.000,0.00006660,0.00007120,0.00006440,0.00006900,768858.45000000,2019-11-24 08:59:59.999,51.88621316,5144,307909.57000000,20.75541904,0
64,2019-11-24 09:00:00.000,0.00006900,0.00006920,0.00006420,0.00006430,410378.65000000,2019-11-25 08:59:59.999,27.27403819,3597,138936.15000000,9.25389774,0
65,2019-11-25 09:00:00.000,0.00006430,0.00007510,0.00006340,0.00006840,2195204.56000000,2019-11-26 08:59:59.999,152.30733692,12980,1002491.78000000,69.89297911,0
66,2019-11-26 09:00:00.000,0.00006850,0.00007380,0.00006700,0.00007120,813005.34000000,2019-11-27 08:59:59.999,57.28361586,6104,368489.19000000,26.02157720,0
67,2019-11-27 09:00:00.000,0.00007130,0.00007300,0.00006810,0.00006880,692676.49000000,2019-11-28 08:59:59.999,48.31151129,5260,277583.45000000,19.38796899,0
68,2019-11-28 09:00:00.000,0.00006880,0.00007330,0.00006790,0.00007130,700547.16000000,2019-11-29 08:59:59.999,49.18089199,4568,236667.49000000,16.61869037,0
69,2019-11-29 09:00:00.000,0.00007130,0.00007880,0.00007010,0.00007520,1229635.39000000,2019-11-30 08:59:59.999,92.46839437,10033,591461.49000000,44.58469106,0
70,2019-11-30 09:00:00.000,0.00007530,0.00007950,0.00007110,0.00007300,909673.81000000,2019-12-01 08:59:59.999,67.33919601,6464,373982.16000000,27.92357304,0
71,2019-12-01 09:00:00.000,0.00007330,0.00007540,0.00007000,0.00007120,661807.10000000,2019-12-02 08:59:59.999,48.18636576,5319,259334.64000000,18.95311320,0
72,2019-12-02 09:00:00.000,0.00007100,0.00007260,0.00006930,0.00007010,455117.28000000,2019-12-03 08:59:59.999,32.27377865,3473,190201.83000000,13.52192578,0
73,2019-12-03 09:00:00.000,0.00007010,0.00007200,0.00006960,0.00007090,320935.54000000,2019-12-04 08:59:59.999,22.72628623,2227,152685.46000000,10.85299891,0
74,2019-12-04 09:00:00.000,0.00007080,0.00007240,0.00006800,0.00007010,771011.12000000,2019-12-05 08:59:59.999,54.15346569,6124,319078.58000000,22.50115758,0
75,2019-12-05 09:00:00.000,0.00007020,0.00007330,0.00006940,0.00007040,1076242.09000000,2019-12-06 08:59:59.999,77.00781890,9562,448263.06000000,32.18130185,0
76,2019-12-06 09:00:00.000,0.00007040,0.00007200,0.00006880,0.00006980,446124.75000000,2019-12-07 08:59:59.999,31.51888362,4720,189022.05000000,13.37987122,0
77,2019-12-07 09:00:00.000,0.00006960,0.00007280,0.00006930,0.00007110,449807.11000000,2019-12-08 08:59:59.999,31.99317900,4048,179294.10000000,12.76475441,0
78,2019-12-08 09:00:00.000,0.00007120,0.00007670,0.00006930,0.00007430,1386174.71000000,2019-12-09 08:59:59.999,101.80521029,9668,593197.17000000,43.66971177,0
79,2019-12-09 09:00:00.000,0.00007440,0.00007990,0.00007350,0.00007600,1835432.38000000,2019-12-10 08:59:59.999,140.90622150,11640,847209.06000000,65.24516626,0
80,2019-12-10 09:00:00.000,0.00007640,0.00007710,0.00006930,0.00007290,1795190.56000000,2019-12-11 08:59:59.999,129.65380064,11239,924249.69000000,66.78897442,0
81,2019-12-11 09:00:00.000,0.00007300,0.00007730,0.00007260,0.00007580,624144.04000000,2019-12-12 08:59:59.999,47.03916083,6077,259037.88000000,19.55372975,0
82,2019-12-12 09:00:00.000,0.00007590,0.00008180,0.00007380,0.00007820,1803823.92000000,2019-12-13 08:59:59.999,141.25660805,10603,660209.16000000,51.80511030,0
83,2019-12-13 09:00:00.000,0.00007850,0.00008770,0.00007810,0.00008360,2095059.08000000,2019-12-14 08:59:59.999,174.98123254,11793,1073281.97000000,90.02082652,0
84,2019-12-14 09:00:00.000,0.00008370,0.00008690,0.00007940,0.00008330,815683.64000000,2019-12-15 08:59:59.999,67.34210017,6163,309070.21000000,25.63455847,0
85,2019-12-15 09:00:00.000,0.00008330,0.00008830,0.00007970,0.00008550,1270858.33000000,2019-12-16 08:59:59.999,107.44012127,8360,545853.62000000,46.38819680,0
86,2019-12-16 09:00:00.000,0.00008550,0.00008650,0.00008130,0.00008340,1224007.54000000,2019-12-17 08:59:59.999,102.34550122,6987,585306.55000000,49.10261443,0
87,2019-12-17 09:00:00.000,0.00008360,0.00008360,0.00007580,0.00007820,989065.36000000,2019-12-18 08:59:59.999,77.85711709,5832,323941.52000000,25.48624282,0
88,2019-12-18 09:00:00.000,0.00007820,0.00008250,0.00007600,0.00007670,895593.02000000,2019-12-19 08:59:59.999,70.75544024,6391,308897.84000000,24.47007089,0
89,2019-12-19 09:00:00.000,0.00007650,0.00007850,0.00007450,0.00007720,527428.77000000,2019-12-20 08:59:59.999,40.32795207,4650,183563.81000000,14.04245348,0
90,2019-12-20 09:00:00.000,0.00007720,0.00008180,0.00007660,0.00007920,706374.91000000,2019-12-21 08:59:59.999,55.89313887,4952,254072.74000000,20.22386635,0
91,2019-12-21 09:00:00.000,0.00007920,0.00008150,0.00007600,0.00007640,526069.95000000,2019-12-22 08:59:59.999,41.46723348,3338,178320.77000000,14.08920540,0
92,2019-12-22 09:00:00.000,0.00007640,0.00007810,0.00007480,0.00007640,300094.96000000,2019-12-23 08:59:59.999,22.94611808,3301,143699.43000000,11.00749751,0
93,2019-12-23 09:00:00.000,0.00007650,0.00007650,0.00007120,0.00007350,529016.87000000,2019-12-24 08:59:59.999,38.87435786,3930,172084.32000000,12.68159911,0
