,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-15 09:00:00.000,0.00007024,0.00500000,0.00007024,0.00057515,8328114.00000000,2020-09-16 08:59:59.999,5827.95013394,217565,3890898.00000000,2729.28126505,0
1,2020-09-16 09:00:00.000,0.00057769,0.00058999,0.00037666,0.00041638,4285201.00000000,2020-09-17 08:59:59.999,1908.83645929,83542,2057436.00000000,917.42770408,0
2,2020-09-17 09:00:00.000,0.00041770,0.00044890,0.00027480,0.00027675,2183125.00000000,2020-09-18 08:59:59.999,710.76828732,44746,907311.00000000,296.27249677,0
3,2020-09-18 09:00:00.000,0.00027546,0.00035520,0.00022570,0.00027484,1428679.00000000,2020-09-19 08:59:59.999,422.33242596,30606,643173.00000000,191.00222425,0
4,2020-09-19 09:00:00.000,0.00027653,0.00050670,0.00027265,0.00041545,5619500.00000000,2020-09-20 08:59:59.999,2359.67732137,98850,2666836.00000000,1122.47159419,0
5,2020-09-20 09:00:00.000,0.00041656,0.00045648,0.00031896,0.00033665,1827146.00000000,2020-09-21 08:59:59.999,686.20127808,44391,806455.00000000,303.78932244,0
6,2020-09-21 09:00:00.000,0.00033665,0.00035500,0.00027770,0.00029064,1045259.00000000,2020-09-22 08:59:59.999,321.04508349,24257,477694.00000000,147.66136577,0
7,2020-09-22 09:00:00.000,0.00029060,0.00030752,0.00023500,0.00025107,722022.00000000,2020-09-23 08:59:59.999,187.89456720,20479,311617.00000000,81.07949377,0
8,2020-09-23 09:00:00.000,0.00024965,0.00027299,0.00022222,0.00023608,863070.00000000,2020-09-24 08:59:59.999,214.25772799,20522,422486.00000000,105.32569971,0
9,2020-09-24 09:00:00.000,0.00023597,0.00025495,0.00022356,0.00024036,595091.00000000,2020-09-25 08:59:59.999,141.03897644,20030,282621.00000000,67.16130556,0
10,2020-09-25 09:00:00.000,0.00023992,0.00025459,0.00022161,0.00023099,527579.00000000,2020-09-26 08:59:59.999,124.78582519,18939,247303.00000000,58.62777233,0
11,2020-09-26 09:00:00.000,0.00023194,0.00023312,0.00021441,0.00021731,395489.00000000,2020-09-27 08:59:59.999,88.43281278,14788,169200.00000000,37.92264309,0
12,2020-09-27 09:00:00.000,0.00021691,0.00021775,0.00017931,0.00018826,726609.00000000,2020-09-28 08:59:59.999,141.48009801,23926,299920.00000000,58.41383426,0
13,2020-09-28 09:00:00.000,0.00018864,0.00019224,0.00014652,0.00014911,1004774.00000000,2020-09-29 08:59:59.999,168.46395154,25115,388693.00000000,65.32359844,0
14,2020-09-29 09:00:00.000,0.00014910,0.00015555,0.00012080,0.00012700,1669160.00000000,2020-09-30 08:59:59.999,231.79761444,32507,747467.00000000,103.88430718,0
15,2020-09-30 09:00:00.000,0.00012710,0.00014798,0.00011827,0.00013255,1477767.00000000,2020-10-01 08:59:59.999,191.63149464,22836,637705.00000000,83.28531372,0
16,2020-10-01 09:00:00.000,0.00013246,0.00014158,0.00012000,0.00012352,1386304.00000000,2020-10-02 08:59:59.999,178.35864997,16537,591765.00000000,76.29087534,0
17,2020-10-02 09:00:00.000,0.00012388,0.00014250,0.00011400,0.00014053,1482023.00000000,2020-10-03 08:59:59.999,189.47501407,16645,682285.00000000,87.17081960,0
18,2020-10-03 09:00:00.000,0.00014123,0.00015754,0.00012564,0.00014850,2249485.00000000,2020-10-04 08:59:59.999,322.49462399,24626,1066248.00000000,153.37217378,0
