,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00403860,0.00412990,0.00395400,0.00400490,3830881.48000000,2019-05-24 08:59:59.999,15546.72701734,159343,2231420.36000000,9062.51972262,0
1,2019-05-24 09:00:00.000,0.00400300,0.00436050,0.00396550,0.00427950,4349897.47000000,2019-05-25 08:59:59.999,18288.93316797,214647,2466371.89000000,10370.95530815,0
2,2019-05-25 09:00:00.000,0.00427610,0.00440970,0.00423030,0.00437540,4551624.56000000,2019-05-26 08:59:59.999,19782.52112658,133234,2734005.25000000,11885.13742420,0
3,2019-05-26 09:00:00.000,0.00437530,0.00437770,0.00378690,0.00384350,4122289.02000000,2019-05-27 08:59:59.999,16989.43699172,199283,2170877.25000000,8964.25722930,0
4,2019-05-27 09:00:00.000,0.00384040,0.00402500,0.00372400,0.00382640,3656843.73000000,2019-05-28 08:59:59.999,14188.09880470,182130,2074220.88000000,8050.68226517,0
5,2019-05-28 09:00:00.000,0.00382630,0.00393080,0.00375620,0.00379830,3239352.52000000,2019-05-29 08:59:59.999,12386.00536059,131522,1762577.32000000,6737.52582788,0
6,2019-05-29 09:00:00.000,0.00379930,0.00393440,0.00365320,0.00388780,3397297.82000000,2019-05-30 08:59:59.999,13013.84421557,152899,1895278.87000000,7265.19618368,0
7,2019-05-30 09:00:00.000,0.00388400,0.00405600,0.00370300,0.00382610,3096634.56000000,2019-05-31 08:59:59.999,11987.46375836,195761,1670196.36000000,6468.24796802,0
8,2019-05-31 09:00:00.000,0.00382850,0.00385000,0.00373610,0.00384610,2904906.70000000,2019-06-01 08:59:59.999,11038.78803338,123773,1671816.47000000,6353.25005575,0
9,2019-06-01 09:00:00.000,0.00384610,0.00402000,0.00380190,0.00390000,2682181.74000000,2019-06-02 08:59:59.999,10434.87662504,184818,1471274.03000000,5723.14267854,0
10,2019-06-02 09:00:00.000,0.00390000,0.00390000,0.00378940,0.00379920,2086598.91000000,2019-06-03 08:59:59.999,7996.72671035,85373,1173356.53000000,4497.54632801,0
11,2019-06-03 09:00:00.000,0.00379700,0.00380160,0.00368710,0.00379360,1812355.76000000,2019-06-04 08:59:59.999,6796.75765664,125660,922336.71000000,3460.07247926,0
12,2019-06-04 09:00:00.000,0.00379160,0.00392000,0.00374110,0.00381110,2132623.91000000,2019-06-05 08:59:59.999,8172.40952714,148662,1144762.82000000,4387.65934982,0
13,2019-06-05 09:00:00.000,0.00380890,0.00399600,0.00375220,0.00396710,2454993.60000000,2019-06-06 08:59:59.999,9468.69091277,120098,1348916.34000000,5204.52697010,0
14,2019-06-06 09:00:00.000,0.00396710,0.00409510,0.00392220,0.00399750,2460163.73000000,2019-06-07 08:59:59.999,9884.97128249,151171,1299424.18000000,5223.14695519,0
15,2019-06-07 09:00:00.000,0.00399400,0.00403000,0.00392640,0.00393040,1709489.19000000,2019-06-08 08:59:59.999,6800.24595163,96221,888864.38000000,3536.26988186,0
16,2019-06-08 09:00:00.000,0.00392860,0.00405020,0.00392150,0.00401860,2706914.90000000,2019-06-09 08:59:59.999,10841.08103662,85926,1551758.25000000,6215.79839541,0
17,2019-06-09 09:00:00.000,0.00401800,0.00403380,0.00393690,0.00394820,1981583.78000000,2019-06-10 08:59:59.999,7890.37397658,74066,1165214.80000000,4640.35366727,0
18,2019-06-10 09:00:00.000,0.00394810,0.00405290,0.00394040,0.00401370,2704719.68000000,2019-06-11 08:59:59.999,10815.70378029,96710,1626243.61000000,6503.29847985,0
19,2019-06-11 09:00:00.000,0.00401370,0.00405130,0.00396120,0.00404760,2483879.19000000,2019-06-12 08:59:59.999,9955.76840116,83159,1462502.17000000,5861.75253442,0
20,2019-06-12 09:00:00.000,0.00404750,0.00431860,0.00404280,0.00428690,3061218.78000000,2019-06-13 08:59:59.999,12909.17674658,195032,1721071.81000000,7254.86768619,0
21,2019-06-13 09:00:00.000,0.00428690,0.00448430,0.00415590,0.00429470,2651033.88000000,2019-06-14 08:59:59.999,11483.45759342,190017,1395488.39000000,6048.30650201,0
