,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00009040,0.00009107,0.00008777,0.00008940,105747.00000000,2019-05-24 08:59:59.999,9.44447686,943,46858.00000000,4.19658243,0
1,2019-05-24 09:00:00.000,0.00008910,0.00009068,0.00008854,0.00008944,119820.00000000,2019-05-25 08:59:59.999,10.73089973,748,59076.00000000,5.30234908,0
2,2019-05-25 09:00:00.000,0.00008937,0.00009179,0.00008835,0.00008933,137419.00000000,2019-05-26 08:59:59.999,12.32653157,688,57098.00000000,5.13149070,0
3,2019-05-26 09:00:00.000,0.00008933,0.00009047,0.00008485,0.00008746,242355.00000000,2019-05-27 08:59:59.999,21.34520296,1382,134973.00000000,11.95330052,0
4,2019-05-27 09:00:00.000,0.00008659,0.00008760,0.00008492,0.00008660,145037.00000000,2019-05-28 08:59:59.999,12.48492489,1510,70839.00000000,6.10947714,0
5,2019-05-28 09:00:00.000,0.00008621,0.00008837,0.00008576,0.00008781,242837.00000000,2019-05-29 08:59:59.999,21.17943921,1272,113267.00000000,9.88412912,0
6,2019-05-29 09:00:00.000,0.00008758,0.00008900,0.00008658,0.00008770,168087.00000000,2019-05-30 08:59:59.999,14.72716564,840,78564.00000000,6.90282592,0
7,2019-05-30 09:00:00.000,0.00008770,0.00009272,0.00008348,0.00008619,678142.00000000,2019-05-31 08:59:59.999,61.15289920,3572,314422.00000000,28.39097032,0
8,2019-05-31 09:00:00.000,0.00008606,0.00008833,0.00008455,0.00008833,136338.00000000,2019-06-01 08:59:59.999,11.79274064,994,71687.00000000,6.21102092,0
9,2019-06-01 09:00:00.000,0.00008770,0.00008941,0.00008623,0.00008709,104449.00000000,2019-06-02 08:59:59.999,9.16459593,653,39275.00000000,3.45789437,0
10,2019-06-02 09:00:00.000,0.00008687,0.00008789,0.00008558,0.00008636,197134.00000000,2019-06-03 08:59:59.999,17.09401456,1039,114246.00000000,9.92482898,0
11,2019-06-03 09:00:00.000,0.00008633,0.00008715,0.00008466,0.00008620,97645.00000000,2019-06-04 08:59:59.999,8.38207641,775,49765.00000000,4.28107732,0
