,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00005947,0.00006045,0.00005789,0.00005879,874945.00000000,2019-05-24 08:59:59.999,51.69158756,3060,329443.00000000,19.52642929,0
1,2019-05-24 09:00:00.000,0.00005875,0.00006097,0.00005793,0.00005883,939763.00000000,2019-05-25 08:59:59.999,55.61641944,2997,400758.00000000,23.73079122,0
2,2019-05-25 09:00:00.000,0.00005896,0.00006050,0.00005853,0.00006045,486041.00000000,2019-05-26 08:59:59.999,28.97425238,2633,212763.00000000,12.71827269,0
3,2019-05-26 09:00:00.000,0.00006039,0.00006266,0.00005826,0.00005888,1176613.00000000,2019-05-27 08:59:59.999,71.43016124,4429,488109.00000000,29.81882455,0
4,2019-05-27 09:00:00.000,0.00005873,0.00005873,0.00005565,0.00005630,481573.00000000,2019-05-28 08:59:59.999,27.48702426,2569,143266.00000000,8.20675658,0
5,2019-05-28 09:00:00.000,0.00005631,0.00005680,0.00005511,0.00005577,529774.00000000,2019-05-29 08:59:59.999,29.58994344,2588,218019.00000000,12.19342912,0
6,2019-05-29 09:00:00.000,0.00005595,0.00005689,0.00005516,0.00005579,435395.00000000,2019-05-30 08:59:59.999,24.39477581,2025,183364.00000000,10.28581645,0
7,2019-05-30 09:00:00.000,0.00005577,0.00005900,0.00005489,0.00005546,999602.00000000,2019-05-31 08:59:59.999,56.95449143,4248,457264.00000000,26.15328654,0
8,2019-05-31 09:00:00.000,0.00005546,0.00005725,0.00005489,0.00005571,414645.00000000,2019-06-01 08:59:59.999,23.19565128,2097,175234.00000000,9.81092312,0
9,2019-06-01 09:00:00.000,0.00005571,0.00005607,0.00005489,0.00005576,270913.00000000,2019-06-02 08:59:59.999,15.04802769,1388,135787.00000000,7.55583620,0
10,2019-06-02 09:00:00.000,0.00005562,0.00005674,0.00005512,0.00005549,288028.00000000,2019-06-03 08:59:59.999,16.05653755,1426,137800.00000000,7.69493452,0
11,2019-06-03 09:00:00.000,0.00005543,0.00005577,0.00005421,0.00005518,235128.00000000,2019-06-04 08:59:59.999,12.94956838,1064,90852.00000000,5.00584334,0
12,2019-06-04 09:00:00.000,0.00005496,0.00005496,0.00005350,0.00005405,269938.00000000,2019-06-05 08:59:59.999,14.63239196,1227,95322.00000000,5.17876144,0
13,2019-06-05 09:00:00.000,0.00005404,0.00005583,0.00005375,0.00005458,368244.00000000,2019-06-06 08:59:59.999,20.21498385,1885,176043.00000000,9.68191695,0
14,2019-06-06 09:00:00.000,0.00005458,0.00005529,0.00005400,0.00005468,379902.00000000,2019-06-07 08:59:59.999,20.72932088,1327,240697.00000000,13.17160735,0
15,2019-06-07 09:00:00.000,0.00005464,0.00005488,0.00005367,0.00005459,313059.00000000,2019-06-08 08:59:59.999,17.01963299,1225,94838.00000000,5.16499105,0
16,2019-06-08 09:00:00.000,0.00005466,0.00005598,0.00005425,0.00005532,436332.00000000,2019-06-09 08:59:59.999,24.00556058,2057,202535.00000000,11.16537866,0
17,2019-06-09 09:00:00.000,0.00005532,0.00005836,0.00005452,0.00005655,1617688.00000000,2019-06-10 08:59:59.999,91.27236940,5857,771071.00000000,43.59845961,0
18,2019-06-10 09:00:00.000,0.00005655,0.00005798,0.00005515,0.00005618,827018.00000000,2019-06-11 08:59:59.999,46.57250770,3373,378334.00000000,21.35266696,0
19,2019-06-11 09:00:00.000,0.00005619,0.00005678,0.00005523,0.00005546,281842.00000000,2019-06-12 08:59:59.999,15.74099136,1430,110819.00000000,6.21175088,0
