,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00296100,0.00300300,0.00287500,0.00293700,25819.16000000,2019-05-24 08:59:59.999,75.71411535,4248,12789.98000000,37.54000200,0
1,2019-05-24 09:00:00.000,0.00293700,0.00297900,0.00286100,0.00289700,19989.38000000,2019-05-25 08:59:59.999,58.23453506,3240,10283.56000000,29.98827789,0
2,2019-05-25 09:00:00.000,0.00289800,0.00291300,0.00280200,0.00282500,11094.12000000,2019-05-26 08:59:59.999,31.60217298,2671,5260.10000000,14.99228684,0
3,2019-05-26 09:00:00.000,0.00282600,0.00297200,0.00279800,0.00281200,25085.65000000,2019-05-27 08:59:59.999,71.81086947,4381,10475.62000000,29.93884892,0
4,2019-05-27 09:00:00.000,0.00281600,0.00287200,0.00274400,0.00281200,34154.25000000,2019-05-28 08:59:59.999,95.79777730,5733,17111.63000000,48.03688383,0
5,2019-05-28 09:00:00.000,0.00280700,0.00287300,0.00276300,0.00280500,17298.29000000,2019-05-29 08:59:59.999,48.71190422,3966,9129.79000000,25.74847379,0
6,2019-05-29 09:00:00.000,0.00281000,0.00316800,0.00277200,0.00305300,94301.03000000,2019-05-30 08:59:59.999,282.28410990,15240,49926.31000000,149.65615890,0
7,2019-05-30 09:00:00.000,0.00305300,0.00380000,0.00305300,0.00322100,287980.55000000,2019-05-31 08:59:59.999,978.58338759,50436,145126.46000000,492.59867822,0
8,2019-05-31 09:00:00.000,0.00322100,0.00343300,0.00320000,0.00342400,55403.94000000,2019-06-01 08:59:59.999,182.36641004,11009,31985.00000000,105.38350415,0
9,2019-06-01 09:00:00.000,0.00342000,0.00344900,0.00329000,0.00332900,32449.60000000,2019-06-02 08:59:59.999,108.43927194,6124,14333.63000000,47.98736865,0
