,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000134,0.00000160,0.00000134,0.00000136,245511215.00000000,2019-05-24 08:59:59.999,362.50346957,14851,117633328.00000000,174.45138089,0
1,2019-05-24 09:00:00.000,0.00000136,0.00000140,0.00000124,0.00000125,78640490.00000000,2019-05-25 08:59:59.999,103.80140686,4444,31902253.00000000,42.40862302,0
2,2019-05-25 09:00:00.000,0.00000125,0.00000134,0.00000122,0.00000132,55181328.00000000,2019-05-26 08:59:59.999,70.81142015,3507,25215968.00000000,32.46103810,0
3,2019-05-26 09:00:00.000,0.00000133,0.00000145,0.00000124,0.00000139,69083015.00000000,2019-05-27 08:59:59.999,93.51764371,5550,28041302.00000000,38.08718141,0
4,2019-05-27 09:00:00.000,0.00000141,0.00000141,0.00000127,0.00000130,34859770.00000000,2019-05-28 08:59:59.999,46.15421683,3717,15943201.00000000,21.14090152,0
5,2019-05-28 09:00:00.000,0.00000130,0.00000152,0.00000128,0.00000138,84943812.00000000,2019-05-29 08:59:59.999,117.24349576,6390,41098621.00000000,56.82012780,0
6,2019-05-29 09:00:00.000,0.00000138,0.00000143,0.00000130,0.00000142,38058334.00000000,2019-05-30 08:59:59.999,51.62566989,3217,17023465.00000000,23.19969345,0
7,2019-05-30 09:00:00.000,0.00000142,0.00000146,0.00000130,0.00000134,63103596.00000000,2019-05-31 08:59:59.999,87.58020567,4836,28844056.00000000,40.23572632,0
8,2019-05-31 09:00:00.000,0.00000134,0.00000140,0.00000128,0.00000134,31425470.00000000,2019-06-01 08:59:59.999,41.85931396,2651,13900421.00000000,18.57972188,0
9,2019-06-01 09:00:00.000,0.00000134,0.00000135,0.00000124,0.00000126,23776747.00000000,2019-06-02 08:59:59.999,30.61077660,1937,9748294.00000000,12.59365332,0
10,2019-06-02 09:00:00.000,0.00000126,0.00000131,0.00000125,0.00000128,18912681.00000000,2019-06-03 08:59:59.999,24.15779048,1590,7653851.00000000,9.80942473,0
11,2019-06-03 09:00:00.000,0.00000128,0.00000134,0.00000128,0.00000128,23469390.00000000,2019-06-04 08:59:59.999,30.59206629,1894,11508760.00000000,15.03034945,0
12,2019-06-04 09:00:00.000,0.00000129,0.00000135,0.00000123,0.00000125,31303729.00000000,2019-06-05 08:59:59.999,40.22298633,2449,13024913.00000000,16.85269307,0
13,2019-06-05 09:00:00.000,0.00000126,0.00000141,0.00000125,0.00000131,41839458.00000000,2019-06-06 08:59:59.999,55.36567430,3331,20908603.00000000,27.77536401,0
14,2019-06-06 09:00:00.000,0.00000132,0.00000140,0.00000130,0.00000136,48872473.00000000,2019-06-07 08:59:59.999,65.49123281,3496,23969644.00000000,32.22708685,0
15,2019-06-07 09:00:00.000,0.00000135,0.00000138,0.00000132,0.00000135,20333505.00000000,2019-06-08 08:59:59.999,27.37502996,1764,8905748.00000000,12.00749196,0
16,2019-06-08 09:00:00.000,0.00000135,0.00000138,0.00000127,0.00000135,58928183.00000000,2019-06-09 08:59:59.999,78.65725495,3775,20451547.00000000,27.35140568,0
17,2019-06-09 09:00:00.000,0.00000135,0.00000138,0.00000124,0.00000127,40726214.00000000,2019-06-10 08:59:59.999,53.79140324,2673,15356114.00000000,20.32834796,0
18,2019-06-10 09:00:00.000,0.00000127,0.00000135,0.00000126,0.00000132,26663129.00000000,2019-06-11 08:59:59.999,35.17687814,1969,13295008.00000000,17.55568228,0
19,2019-06-11 09:00:00.000,0.00000132,0.00000140,0.00000130,0.00000137,37697372.00000000,2019-06-12 08:59:59.999,51.14002163,2546,17790035.00000000,24.20478419,0
20,2019-06-12 09:00:00.000,0.00000138,0.00000139,0.00000131,0.00000132,21870992.00000000,2019-06-13 08:59:59.999,29.39766438,1966,7597651.00000000,10.24303325,0
21,2019-06-13 09:00:00.000,0.00000133,0.00000137,0.00000125,0.00000126,43546636.00000000,2019-06-14 08:59:59.999,57.14289749,2922,15840760.00000000,20.87546082,0
22,2019-06-14 09:00:00.000,0.00000126,0.00000142,0.00000115,0.00000118,99219753.00000000,2019-06-15 08:59:59.999,127.68237910,6234,45623376.00000000,59.23511296,0
23,2019-06-15 09:00:00.000,0.00000118,0.00000140,0.00000118,0.00000135,99962147.00000000,2019-06-16 08:59:59.999,128.02788327,6134,48246844.00000000,62.07685899,0
24,2019-06-16 09:00:00.000,0.00000135,0.00000153,0.00000126,0.00000137,185370339.00000000,2019-06-17 08:59:59.999,252.58863465,11528,76969893.00000000,105.61119876,0
25,2019-06-17 09:00:00.000,0.00000138,0.00000148,0.00000130,0.00000134,79958367.00000000,2019-06-18 08:59:59.999,108.84524237,5427,32870413.00000000,44.89523150,0
26,2019-06-18 09:00:00.000,0.00000134,0.00000140,0.00000132,0.00000138,32082710.00000000,2019-06-19 08:59:59.999,43.73819833,2273,15324196.00000000,21.02751061,0
27,2019-06-19 09:00:00.000,0.00000137,0.00000156,0.00000136,0.00000145,85846950.00000000,2019-06-20 08:59:59.999,124.72487698,6809,45228026.00000000,65.64146437,0
28,2019-06-20 09:00:00.000,0.00000146,0.00000158,0.00000126,0.00000133,73338071.00000000,2019-06-21 08:59:59.999,102.78652003,6222,27558473.00000000,38.90229508,0
29,2019-06-21 09:00:00.000,0.00000133,0.00000155,0.00000133,0.00000145,92079514.00000000,2019-06-22 08:59:59.999,133.39358348,7597,36469609.00000000,53.35160069,0
30,2019-06-22 09:00:00.000,0.00000144,0.00000149,0.00000117,0.00000126,56309106.00000000,2019-06-23 08:59:59.999,72.84333802,5143,21339089.00000000,27.50700826,0
31,2019-06-23 09:00:00.000,0.00000125,0.00000145,0.00000123,0.00000135,43805260.00000000,2019-06-24 08:59:59.999,59.50854878,3609,20033387.00000000,27.22154626,0
32,2019-06-24 09:00:00.000,0.00000135,0.00000170,0.00000134,0.00000161,122339504.00000000,2019-06-25 08:59:59.999,184.38898379,12229,55319107.00000000,84.11806151,0
33,2019-06-25 09:00:00.000,0.00000161,0.00000176,0.00000148,0.00000148,75176927.00000000,2019-06-26 08:59:59.999,121.43851995,8140,29791161.00000000,48.66010634,0
34,2019-06-26 09:00:00.000,0.00000149,0.00000179,0.00000147,0.00000163,115027759.00000000,2019-06-27 08:59:59.999,188.47126782,13056,58310092.00000000,96.02022832,0
35,2019-06-27 09:00:00.000,0.00000163,0.00000179,0.00000162,0.00000172,57057793.00000000,2019-06-28 08:59:59.999,96.89223228,7390,26879167.00000000,45.85624583,0
36,2019-06-28 09:00:00.000,0.00000172,0.00000185,0.00000165,0.00000167,34436447.00000000,2019-06-29 08:59:59.999,60.54597900,4855,14750528.00000000,26.13346195,0
37,2019-06-29 09:00:00.000,0.00000167,0.00000190,0.00000167,0.00000183,45970257.00000000,2019-06-30 08:59:59.999,81.12782625,5821,22851162.00000000,40.49611740,0
38,2019-06-30 09:00:00.000,0.00000182,0.00000215,0.00000153,0.00000158,182881665.00000000,2019-07-01 08:59:59.999,334.57033670,18421,74494203.00000000,138.06534654,0
39,2019-07-01 09:00:00.000,0.00000159,0.00000288,0.00000156,0.00000251,508517616.00000000,2019-07-02 08:59:59.999,1218.69920840,53762,250479467.00000000,602.65345404,0
40,2019-07-02 09:00:00.000,0.00000253,0.00000329,0.00000231,0.00000238,277534708.00000000,2019-07-03 08:59:59.999,735.05301001,26087,116984615.00000000,315.03545041,0
41,2019-07-03 09:00:00.000,0.00000238,0.00000238,0.00000184,0.00000186,96941611.00000000,2019-07-04 08:59:59.999,197.14298611,11491,39247028.00000000,79.74859066,0
42,2019-07-04 09:00:00.000,0.00000187,0.00000202,0.00000172,0.00000200,49717726.00000000,2019-07-05 08:59:59.999,93.45141319,6456,20818245.00000000,39.18158473,0
43,2019-07-05 09:00:00.000,0.00000198,0.00000257,0.00000194,0.00000240,146873775.00000000,2019-07-06 08:59:59.999,338.53173483,17974,77778371.00000000,181.07265456,0
44,2019-07-06 09:00:00.000,0.00000240,0.00000241,0.00000212,0.00000219,38923441.00000000,2019-07-07 08:59:59.999,86.20615596,5957,14977929.00000000,33.27734087,0
45,2019-07-07 09:00:00.000,0.00000219,0.00000224,0.00000200,0.00000219,24643876.00000000,2019-07-08 08:59:59.999,52.49019662,4158,10150732.00000000,21.78333358,0
46,2019-07-08 09:00:00.000,0.00000220,0.00000220,0.00000201,0.00000204,22188029.00000000,2019-07-09 08:59:59.999,46.55893928,3779,9296455.00000000,19.51988464,0
47,2019-07-09 09:00:00.000,0.00000205,0.00000235,0.00000186,0.00000196,76247488.00000000,2019-07-10 08:59:59.999,161.99267391,12220,30147263.00000000,64.42412725,0
48,2019-07-10 09:00:00.000,0.00000196,0.00000217,0.00000183,0.00000209,58421413.00000000,2019-07-11 08:59:59.999,115.86081654,9255,24066744.00000000,47.97441285,0
49,2019-07-11 09:00:00.000,0.00000208,0.00000217,0.00000185,0.00000191,44426131.00000000,2019-07-12 08:59:59.999,90.13563520,8085,17159686.00000000,35.09997879,0
50,2019-07-12 09:00:00.000,0.00000191,0.00000204,0.00000187,0.00000195,22231680.00000000,2019-07-13 08:59:59.999,43.27492198,3863,9631436.00000000,18.76126429,0
51,2019-07-13 09:00:00.000,0.00000195,0.00000215,0.00000195,0.00000205,28343362.00000000,2019-07-14 08:59:59.999,58.47480909,5307,13535807.00000000,27.96516540,0
52,2019-07-14 09:00:00.000,0.00000205,0.00000210,0.00000195,0.00000200,14085146.00000000,2019-07-15 08:59:59.999,28.31921846,2749,5437555.00000000,10.97564106,0
53,2019-07-15 09:00:00.000,0.00000200,0.00000205,0.00000160,0.00000174,37867180.00000000,2019-07-16 08:59:59.999,68.69983998,6730,12730323.00000000,23.14459102,0
54,2019-07-16 09:00:00.000,0.00000173,0.00000174,0.00000156,0.00000160,22030867.00000000,2019-07-17 08:59:59.999,36.24557509,3508,8004674.00000000,13.19514991,0
55,2019-07-17 09:00:00.000,0.00000160,0.00000165,0.00000143,0.00000160,37205403.00000000,2019-07-18 08:59:59.999,56.65129747,5632,16238401.00000000,24.95892971,0
56,2019-07-18 09:00:00.000,0.00000159,0.00000191,0.00000155,0.00000157,20647324.00000000,2019-07-19 08:59:59.999,35.39182195,4912,9202366.00000000,15.76694883,0
57,2019-07-19 09:00:00.000,0.00000157,0.00000176,0.00000156,0.00000162,18735916.00000000,2019-07-20 08:59:59.999,31.04325933,3042,11073041.00000000,18.46303127,0
58,2019-07-20 09:00:00.000,0.00000163,0.00000167,0.00000158,0.00000162,5938808.00000000,2019-07-21 08:59:59.999,9.65751266,1319,2413065.00000000,3.93851807,0
59,2019-07-21 09:00:00.000,0.00000162,0.00000165,0.00000145,0.00000152,25102583.00000000,2019-07-22 08:59:59.999,38.78361416,3425,9011595.00000000,13.88541286,0
60,2019-07-22 09:00:00.000,0.00000153,0.00000156,0.00000148,0.00000149,10109705.00000000,2019-07-23 08:59:59.999,15.36062621,1540,4357893.00000000,6.65039095,0
61,2019-07-23 09:00:00.000,0.00000150,0.00000153,0.00000136,0.00000141,26185722.00000000,2019-07-24 08:59:59.999,37.66992021,3220,9829130.00000000,14.17460725,0
62,2019-07-24 09:00:00.000,0.00000140,0.00000147,0.00000137,0.00000144,11471907.00000000,2019-07-25 08:59:59.999,16.44728536,1715,5682259.00000000,8.18255503,0
63,2019-07-25 09:00:00.000,0.00000145,0.00000148,0.00000141,0.00000146,8533721.00000000,2019-07-26 08:59:59.999,12.32647497,1302,3566906.00000000,5.17534821,0
64,2019-07-26 09:00:00.000,0.00000146,0.00000148,0.00000144,0.00000147,4936562.00000000,2019-07-27 08:59:59.999,7.19624220,758,1948356.00000000,2.84998093,0
65,2019-07-27 09:00:00.000,0.00000146,0.00000146,0.00000142,0.00000144,3148508.00000000,2019-07-28 08:59:59.999,4.52176329,450,1085620.00000000,1.55974182,0
66,2019-07-28 09:00:00.000,0.00000143,0.00000145,0.00000140,0.00000143,4240094.00000000,2019-07-29 08:59:59.999,6.01872763,680,2331068.00000000,3.31627473,0
67,2019-07-29 09:00:00.000,0.00000143,0.00000144,0.00000137,0.00000138,3375833.00000000,2019-07-30 08:59:59.999,4.71474727,451,941879.00000000,1.32178918,0
68,2019-07-30 09:00:00.000,0.00000139,0.00000144,0.00000137,0.00000144,7536228.00000000,2019-07-31 08:59:59.999,10.58562029,838,4911622.00000000,6.89701410,0
69,2019-07-31 09:00:00.000,0.00000144,0.00000169,0.00000140,0.00000150,73369139.00000000,2019-08-01 08:59:59.999,113.47981522,10214,34814937.00000000,54.10860334,0
70,2019-08-01 09:00:00.000,0.00000150,0.00000170,0.00000136,0.00000140,75270164.00000000,2019-08-02 08:59:59.999,118.54792264,11442,45362917.00000000,73.04008922,0
71,2019-08-02 09:00:00.000,0.00000139,0.00000144,0.00000135,0.00000140,16577662.00000000,2019-08-03 08:59:59.999,23.02855246,2462,7064550.00000000,9.87977775,0
72,2019-08-03 09:00:00.000,0.00000140,0.00000140,0.00000113,0.00000120,49051851.00000000,2019-08-04 08:59:59.999,61.88672461,3947,12357942.00000000,15.21789158,0
73,2019-08-04 09:00:00.000,0.00000120,0.00000129,0.00000114,0.00000115,16180038.00000000,2019-08-05 08:59:59.999,19.40188685,2881,7529619.00000000,9.05840036,0
74,2019-08-05 09:00:00.000,0.00000115,0.00000150,0.00000100,0.00000134,115193660.00000000,2019-08-06 08:59:59.999,152.61887368,13201,53103152.00000000,70.89438166,0
