,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000179,0.00000232,0.00000179,0.00000186,1874978839.00000000,2019-05-24 08:59:59.999,3831.59075456,67895,895192624.00000000,1836.22085725,0
1,2019-05-24 09:00:00.000,0.00000187,0.00000196,0.00000162,0.00000170,737122023.00000000,2019-05-25 08:59:59.999,1299.82940602,25929,319927278.00000000,566.15433690,0
2,2019-05-25 09:00:00.000,0.00000171,0.00000181,0.00000157,0.00000172,713565665.00000000,2019-05-26 08:59:59.999,1210.67091700,23607,334052793.00000000,568.80023904,0
3,2019-05-26 09:00:00.000,0.00000173,0.00000200,0.00000156,0.00000165,1057267489.00000000,2019-05-27 08:59:59.999,1939.94710366,36785,478967560.00000000,883.62886094,0
4,2019-05-27 09:00:00.000,0.00000165,0.00000171,0.00000148,0.00000155,339131998.00000000,2019-05-28 08:59:59.999,538.37158164,14196,155175062.00000000,247.06747995,0
5,2019-05-28 09:00:00.000,0.00000155,0.00000171,0.00000152,0.00000163,528884308.00000000,2019-05-29 08:59:59.999,851.24900539,17170,258874240.00000000,417.44972376,0
6,2019-05-29 09:00:00.000,0.00000163,0.00000168,0.00000156,0.00000163,397499942.00000000,2019-05-30 08:59:59.999,641.85911742,13429,197129756.00000000,319.06206221,0
7,2019-05-30 09:00:00.000,0.00000163,0.00000187,0.00000161,0.00000166,734692684.00000000,2019-05-31 08:59:59.999,1270.90119745,24807,347146520.00000000,602.83349066,0
8,2019-05-31 09:00:00.000,0.00000167,0.00000213,0.00000166,0.00000194,1308488075.00000000,2019-06-01 08:59:59.999,2511.15812109,47486,655030780.00000000,1255.78978735,0
9,2019-06-01 09:00:00.000,0.00000194,0.00000223,0.00000188,0.00000211,1084846943.00000000,2019-06-02 08:59:59.999,2254.68607691,41734,521573225.00000000,1088.64019712,0
10,2019-06-02 09:00:00.000,0.00000211,0.00000225,0.00000194,0.00000199,607105339.00000000,2019-06-03 08:59:59.999,1256.08522166,24763,252883315.00000000,525.40289046,0
11,2019-06-03 09:00:00.000,0.00000200,0.00000204,0.00000185,0.00000194,498417900.00000000,2019-06-04 08:59:59.999,965.20167896,20446,229710135.00000000,446.48651876,0
12,2019-06-04 09:00:00.000,0.00000194,0.00000220,0.00000190,0.00000212,666611484.00000000,2019-06-05 08:59:59.999,1391.65823531,27090,312046266.00000000,654.03908030,0
13,2019-06-05 09:00:00.000,0.00000212,0.00000258,0.00000209,0.00000245,1288602502.00000000,2019-06-06 08:59:59.999,3072.55215235,50949,626436945.00000000,1495.23096380,0
14,2019-06-06 09:00:00.000,0.00000245,0.00000264,0.00000234,0.00000237,929397933.00000000,2019-06-07 08:59:59.999,2305.11057591,34774,430000637.00000000,1069.71067586,0
15,2019-06-07 09:00:00.000,0.00000236,0.00000248,0.00000227,0.00000239,364407574.00000000,2019-06-08 08:59:59.999,865.90681873,15838,158069105.00000000,376.77565243,0
16,2019-06-08 09:00:00.000,0.00000239,0.00000254,0.00000231,0.00000248,370968675.00000000,2019-06-09 08:59:59.999,899.16639594,16494,177494607.00000000,431.56043974,0
17,2019-06-09 09:00:00.000,0.00000249,0.00000260,0.00000234,0.00000241,458581172.00000000,2019-06-10 08:59:59.999,1139.88865556,21954,197435462.00000000,492.74898501,0
18,2019-06-10 09:00:00.000,0.00000242,0.00000257,0.00000231,0.00000248,465048865.00000000,2019-06-11 08:59:59.999,1134.37914329,21352,229800121.00000000,561.52936835,0
19,2019-06-11 09:00:00.000,0.00000248,0.00000268,0.00000239,0.00000267,656195593.00000000,2019-06-12 08:59:59.999,1650.37735044,29900,323651906.00000000,817.82065891,0
20,2019-06-12 09:00:00.000,0.00000268,0.00000278,0.00000240,0.00000245,890520769.00000000,2019-06-13 08:59:59.999,2308.68027654,37331,406071308.00000000,1058.21657291,0
21,2019-06-13 09:00:00.000,0.00000246,0.00000246,0.00000225,0.00000233,762928794.00000000,2019-06-14 08:59:59.999,1804.71999984,32995,345621831.00000000,819.24379964,0
22,2019-06-14 09:00:00.000,0.00000234,0.00000236,0.00000191,0.00000203,783163943.00000000,2019-06-15 08:59:59.999,1652.68172784,32566,337722398.00000000,714.36317013,0
23,2019-06-15 09:00:00.000,0.00000203,0.00000225,0.00000203,0.00000207,454196791.00000000,2019-06-16 08:59:59.999,969.13976670,18754,204209378.00000000,436.94703010,0
24,2019-06-16 09:00:00.000,0.00000206,0.00000213,0.00000192,0.00000210,392523909.00000000,2019-06-17 08:59:59.999,789.44978724,18628,174987514.00000000,352.87933766,0
25,2019-06-17 09:00:00.000,0.00000210,0.00000215,0.00000193,0.00000197,386652868.00000000,2019-06-18 08:59:59.999,789.34151839,16529,161825899.00000000,331.76758866,0
26,2019-06-18 09:00:00.000,0.00000197,0.00000218,0.00000195,0.00000213,434803932.00000000,2019-06-19 08:59:59.999,904.54465956,18032,213373600.00000000,445.07227312,0
27,2019-06-19 09:00:00.000,0.00000213,0.00000223,0.00000205,0.00000208,451585310.00000000,2019-06-20 08:59:59.999,968.51749001,17141,217510770.00000000,468.57563355,0
28,2019-06-20 09:00:00.000,0.00000208,0.00000212,0.00000188,0.00000193,470753202.00000000,2019-06-21 08:59:59.999,939.49109395,19492,202137070.00000000,405.29229911,0
29,2019-06-21 09:00:00.000,0.00000193,0.00000194,0.00000167,0.00000168,378490959.00000000,2019-06-22 08:59:59.999,688.43954270,14474,150561448.00000000,274.22703032,0
30,2019-06-22 09:00:00.000,0.00000168,0.00000173,0.00000152,0.00000164,510411288.00000000,2019-06-23 08:59:59.999,834.20581860,18568,232641455.00000000,380.94246637,0
31,2019-06-23 09:00:00.000,0.00000165,0.00000171,0.00000148,0.00000155,324401162.00000000,2019-06-24 08:59:59.999,521.33918280,11722,139330671.00000000,225.11846034,0
32,2019-06-24 09:00:00.000,0.00000155,0.00000162,0.00000145,0.00000147,248592649.00000000,2019-06-25 08:59:59.999,378.91118171,9158,110034400.00000000,168.50167662,0
33,2019-06-25 09:00:00.000,0.00000146,0.00000150,0.00000130,0.00000131,327247071.00000000,2019-06-26 08:59:59.999,462.04309427,11999,135689817.00000000,192.23995687,0
34,2019-06-26 09:00:00.000,0.00000131,0.00000133,0.00000102,0.00000107,614240980.00000000,2019-06-27 08:59:59.999,720.85686187,17700,271306485.00000000,319.05842989,0
