,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-05-07 09:00:00.000,0.00000298,0.00000416,0.00000231,0.00000243,220325650.00000000,2020-05-08 08:59:59.999,701.78981739,32389,94881587.00000000,305.45938672,0
1,2020-05-08 09:00:00.000,0.00000243,0.00000275,0.00000240,0.00000243,73966933.00000000,2020-05-09 08:59:59.999,188.76151247,10547,31283955.00000000,80.28535299,0
2,2020-05-09 09:00:00.000,0.00000243,0.00000258,0.00000238,0.00000243,39395955.00000000,2020-05-10 08:59:59.999,96.87795419,5301,16902897.00000000,41.69628421,0
3,2020-05-10 09:00:00.000,0.00000243,0.00000245,0.00000215,0.00000218,33928291.00000000,2020-05-11 08:59:59.999,77.28895713,4462,13208067.00000000,30.12681506,0
4,2020-05-11 09:00:00.000,0.00000220,0.00000224,0.00000202,0.00000215,35558557.00000000,2020-05-12 08:59:59.999,75.86473673,4502,15766363.00000000,33.65000599,0
5,2020-05-12 09:00:00.000,0.00000216,0.00000220,0.00000202,0.00000206,30651969.00000000,2020-05-13 08:59:59.999,64.59898808,3906,12269947.00000000,25.93297197,0
6,2020-05-13 09:00:00.000,0.00000207,0.00000219,0.00000204,0.00000207,22639921.00000000,2020-05-14 08:59:59.999,47.87818443,2699,10186800.00000000,21.65933088,0
7,2020-05-14 09:00:00.000,0.00000207,0.00000208,0.00000184,0.00000187,20018818.00000000,2020-05-15 08:59:59.999,38.75008666,3320,7581163.00000000,14.67285011,0
8,2020-05-15 09:00:00.000,0.00000188,0.00000196,0.00000187,0.00000194,13358256.00000000,2020-05-16 08:59:59.999,25.50212186,1585,5776358.00000000,11.05907590,0
9,2020-05-16 09:00:00.000,0.00000194,0.00000205,0.00000190,0.00000201,18815769.00000000,2020-05-17 08:59:59.999,37.08164452,2789,9850093.00000000,19.49391474,0
10,2020-05-17 09:00:00.000,0.00000201,0.00000205,0.00000189,0.00000189,14163015.00000000,2020-05-18 08:59:59.999,27.72348718,2058,5458839.00000000,10.78728055,0
11,2020-05-18 09:00:00.000,0.00000191,0.00000195,0.00000185,0.00000191,13967107.00000000,2020-05-19 08:59:59.999,26.58302978,1674,6620382.00000000,12.63352362,0
12,2020-05-19 09:00:00.000,0.00000191,0.00000197,0.00000187,0.00000187,11006601.00000000,2020-05-20 08:59:59.999,21.14245283,1545,4821934.00000000,9.30621763,0
13,2020-05-20 09:00:00.000,0.00000187,0.00000199,0.00000186,0.00000194,16647519.00000000,2020-05-21 08:59:59.999,32.07868361,2194,6948022.00000000,13.40876419,0
14,2020-05-21 09:00:00.000,0.00000194,0.00000196,0.00000189,0.00000196,16219197.00000000,2020-05-22 08:59:59.999,31.15255632,2351,7507863.00000000,14.48988459,0
15,2020-05-22 09:00:00.000,0.00000195,0.00000211,0.00000190,0.00000207,43995146.00000000,2020-05-23 08:59:59.999,88.78484304,6700,18293230.00000000,37.11464962,0
16,2020-05-23 09:00:00.000,0.00000205,0.00000239,0.00000200,0.00000229,48084722.00000000,2020-05-24 08:59:59.999,104.04688332,8106,21129369.00000000,45.87221306,0
17,2020-05-24 09:00:00.000,0.00000227,0.00000243,0.00000209,0.00000213,69077177.00000000,2020-05-25 08:59:59.999,154.79443112,9924,27345879.00000000,61.71633687,0
