,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000514,0.00000520,0.00000487,0.00000495,17195774.00000000,2019-05-24 08:59:59.999,86.23755564,5272,7685766.00000000,38.55442753,0
1,2019-05-24 09:00:00.000,0.00000496,0.00000572,0.00000496,0.00000528,40743372.00000000,2019-05-25 08:59:59.999,215.62202577,14451,20182934.00000000,106.69112010,0
2,2019-05-25 09:00:00.000,0.00000528,0.00000533,0.00000488,0.00000495,14911951.00000000,2019-05-26 08:59:59.999,75.59030354,5162,5673639.00000000,28.81615454,0
3,2019-05-26 09:00:00.000,0.00000495,0.00000525,0.00000472,0.00000486,17968855.00000000,2019-05-27 08:59:59.999,90.43578277,5997,8387633.00000000,42.23856178,0
4,2019-05-27 09:00:00.000,0.00000484,0.00000541,0.00000471,0.00000503,22394446.00000000,2019-05-28 08:59:59.999,113.70675541,8456,10149231.00000000,51.36410327,0
5,2019-05-28 09:00:00.000,0.00000503,0.00000528,0.00000492,0.00000512,23919677.00000000,2019-05-29 08:59:59.999,121.62397069,7597,11718347.00000000,59.53501533,0
6,2019-05-29 09:00:00.000,0.00000512,0.00000528,0.00000494,0.00000498,16800968.00000000,2019-05-30 08:59:59.999,85.51827652,5870,8393094.00000000,42.70008446,0
7,2019-05-30 09:00:00.000,0.00000498,0.00000513,0.00000465,0.00000468,22492260.00000000,2019-05-31 08:59:59.999,110.23135281,7014,9212319.00000000,45.33399266,0
8,2019-05-31 09:00:00.000,0.00000468,0.00000478,0.00000457,0.00000472,10445555.00000000,2019-06-01 08:59:59.999,49.12528820,4020,5344515.00000000,25.19006565,0
9,2019-06-01 09:00:00.000,0.00000472,0.00000477,0.00000446,0.00000449,13581024.00000000,2019-06-02 08:59:59.999,62.46159687,4367,5306231.00000000,24.46419411,0
10,2019-06-02 09:00:00.000,0.00000449,0.00000452,0.00000434,0.00000447,15666750.00000000,2019-06-03 08:59:59.999,69.53719872,4821,6855356.00000000,30.46541798,0
11,2019-06-03 09:00:00.000,0.00000446,0.00000447,0.00000419,0.00000424,12914811.00000000,2019-06-04 08:59:59.999,55.95285926,4357,4790722.00000000,20.77524862,0
12,2019-06-04 09:00:00.000,0.00000423,0.00000448,0.00000411,0.00000435,15998868.00000000,2019-06-05 08:59:59.999,68.58592336,6529,8766516.00000000,37.68439913,0
13,2019-06-05 09:00:00.000,0.00000436,0.00000448,0.00000427,0.00000440,8292953.00000000,2019-06-06 08:59:59.999,36.30701149,3293,4320865.00000000,18.93061039,0
