,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000246,0.00000260,0.00000239,0.00000254,21453708.00000000,2019-05-24 08:59:59.999,53.65921475,4174,9980514.00000000,25.05478413,0
1,2019-05-24 09:00:00.000,0.00000254,0.00000266,0.00000232,0.00000248,20305625.00000000,2019-05-25 08:59:59.999,50.68021008,4075,10333015.00000000,25.98253250,0
2,2019-05-25 09:00:00.000,0.00000248,0.00000248,0.00000230,0.00000233,9347565.00000000,2019-05-26 08:59:59.999,22.00827527,1531,3655704.00000000,8.64097828,0
3,2019-05-26 09:00:00.000,0.00000232,0.00000245,0.00000208,0.00000209,23427633.00000000,2019-05-27 08:59:59.999,53.15727883,3229,9623522.00000000,22.07557605,0
4,2019-05-27 09:00:00.000,0.00000209,0.00000216,0.00000200,0.00000210,20197251.00000000,2019-05-28 08:59:59.999,41.80272792,2632,9323876.00000000,19.36684314,0
5,2019-05-28 09:00:00.000,0.00000209,0.00000243,0.00000207,0.00000218,28961153.00000000,2019-05-29 08:59:59.999,64.71154229,3923,13862257.00000000,31.13906502,0
6,2019-05-29 09:00:00.000,0.00000217,0.00000235,0.00000208,0.00000233,25683656.00000000,2019-05-30 08:59:59.999,57.43541213,3897,12286321.00000000,27.50688093,0
7,2019-05-30 09:00:00.000,0.00000233,0.00000234,0.00000215,0.00000221,16515566.00000000,2019-05-31 08:59:59.999,37.00905754,2658,6111701.00000000,13.75495454,0
8,2019-05-31 09:00:00.000,0.00000220,0.00000222,0.00000210,0.00000220,9162415.00000000,2019-06-01 08:59:59.999,19.89822026,1667,3176470.00000000,6.92758820,0
9,2019-06-01 09:00:00.000,0.00000220,0.00000222,0.00000214,0.00000219,7725019.00000000,2019-06-02 08:59:59.999,16.85277345,1123,2974480.00000000,6.51672840,0
10,2019-06-02 09:00:00.000,0.00000219,0.00000239,0.00000219,0.00000228,20846860.00000000,2019-06-03 08:59:59.999,47.94680748,3087,10600224.00000000,24.42088977,0
11,2019-06-03 09:00:00.000,0.00000227,0.00000258,0.00000225,0.00000230,31184339.00000000,2019-06-04 08:59:59.999,76.06539219,5402,14543453.00000000,35.59579893,0
12,2019-06-04 09:00:00.000,0.00000231,0.00000247,0.00000228,0.00000235,10432152.00000000,2019-06-05 08:59:59.999,24.80099894,1970,4136657.00000000,9.86351713,0
13,2019-06-05 09:00:00.000,0.00000236,0.00000242,0.00000231,0.00000234,5712588.00000000,2019-06-06 08:59:59.999,13.52893952,966,2381391.00000000,5.63511445,0
14,2019-06-06 09:00:00.000,0.00000233,0.00000235,0.00000224,0.00000228,9013290.00000000,2019-06-07 08:59:59.999,20.72126048,1194,2886384.00000000,6.64389403,0
15,2019-06-07 09:00:00.000,0.00000230,0.00000237,0.00000226,0.00000233,10746328.00000000,2019-06-08 08:59:59.999,24.81409438,1293,6296375.00000000,14.54317942,0
16,2019-06-08 09:00:00.000,0.00000233,0.00000238,0.00000233,0.00000237,5625522.00000000,2019-06-09 08:59:59.999,13.22144892,917,2573667.00000000,6.06242021,0
17,2019-06-09 09:00:00.000,0.00000237,0.00000239,0.00000228,0.00000230,3445098.00000000,2019-06-10 08:59:59.999,8.07028211,940,1299957.00000000,3.05902922,0
18,2019-06-10 09:00:00.000,0.00000230,0.00000242,0.00000225,0.00000240,10293609.00000000,2019-06-11 08:59:59.999,24.00615029,1938,5028801.00000000,11.79271242,0
19,2019-06-11 09:00:00.000,0.00000240,0.00000242,0.00000226,0.00000233,10103244.00000000,2019-06-12 08:59:59.999,23.62119162,1425,2611502.00000000,6.15314533,0
20,2019-06-12 09:00:00.000,0.00000232,0.00000234,0.00000225,0.00000227,6157921.00000000,2019-06-13 08:59:59.999,14.10098576,1060,1669018.00000000,3.82981277,0
21,2019-06-13 09:00:00.000,0.00000227,0.00000233,0.00000216,0.00000218,25555049.00000000,2019-06-14 08:59:59.999,57.41504762,3607,10615820.00000000,23.93683206,0
22,2019-06-14 09:00:00.000,0.00000218,0.00000310,0.00000195,0.00000197,169716169.00000000,2019-06-15 08:59:59.999,415.67266759,17431,69674405.00000000,173.26725925,0
23,2019-06-15 09:00:00.000,0.00000197,0.00000244,0.00000196,0.00000215,96303217.00000000,2019-06-16 08:59:59.999,213.91054016,10915,42991858.00000000,95.64946580,0
24,2019-06-16 09:00:00.000,0.00000215,0.00000228,0.00000201,0.00000206,28108009.00000000,2019-06-17 08:59:59.999,59.06073788,3821,10440392.00000000,22.09686723,0
25,2019-06-17 09:00:00.000,0.00000207,0.00000210,0.00000195,0.00000197,14831938.00000000,2019-06-18 08:59:59.999,29.79151662,1740,5884100.00000000,11.87284862,0
26,2019-06-18 09:00:00.000,0.00000196,0.00000211,0.00000193,0.00000199,16829254.00000000,2019-06-19 08:59:59.999,34.10593001,2212,6316064.00000000,12.80865336,0
27,2019-06-19 09:00:00.000,0.00000199,0.00000204,0.00000193,0.00000197,25173323.00000000,2019-06-20 08:59:59.999,49.73232942,2442,11638131.00000000,23.04711685,0
28,2019-06-20 09:00:00.000,0.00000198,0.00000198,0.00000173,0.00000180,35290566.00000000,2019-06-21 08:59:59.999,65.43930528,3770,13826300.00000000,25.69499717,0
29,2019-06-21 09:00:00.000,0.00000180,0.00000182,0.00000155,0.00000155,24992790.00000000,2019-06-22 08:59:59.999,42.40206803,2504,8995918.00000000,15.30262275,0
30,2019-06-22 09:00:00.000,0.00000156,0.00000158,0.00000134,0.00000145,45719934.00000000,2019-06-23 08:59:59.999,65.93452828,4230,20636846.00000000,29.76439785,0
31,2019-06-23 09:00:00.000,0.00000145,0.00000174,0.00000136,0.00000142,46521830.00000000,2019-06-24 08:59:59.999,71.22645912,4612,19011583.00000000,29.10645469,0
32,2019-06-24 09:00:00.000,0.00000141,0.00000149,0.00000140,0.00000145,16639024.00000000,2019-06-25 08:59:59.999,23.98327787,1732,8402522.00000000,12.11175101,0
