,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-06-25 09:00:00.000,0.02282100,0.02800000,0.01030300,0.02463500,32548.57300000,2020-06-26 08:59:59.999,794.58462273,26638,13657.73100000,333.21129573,0
1,2020-06-26 09:00:00.000,0.02463600,0.02939900,0.02450300,0.02858500,17699.18900000,2020-06-27 08:59:59.999,483.63507168,22010,9913.49600000,271.50469764,0
2,2020-06-27 09:00:00.000,0.02857700,0.02900000,0.02485200,0.02570800,8197.40800000,2020-06-28 08:59:59.999,218.08615300,11773,3550.45000000,94.34534756,0
3,2020-06-28 09:00:00.000,0.02570800,0.02755900,0.02525100,0.02692000,3675.70900000,2020-06-29 08:59:59.999,98.08861168,5331,1916.97500000,51.39148297,0
4,2020-06-29 09:00:00.000,0.02690000,0.02709500,0.02522200,0.02538800,2841.66500000,2020-06-30 08:59:59.999,74.01133706,5315,1499.72400000,39.18800057,0
5,2020-06-30 09:00:00.000,0.02539700,0.02622300,0.02326600,0.02370300,6397.72900000,2020-07-01 08:59:59.999,156.10498844,10475,3270.68600000,79.68377914,0
6,2020-07-01 09:00:00.000,0.02365600,0.02397800,0.02164000,0.02178200,4576.00300000,2020-07-02 08:59:59.999,105.56064759,10832,1890.27500000,43.75129981,0
7,2020-07-02 09:00:00.000,0.02178200,0.02217100,0.01923400,0.01984000,11559.09400000,2020-07-03 08:59:59.999,236.44686165,18576,5517.92200000,113.15325046,0
8,2020-07-03 09:00:00.000,0.01980500,0.02121000,0.01885900,0.01895000,8922.43400000,2020-07-04 08:59:59.999,176.87760296,14913,4000.16500000,79.60721648,0
9,2020-07-04 09:00:00.000,0.01894900,0.02131800,0.01800500,0.01971100,13497.43300000,2020-07-05 08:59:59.999,264.73077128,16820,6526.22600000,127.66499221,0
10,2020-07-05 09:00:00.000,0.01974900,0.02436600,0.01945500,0.02222400,20488.83300000,2020-07-06 08:59:59.999,458.20875530,24201,9729.64500000,217.82420304,0
11,2020-07-06 09:00:00.000,0.02210400,0.02251100,0.02040100,0.02087000,10940.82100000,2020-07-07 08:59:59.999,231.57827001,17446,4973.57400000,105.46265822,0
12,2020-07-07 09:00:00.000,0.02087000,0.02129500,0.01980500,0.02021200,8979.93100000,2020-07-08 08:59:59.999,184.27092580,10965,4592.40300000,94.12695189,0
13,2020-07-08 09:00:00.000,0.02024000,0.02035100,0.01877100,0.01957800,10139.13600000,2020-07-09 08:59:59.999,199.73423442,12437,5474.64500000,108.06199236,0
14,2020-07-09 09:00:00.000,0.01957800,0.02007000,0.01910000,0.01950000,8877.91100000,2020-07-10 08:59:59.999,173.62820851,10075,3328.62900000,64.97271417,0
15,2020-07-10 09:00:00.000,0.01949900,0.01974700,0.01868500,0.01890800,4335.38900000,2020-07-11 08:59:59.999,82.86144828,6941,1655.93600000,31.70835926,0
16,2020-07-11 09:00:00.000,0.01888900,0.01994700,0.01875100,0.01927800,6409.67300000,2020-07-12 08:59:59.999,124.05781133,10401,3095.89800000,60.00924142,0
17,2020-07-12 09:00:00.000,0.01926000,0.01976600,0.01883800,0.01891000,6431.44000000,2020-07-13 08:59:59.999,123.67639841,8031,2452.19000000,47.27029639,0
18,2020-07-13 09:00:00.000,0.01894800,0.01925700,0.01724500,0.01799700,8893.09100000,2020-07-14 08:59:59.999,162.42629267,10953,3683.57800000,67.14212185,0
19,2020-07-14 09:00:00.000,0.01796300,0.01811500,0.01741200,0.01769600,5683.38200000,2020-07-15 08:59:59.999,100.93395355,6092,2336.04100000,41.49123639,0
20,2020-07-15 09:00:00.000,0.01771900,0.01817100,0.01736700,0.01745700,5490.40000000,2020-07-16 08:59:59.999,97.81936162,5186,2006.43000000,35.72311817,0
21,2020-07-16 09:00:00.000,0.01745600,0.01778600,0.01670000,0.01698800,6164.97700000,2020-07-17 08:59:59.999,105.54647355,5648,2669.91200000,45.76302452,0
22,2020-07-17 09:00:00.000,0.01694000,0.01950000,0.01690300,0.01825400,16393.18300000,2020-07-18 08:59:59.999,299.15332190,16839,7814.37400000,142.94928522,0
23,2020-07-18 09:00:00.000,0.01828300,0.01834900,0.01757600,0.01788600,7869.03600000,2020-07-19 08:59:59.999,141.50872999,10963,3628.71100000,65.30004890,0
24,2020-07-19 09:00:00.000,0.01785700,0.01801500,0.01749800,0.01774900,6723.88000000,2020-07-20 08:59:59.999,119.26506209,6118,2673.28900000,47.46848738,0
25,2020-07-20 09:00:00.000,0.01774800,0.01905400,0.01680000,0.01723500,22302.21600000,2020-07-21 08:59:59.999,401.16958911,21121,9804.50900000,176.33844485,0
26,2020-07-21 09:00:00.000,0.01722300,0.01756600,0.01676300,0.01701000,7037.55900000,2020-07-22 08:59:59.999,120.40396487,5634,3723.52000000,63.79812588,0
27,2020-07-22 09:00:00.000,0.01701000,0.01737700,0.01640000,0.01656700,8944.45900000,2020-07-23 08:59:59.999,149.64170080,7326,3172.51600000,53.15566374,0
28,2020-07-23 09:00:00.000,0.01655900,0.01711400,0.01610000,0.01625400,8604.29900000,2020-07-24 08:59:59.999,143.05877020,6596,3756.60500000,62.47011736,0
29,2020-07-24 09:00:00.000,0.01627600,0.01670000,0.01619600,0.01626800,5066.93200000,2020-07-25 08:59:59.999,83.08699861,3875,2646.22100000,43.38698072,0
30,2020-07-25 09:00:00.000,0.01626800,0.01642500,0.01595200,0.01605300,6577.01200000,2020-07-26 08:59:59.999,106.68983463,4587,2725.48500000,44.24586242,0
31,2020-07-26 09:00:00.000,0.01605500,0.01693800,0.01530100,0.01588000,10662.63100000,2020-07-27 08:59:59.999,171.85265031,8842,5378.76100000,86.52391296,0
32,2020-07-27 09:00:00.000,0.01586500,0.01588700,0.01180700,0.01230100,21902.38400000,2020-07-28 08:59:59.999,293.58700195,19133,10295.51200000,138.91636048,0
33,2020-07-28 09:00:00.000,0.01227900,0.01282200,0.01177100,0.01251600,12637.50700000,2020-07-29 08:59:59.999,155.75304372,11752,6421.94700000,79.10388107,0
34,2020-07-29 09:00:00.000,0.01250200,0.01276500,0.01158900,0.01200700,8587.42000000,2020-07-30 08:59:59.999,103.93356909,6654,4047.30400000,48.99588204,0
35,2020-07-30 09:00:00.000,0.01200200,0.01234500,0.01187400,0.01199700,8970.90200000,2020-07-31 08:59:59.999,108.17493973,5980,4271.73700000,51.51653702,0
36,2020-07-31 09:00:00.000,0.01199100,0.01270000,0.01130900,0.01189400,18747.41400000,2020-08-01 08:59:59.999,225.85422811,11385,9436.77700000,113.64954482,0
37,2020-08-01 09:00:00.000,0.01190200,0.01265000,0.01157400,0.01168400,16506.30500000,2020-08-02 08:59:59.999,199.95386624,11095,7735.24500000,93.71936272,0
38,2020-08-02 09:00:00.000,0.01168400,0.01182200,0.01074500,0.01149700,17105.72100000,2020-08-03 08:59:59.999,194.34690238,13118,7334.41300000,83.42953427,0
39,2020-08-03 09:00:00.000,0.01152300,0.01176600,0.01111200,0.01130900,8001.73100000,2020-08-04 08:59:59.999,91.67644428,5996,3293.05400000,37.81590759,0
40,2020-08-04 09:00:00.000,0.01132900,0.01197100,0.01120000,0.01180300,11848.99800000,2020-08-05 08:59:59.999,137.40699566,7057,5573.30400000,64.63197909,0
41,2020-08-05 09:00:00.000,0.01180300,0.01255400,0.01145400,0.01145400,23228.43400000,2020-08-06 08:59:59.999,277.50422835,14628,9558.18300000,114.32152673,0
42,2020-08-06 09:00:00.000,0.01146200,0.01210300,0.01123300,0.01163300,17224.77400000,2020-08-07 08:59:59.999,200.57052608,9975,9204.48800000,106.99339637,0
43,2020-08-07 09:00:00.000,0.01161700,0.01357600,0.01156700,0.01333700,38151.98000000,2020-08-08 08:59:59.999,480.12036647,23688,18049.71200000,227.21484158,0
44,2020-08-08 09:00:00.000,0.01330600,0.01390000,0.01263400,0.01296300,26028.26900000,2020-08-09 08:59:59.999,346.27568112,19821,12718.26900000,169.36741269,0
45,2020-08-09 09:00:00.000,0.01296200,0.01509400,0.01258200,0.01462400,26630.04400000,2020-08-10 08:59:59.999,369.65311509,26201,12540.58800000,174.35403955,0
