,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-08-03 09:00:00.000,0.00002000,0.00002000,0.00000051,0.00000206,152784276.00000000,2019-08-04 08:59:59.999,363.98284424,17474,64297925.00000000,155.04124913,0
1,2019-08-04 09:00:00.000,0.00000206,0.00000217,0.00000186,0.00000189,53681523.00000000,2019-08-05 08:59:59.999,107.79287532,6719,15424232.00000000,31.30468192,0
2,2019-08-05 09:00:00.000,0.00000189,0.00000191,0.00000146,0.00000148,47280096.00000000,2019-08-06 08:59:59.999,78.96936041,5809,15443300.00000000,25.76777654,0
3,2019-08-06 09:00:00.000,0.00000149,0.00000187,0.00000148,0.00000168,53403416.00000000,2019-08-07 08:59:59.999,89.28477476,6880,23462501.00000000,39.32455307,0
4,2019-08-07 09:00:00.000,0.00000169,0.00000355,0.00000168,0.00000318,350587640.00000000,2019-08-08 08:59:59.999,859.94668763,37617,189069914.00000000,464.40925470,0
5,2019-08-08 09:00:00.000,0.00000317,0.00000450,0.00000230,0.00000234,988936219.00000000,2019-08-09 08:59:59.999,3288.31072017,99372,460196636.00000000,1551.41043250,0
6,2019-08-09 09:00:00.000,0.00000234,0.00000271,0.00000186,0.00000191,211614518.00000000,2019-08-10 08:59:59.999,492.43000597,27072,83695887.00000000,196.78854888,0
7,2019-08-10 09:00:00.000,0.00000192,0.00000245,0.00000191,0.00000238,139045214.00000000,2019-08-11 08:59:59.999,302.53602612,19304,63451997.00000000,138.75613575,0
8,2019-08-11 09:00:00.000,0.00000238,0.00000249,0.00000215,0.00000217,132501946.00000000,2019-08-12 08:59:59.999,307.13767093,19793,57027514.00000000,132.82918483,0
9,2019-08-12 09:00:00.000,0.00000217,0.00000285,0.00000216,0.00000266,234128112.00000000,2019-08-13 08:59:59.999,609.03722760,40532,109609211.00000000,285.22932014,0
10,2019-08-13 09:00:00.000,0.00000267,0.00000303,0.00000253,0.00000283,244714637.00000000,2019-08-14 08:59:59.999,689.74081552,32674,110096262.00000000,311.33404980,0
11,2019-08-14 09:00:00.000,0.00000283,0.00000297,0.00000252,0.00000259,178081538.00000000,2019-08-15 08:59:59.999,490.75061948,25091,74626408.00000000,206.82514580,0
12,2019-08-15 09:00:00.000,0.00000259,0.00000359,0.00000255,0.00000331,399875382.00000000,2019-08-16 08:59:59.999,1298.80428214,52457,192729823.00000000,624.46318998,0
13,2019-08-16 09:00:00.000,0.00000331,0.00000386,0.00000287,0.00000317,490889363.00000000,2019-08-17 08:59:59.999,1652.44825620,65297,214077768.00000000,723.71006423,0
14,2019-08-17 09:00:00.000,0.00000318,0.00000377,0.00000315,0.00000345,372975642.00000000,2019-08-18 08:59:59.999,1297.77599823,54350,168393701.00000000,587.37808719,0
15,2019-08-18 09:00:00.000,0.00000345,0.00000347,0.00000288,0.00000297,219665334.00000000,2019-08-19 08:59:59.999,697.50809433,31262,87995154.00000000,279.97021732,0
16,2019-08-19 09:00:00.000,0.00000297,0.00000329,0.00000288,0.00000306,131596693.00000000,2019-08-20 08:59:59.999,405.45904578,22004,56785388.00000000,175.89096360,0
17,2019-08-20 09:00:00.000,0.00000305,0.00000345,0.00000298,0.00000324,205205875.00000000,2019-08-21 08:59:59.999,664.20085870,35388,94489008.00000000,307.30758020,0
18,2019-08-21 09:00:00.000,0.00000324,0.00000324,0.00000276,0.00000287,113337605.00000000,2019-08-22 08:59:59.999,344.12624277,17872,38609645.00000000,117.35326280,0
19,2019-08-22 09:00:00.000,0.00000287,0.00000303,0.00000272,0.00000292,87770723.00000000,2019-08-23 08:59:59.999,252.29892053,16000,39331269.00000000,113.78164797,0
20,2019-08-23 09:00:00.000,0.00000292,0.00000308,0.00000273,0.00000275,52622063.00000000,2019-08-24 08:59:59.999,152.15025537,12116,23159655.00000000,67.43254236,0
21,2019-08-24 09:00:00.000,0.00000275,0.00000283,0.00000260,0.00000277,65030128.00000000,2019-08-25 08:59:59.999,175.64583138,12255,29843388.00000000,80.82432003,0
22,2019-08-25 09:00:00.000,0.00000278,0.00000296,0.00000265,0.00000266,76588946.00000000,2019-08-26 08:59:59.999,213.44225507,14170,32716547.00000000,91.67521745,0
23,2019-08-26 09:00:00.000,0.00000266,0.00000267,0.00000238,0.00000240,44700082.00000000,2019-08-27 08:59:59.999,111.99969086,8178,15886575.00000000,39.94153158,0
24,2019-08-27 09:00:00.000,0.00000240,0.00000247,0.00000229,0.00000233,45957845.00000000,2019-08-28 08:59:59.999,108.92176343,7154,20911861.00000000,49.72174652,0
25,2019-08-28 09:00:00.000,0.00000234,0.00000279,0.00000231,0.00000252,141862391.00000000,2019-08-29 08:59:59.999,365.70887635,19309,65613336.00000000,169.67595896,0
26,2019-08-29 09:00:00.000,0.00000252,0.00000254,0.00000228,0.00000228,30388213.00000000,2019-08-30 08:59:59.999,73.49806689,5890,10029701.00000000,24.43612228,0
27,2019-08-30 09:00:00.000,0.00000229,0.00000241,0.00000228,0.00000233,23578636.00000000,2019-08-31 08:59:59.999,54.91145394,3851,9849816.00000000,23.01695187,0
28,2019-08-31 09:00:00.000,0.00000233,0.00000246,0.00000215,0.00000220,29387058.00000000,2019-09-01 08:59:59.999,68.09009180,5217,10830876.00000000,25.25711090,0
29,2019-09-01 09:00:00.000,0.00000220,0.00000224,0.00000204,0.00000208,33104391.00000000,2019-09-02 08:59:59.999,69.99416381,5071,12675906.00000000,26.88405351,0
30,2019-09-02 09:00:00.000,0.00000208,0.00000217,0.00000196,0.00000198,22724943.00000000,2019-09-03 08:59:59.999,47.68704863,3737,8948769.00000000,18.84926332,0
31,2019-09-03 09:00:00.000,0.00000198,0.00000212,0.00000184,0.00000196,20241231.00000000,2019-09-04 08:59:59.999,40.05597759,3694,9521904.00000000,18.89727757,0
32,2019-09-04 09:00:00.000,0.00000197,0.00000247,0.00000190,0.00000226,173479737.00000000,2019-09-05 08:59:59.999,396.73021781,21679,88069990.00000000,202.01702341,0
33,2019-09-05 09:00:00.000,0.00000226,0.00000245,0.00000217,0.00000218,106670664.00000000,2019-09-06 08:59:59.999,246.70065901,14845,48176689.00000000,112.06999829,0
34,2019-09-06 09:00:00.000,0.00000218,0.00000221,0.00000193,0.00000203,59121574.00000000,2019-09-07 08:59:59.999,122.75153317,7078,24361520.00000000,50.58866406,0
35,2019-09-07 09:00:00.000,0.00000202,0.00000212,0.00000197,0.00000203,26440339.00000000,2019-09-08 08:59:59.999,54.12402212,3718,11205181.00000000,22.97092573,0
36,2019-09-08 09:00:00.000,0.00000202,0.00000214,0.00000202,0.00000209,23384521.00000000,2019-09-09 08:59:59.999,48.71756726,3697,11767105.00000000,24.55713221,0
37,2019-09-09 09:00:00.000,0.00000208,0.00000212,0.00000199,0.00000206,28306118.00000000,2019-09-10 08:59:59.999,58.64278707,4570,9581121.00000000,19.87535262,0
38,2019-09-10 09:00:00.000,0.00000206,0.00000219,0.00000201,0.00000205,50067618.00000000,2019-09-11 08:59:59.999,103.91240221,7134,20192196.00000000,42.15485697,0
