,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-02-26 09:00:00.000,0.00000320,0.00000320,0.00000196,0.00000236,317023444.00000000,2020-02-27 08:59:59.999,739.41973462,26515,136471228.00000000,319.14825898,0
1,2020-02-27 09:00:00.000,0.00000236,0.00000267,0.00000220,0.00000230,192878092.00000000,2020-02-28 08:59:59.999,475.92939234,25362,85719427.00000000,212.43272200,0
2,2020-02-28 09:00:00.000,0.00000231,0.00000236,0.00000205,0.00000223,101385587.00000000,2020-02-29 08:59:59.999,222.64509231,14162,41304798.00000000,90.84758372,0
3,2020-02-29 09:00:00.000,0.00000223,0.00000229,0.00000213,0.00000220,43343534.00000000,2020-03-01 08:59:59.999,95.58373964,7593,18893167.00000000,41.84598941,0
4,2020-03-01 09:00:00.000,0.00000221,0.00000244,0.00000214,0.00000222,69618301.00000000,2020-03-02 08:59:59.999,158.63904842,10155,29433182.00000000,67.59399386,0
5,2020-03-02 09:00:00.000,0.00000223,0.00000277,0.00000219,0.00000273,142944220.00000000,2020-03-03 08:59:59.999,356.66015966,18865,74211029.00000000,186.19694845,0
6,2020-03-03 09:00:00.000,0.00000273,0.00000369,0.00000263,0.00000352,501583403.00000000,2020-03-04 08:59:59.999,1608.81675100,66043,249707583.00000000,803.79125895,0
7,2020-03-04 09:00:00.000,0.00000352,0.00000379,0.00000296,0.00000309,290416772.00000000,2020-03-05 08:59:59.999,979.65874211,46804,123042453.00000000,418.71007533,0
8,2020-03-05 09:00:00.000,0.00000309,0.00000404,0.00000294,0.00000374,285798165.00000000,2020-03-06 08:59:59.999,988.97257991,44368,140574185.00000000,487.88005759,0
9,2020-03-06 09:00:00.000,0.00000374,0.00000419,0.00000346,0.00000377,355167495.00000000,2020-03-07 08:59:59.999,1370.04616607,57975,160850854.00000000,622.55138968,0
10,2020-03-07 09:00:00.000,0.00000378,0.00000423,0.00000361,0.00000391,307725773.00000000,2020-03-08 08:59:59.999,1212.02005013,45443,149080077.00000000,590.75336242,0
