,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-04-23 09:00:00.000,0.00000218,0.00001333,0.00000218,0.00000767,710601750.00000000,2020-04-24 08:59:59.999,6558.21031534,176679,328759493.00000000,3050.94562494,0
1,2020-04-24 09:00:00.000,0.00000769,0.00000852,0.00000668,0.00000691,182170807.00000000,2020-04-25 08:59:59.999,1394.90270543,39264,82723375.00000000,636.96052529,0
2,2020-04-25 09:00:00.000,0.00000689,0.00000745,0.00000676,0.00000687,95162669.00000000,2020-04-26 08:59:59.999,672.45829847,17898,55038618.00000000,391.58923528,0
3,2020-04-26 09:00:00.000,0.00000687,0.00000720,0.00000591,0.00000601,142924404.00000000,2020-04-27 08:59:59.999,934.12423544,24974,67935213.00000000,448.34899598,0
4,2020-04-27 09:00:00.000,0.00000601,0.00000603,0.00000502,0.00000537,157998058.00000000,2020-04-28 08:59:59.999,863.52742013,25580,68354004.00000000,372.04112249,0
5,2020-04-28 09:00:00.000,0.00000538,0.00000649,0.00000508,0.00000530,216671916.00000000,2020-04-29 08:59:59.999,1252.68768418,36308,107991295.00000000,631.79677443,0
6,2020-04-29 09:00:00.000,0.00000530,0.00000552,0.00000463,0.00000472,125901854.00000000,2020-04-30 08:59:59.999,644.78151411,20543,52901062.00000000,272.06535827,0
7,2020-04-30 09:00:00.000,0.00000474,0.00000504,0.00000431,0.00000459,85187715.00000000,2020-05-01 08:59:59.999,397.72907207,15076,43155779.00000000,204.50357392,0
8,2020-05-01 09:00:00.000,0.00000458,0.00000475,0.00000420,0.00000448,40331691.00000000,2020-05-02 08:59:59.999,180.66570600,7514,18909978.00000000,84.97369712,0
9,2020-05-02 09:00:00.000,0.00000446,0.00000454,0.00000408,0.00000416,37492511.00000000,2020-05-03 08:59:59.999,161.04267321,7143,17409525.00000000,75.20455274,0
10,2020-05-03 09:00:00.000,0.00000416,0.00000426,0.00000385,0.00000421,47775607.00000000,2020-05-04 08:59:59.999,192.84802441,9787,20756331.00000000,83.91565394,0
11,2020-05-04 09:00:00.000,0.00000421,0.00000466,0.00000385,0.00000428,92087460.00000000,2020-05-05 08:59:59.999,394.96612099,15272,42093206.00000000,180.94520633,0
12,2020-05-05 09:00:00.000,0.00000428,0.00000455,0.00000408,0.00000414,54378555.00000000,2020-05-06 08:59:59.999,234.52015955,11454,21728072.00000000,94.01406003,0
13,2020-05-06 09:00:00.000,0.00000414,0.00000437,0.00000376,0.00000377,38228669.00000000,2020-05-07 08:59:59.999,153.91792914,6818,15940797.00000000,64.47813433,0
14,2020-05-07 09:00:00.000,0.00000377,0.00000385,0.00000316,0.00000323,36109731.00000000,2020-05-08 08:59:59.999,126.58025574,6285,14021641.00000000,48.99649984,0
15,2020-05-08 09:00:00.000,0.00000323,0.00000343,0.00000306,0.00000324,24185711.00000000,2020-05-09 08:59:59.999,78.33440167,5817,11253417.00000000,36.64024024,0
16,2020-05-09 09:00:00.000,0.00000327,0.00000359,0.00000321,0.00000339,16126147.00000000,2020-05-10 08:59:59.999,54.31223630,4370,7887038.00000000,26.64565418,0
17,2020-05-10 09:00:00.000,0.00000338,0.00000365,0.00000313,0.00000335,29113687.00000000,2020-05-11 08:59:59.999,96.36821384,6667,13871136.00000000,46.22906957,0
18,2020-05-11 09:00:00.000,0.00000331,0.00000358,0.00000312,0.00000321,17898780.00000000,2020-05-12 08:59:59.999,59.43168704,5421,7472778.00000000,24.92028686,0
19,2020-05-12 09:00:00.000,0.00000322,0.00000349,0.00000315,0.00000328,18132185.00000000,2020-05-13 08:59:59.999,60.03201658,6687,8624916.00000000,28.82104824,0
20,2020-05-13 09:00:00.000,0.00000329,0.00000331,0.00000310,0.00000320,8519448.00000000,2020-05-14 08:59:59.999,27.49791669,2067,3492875.00000000,11.33024163,0
21,2020-05-14 09:00:00.000,0.00000318,0.00000329,0.00000291,0.00000292,9577405.00000000,2020-05-15 08:59:59.999,29.23783714,2888,3742121.00000000,11.46290267,0
22,2020-05-15 09:00:00.000,0.00000293,0.00000308,0.00000292,0.00000304,4712020.00000000,2020-05-16 08:59:59.999,14.21301886,1169,2392228.00000000,7.23449699,0
23,2020-05-16 09:00:00.000,0.00000301,0.00000311,0.00000295,0.00000309,7201520.00000000,2020-05-17 08:59:59.999,21.89670552,1409,3595184.00000000,10.98099471,0
24,2020-05-17 09:00:00.000,0.00000309,0.00000415,0.00000306,0.00000383,62224576.00000000,2020-05-18 08:59:59.999,219.89555337,11201,30829139.00000000,109.70202277,0
25,2020-05-18 09:00:00.000,0.00000383,0.00000430,0.00000359,0.00000370,105702311.00000000,2020-05-19 08:59:59.999,422.58941385,21634,48389608.00000000,194.75372840,0
26,2020-05-19 09:00:00.000,0.00000370,0.00000410,0.00000346,0.00000387,103841218.00000000,2020-05-20 08:59:59.999,389.35071918,16842,59020851.00000000,221.96556593,0
27,2020-05-20 09:00:00.000,0.00000387,0.00000423,0.00000366,0.00000409,77806529.00000000,2020-05-21 08:59:59.999,309.19167115,19404,40104044.00000000,160.81007634,0
28,2020-05-21 09:00:00.000,0.00000410,0.00000458,0.00000355,0.00000363,91653672.00000000,2020-05-22 08:59:59.999,371.31974127,18783,35825873.00000000,146.81818364,0
29,2020-05-22 09:00:00.000,0.00000363,0.00000410,0.00000358,0.00000368,70806599.00000000,2020-05-23 08:59:59.999,267.62457783,14032,36358484.00000000,140.24007222,0
30,2020-05-23 09:00:00.000,0.00000368,0.00000378,0.00000351,0.00000355,16077576.00000000,2020-05-24 08:59:59.999,58.17685510,5547,6365833.00000000,23.09866540,0
31,2020-05-24 09:00:00.000,0.00000355,0.00000372,0.00000346,0.00000348,34461768.00000000,2020-05-25 08:59:59.999,124.73070717,7361,14495126.00000000,52.67809425,0
32,2020-05-25 09:00:00.000,0.00000350,0.00000382,0.00000338,0.00000380,44533956.00000000,2020-05-26 08:59:59.999,162.88145644,12642,21247090.00000000,78.03072075,0
33,2020-05-26 09:00:00.000,0.00000380,0.00000414,0.00000363,0.00000367,40686538.00000000,2020-05-27 08:59:59.999,157.38927842,10493,19514318.00000000,75.96514171,0
34,2020-05-27 09:00:00.000,0.00000367,0.00000374,0.00000336,0.00000340,20305454.00000000,2020-05-28 08:59:59.999,71.60194854,4949,6518927.00000000,23.04074917,0
35,2020-05-28 09:00:00.000,0.00000339,0.00000356,0.00000325,0.00000326,19647981.00000000,2020-05-29 08:59:59.999,66.34478889,4740,7838695.00000000,26.68888441,0
36,2020-05-29 09:00:00.000,0.00000326,0.00000404,0.00000325,0.00000383,72565653.00000000,2020-05-30 08:59:59.999,268.21535376,14762,32275977.00000000,119.35324245,0
37,2020-05-30 09:00:00.000,0.00000383,0.00000392,0.00000350,0.00000357,51786423.00000000,2020-05-31 08:59:59.999,191.71217742,11524,19790841.00000000,73.61305814,0
38,2020-05-31 09:00:00.000,0.00000355,0.00000377,0.00000336,0.00000338,16382444.00000000,2020-06-01 08:59:59.999,57.96219277,4870,5340387.00000000,19.03297604,0
39,2020-06-01 09:00:00.000,0.00000338,0.00000359,0.00000314,0.00000321,17219518.00000000,2020-06-02 08:59:59.999,58.17750311,4518,6109355.00000000,20.69097998,0
40,2020-06-02 09:00:00.000,0.00000321,0.00000339,0.00000319,0.00000334,13798621.00000000,2020-06-03 08:59:59.999,45.04049932,3965,6491116.00000000,21.29152856,0
41,2020-06-03 09:00:00.000,0.00000334,0.00000346,0.00000324,0.00000329,21257352.00000000,2020-06-04 08:59:59.999,70.96956025,5297,7690265.00000000,25.73854267,0
