,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-11-22 09:00:00.000,0.00002080,0.00002600,0.00001613,0.00001827,23165453.00000000,2019-11-23 08:59:59.999,440.56329613,26919,8606582.00000000,164.07121907,0
1,2019-11-23 09:00:00.000,0.00001827,0.00001864,0.00001641,0.00001690,12303844.00000000,2019-11-24 08:59:59.999,213.62904627,16755,4469142.00000000,77.99485369,0
2,2019-11-24 09:00:00.000,0.00001698,0.00001752,0.00001365,0.00001384,15241221.00000000,2019-11-25 08:59:59.999,228.94244757,18080,5877804.00000000,87.88119670,0
3,2019-11-25 09:00:00.000,0.00001384,0.00001427,0.00001221,0.00001243,24408376.00000000,2019-11-26 08:59:59.999,317.95744546,22781,11319325.00000000,147.92238692,0
4,2019-11-26 09:00:00.000,0.00001243,0.00001371,0.00001228,0.00001306,8939672.00000000,2019-11-27 08:59:59.999,116.29176031,7195,3809230.00000000,49.93489865,0
5,2019-11-27 09:00:00.000,0.00001311,0.00001497,0.00001231,0.00001270,19801724.00000000,2019-11-28 08:59:59.999,274.88813960,22199,9272295.00000000,129.18802265,0
6,2019-11-28 09:00:00.000,0.00001265,0.00001363,0.00001246,0.00001302,5321945.00000000,2019-11-29 08:59:59.999,69.85460772,6313,2347919.00000000,30.78305158,0
7,2019-11-29 09:00:00.000,0.00001303,0.00001375,0.00001249,0.00001284,3197331.00000000,2019-11-30 08:59:59.999,41.80475330,3194,1540083.00000000,20.22497414,0
8,2019-11-30 09:00:00.000,0.00001285,0.00001300,0.00001253,0.00001279,1697273.00000000,2019-12-01 08:59:59.999,21.68269805,1725,768813.00000000,9.81731840,0
9,2019-12-01 09:00:00.000,0.00001286,0.00001330,0.00001265,0.00001292,1543852.00000000,2019-12-02 08:59:59.999,20.01763535,2201,916430.00000000,11.90353246,0
10,2019-12-02 09:00:00.000,0.00001290,0.00001303,0.00001271,0.00001283,671131.00000000,2019-12-03 08:59:59.999,8.64153967,1195,353896.00000000,4.57175914,0
11,2019-12-03 09:00:00.000,0.00001283,0.00001322,0.00001211,0.00001223,1699723.00000000,2019-12-04 08:59:59.999,21.37213677,2266,757730.00000000,9.56048022,0
12,2019-12-04 09:00:00.000,0.00001220,0.00001220,0.00001091,0.00001142,4234281.00000000,2019-12-05 08:59:59.999,48.69003486,5378,1695104.00000000,19.52460708,0
13,2019-12-05 09:00:00.000,0.00001149,0.00001149,0.00001020,0.00001060,5154106.00000000,2019-12-06 08:59:59.999,54.60754438,6506,2246206.00000000,23.74373481,0
14,2019-12-06 09:00:00.000,0.00001060,0.00001190,0.00001051,0.00001094,3591020.00000000,2019-12-07 08:59:59.999,40.31302191,4456,1815870.00000000,20.42750177,0
15,2019-12-07 09:00:00.000,0.00001093,0.00001175,0.00001060,0.00001082,3303244.00000000,2019-12-08 08:59:59.999,36.95634691,3979,1703641.00000000,19.12062240,0
16,2019-12-08 09:00:00.000,0.00001082,0.00001099,0.00001055,0.00001077,1898690.00000000,2019-12-09 08:59:59.999,20.39236070,2177,1017180.00000000,10.94928977,0
17,2019-12-09 09:00:00.000,0.00001083,0.00001084,0.00001044,0.00001054,1619462.00000000,2019-12-10 08:59:59.999,17.24670041,1582,509387.00000000,5.43268010,0
18,2019-12-10 09:00:00.000,0.00001062,0.00001062,0.00000889,0.00000944,6508287.00000000,2019-12-11 08:59:59.999,62.53886273,5859,3399206.00000000,32.83441118,0
