,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.02016000,0.02043900,0.01919600,0.01962900,21563.52800000,2019-05-24 08:59:59.999,423.40015243,15527,11426.13500000,224.64671586,0
1,2019-05-24 09:00:00.000,0.01963200,0.02035000,0.01942000,0.01954000,13739.22100000,2019-05-25 08:59:59.999,272.59552624,12708,7390.91500000,146.58820829,0
2,2019-05-25 09:00:00.000,0.01954000,0.02004700,0.01921700,0.01938400,13510.86400000,2019-05-26 08:59:59.999,265.27855329,9731,7251.36200000,142.44001085,0
3,2019-05-26 09:00:00.000,0.01937800,0.01948400,0.01839600,0.01872000,13208.52100000,2019-05-27 08:59:59.999,252.43615282,9690,7294.28200000,139.47205122,0
4,2019-05-27 09:00:00.000,0.01871200,0.01919000,0.01855500,0.01892800,14167.80700000,2019-05-28 08:59:59.999,267.87276280,11110,7365.70400000,139.38374553,0
5,2019-05-28 09:00:00.000,0.01892000,0.02000000,0.01880300,0.01942400,18461.31100000,2019-05-29 08:59:59.999,354.98208960,16770,9394.32000000,180.73643307,0
6,2019-05-29 09:00:00.000,0.01942900,0.02013800,0.01897000,0.01944500,21533.20500000,2019-05-30 08:59:59.999,420.38815457,14208,10650.36300000,207.82832868,0
7,2019-05-30 09:00:00.000,0.01944500,0.02004900,0.01910900,0.01965000,22519.71700000,2019-05-31 08:59:59.999,440.84740275,18054,11467.64800000,224.64443624,0
8,2019-05-31 09:00:00.000,0.01965000,0.01968800,0.01904100,0.01936600,13864.08900000,2019-06-01 08:59:59.999,268.13833165,11354,7041.61100000,136.30155661,0
9,2019-06-01 09:00:00.000,0.01937500,0.01950700,0.01905000,0.01906600,9986.48900000,2019-06-02 08:59:59.999,192.83321536,9491,5443.61100000,105.16494268,0
10,2019-06-02 09:00:00.000,0.01908100,0.01924300,0.01855600,0.01893000,8152.59800000,2019-06-03 08:59:59.999,154.98838095,7245,3537.46800000,67.30596032,0
11,2019-06-03 09:00:00.000,0.01893000,0.01924100,0.01882300,0.01913200,9067.68500000,2019-06-04 08:59:59.999,172.30286521,9294,4866.54800000,92.54027944,0
12,2019-06-04 09:00:00.000,0.01914100,0.01967200,0.01864600,0.01869400,19558.57800000,2019-06-05 08:59:59.999,374.30126466,17361,10151.94200000,194.51232394,0
13,2019-06-05 09:00:00.000,0.01869900,0.01901300,0.01862200,0.01887800,10487.83000000,2019-06-06 08:59:59.999,196.58898990,9051,6263.38900000,117.39638056,0
