,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000326,0.00000365,0.00000295,0.00000305,63496276.00000000,2019-05-24 08:59:59.999,205.09284099,11207,25926405.00000000,84.47797947,0
1,2019-05-24 09:00:00.000,0.00000306,0.00000317,0.00000271,0.00000274,20010553.00000000,2019-05-25 08:59:59.999,59.04556639,3100,8090704.00000000,23.86059418,0
2,2019-05-25 09:00:00.000,0.00000274,0.00000296,0.00000265,0.00000286,16672285.00000000,2019-05-26 08:59:59.999,46.40180372,2525,8636719.00000000,23.99880443,0
3,2019-05-26 09:00:00.000,0.00000286,0.00000354,0.00000280,0.00000282,99116816.00000000,2019-05-27 08:59:59.999,313.53204896,15557,43905675.00000000,140.33158189,0
4,2019-05-27 09:00:00.000,0.00000282,0.00000293,0.00000271,0.00000287,19363246.00000000,2019-05-28 08:59:59.999,54.50637869,4433,8327395.00000000,23.46135139,0
5,2019-05-28 09:00:00.000,0.00000287,0.00000313,0.00000282,0.00000291,30144657.00000000,2019-05-29 08:59:59.999,88.97302051,5608,13348735.00000000,39.49757580,0
6,2019-05-29 09:00:00.000,0.00000291,0.00000326,0.00000285,0.00000307,26784722.00000000,2019-05-30 08:59:59.999,81.97972739,5029,13000841.00000000,39.87977600,0
7,2019-05-30 09:00:00.000,0.00000308,0.00000319,0.00000290,0.00000297,24358986.00000000,2019-05-31 08:59:59.999,73.59853817,3957,9026702.00000000,27.37503130,0
8,2019-05-31 09:00:00.000,0.00000297,0.00000318,0.00000285,0.00000316,27757103.00000000,2019-06-01 08:59:59.999,83.99020783,4391,13976326.00000000,42.48167797,0
9,2019-06-01 09:00:00.000,0.00000316,0.00000344,0.00000295,0.00000316,57236115.00000000,2019-06-02 08:59:59.999,186.07553370,9804,24933217.00000000,81.35344315,0
10,2019-06-02 09:00:00.000,0.00000318,0.00000357,0.00000310,0.00000341,34419184.00000000,2019-06-03 08:59:59.999,115.07359434,6970,14687763.00000000,49.27381396,0
11,2019-06-03 09:00:00.000,0.00000340,0.00000353,0.00000324,0.00000325,12750180.00000000,2019-06-04 08:59:59.999,42.78110865,3369,5324910.00000000,17.93966695,0
12,2019-06-04 09:00:00.000,0.00000326,0.00000326,0.00000294,0.00000299,27828393.00000000,2019-06-05 08:59:59.999,85.19867382,4772,11643923.00000000,35.76335546,0
13,2019-06-05 09:00:00.000,0.00000301,0.00000311,0.00000296,0.00000299,16460058.00000000,2019-06-06 08:59:59.999,49.90211330,2745,8099885.00000000,24.67345517,0
14,2019-06-06 09:00:00.000,0.00000299,0.00000310,0.00000297,0.00000301,7149732.00000000,2019-06-07 08:59:59.999,21.61424985,1497,2757104.00000000,8.36660612,0
15,2019-06-07 09:00:00.000,0.00000301,0.00000307,0.00000297,0.00000306,7652290.00000000,2019-06-08 08:59:59.999,23.17082501,1685,3591010.00000000,10.89429307,0
16,2019-06-08 09:00:00.000,0.00000306,0.00000328,0.00000303,0.00000323,16923926.00000000,2019-06-09 08:59:59.999,53.42547581,3102,7836682.00000000,24.76555529,0
