,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00366200,0.00370000,0.00339800,0.00350600,22288.65500000,2019-05-24 08:59:59.999,78.21754058,5133,8205.80400000,28.71565661,0
1,2019-05-24 09:00:00.000,0.00350600,0.00356800,0.00344200,0.00348000,13832.25700000,2019-05-25 08:59:59.999,48.39638242,3519,5716.35100000,20.04649234,0
2,2019-05-25 09:00:00.000,0.00346500,0.00355900,0.00343300,0.00350300,10057.39300000,2019-05-26 08:59:59.999,35.15084911,1724,4937.22500000,17.28367352,0
3,2019-05-26 09:00:00.000,0.00350300,0.00351500,0.00315800,0.00327700,13721.00600000,2019-05-27 08:59:59.999,46.05118113,2966,5441.77100000,18.23947731,0
4,2019-05-27 09:00:00.000,0.00326900,0.00342200,0.00320700,0.00332300,18056.58600000,2019-05-28 08:59:59.999,59.48808187,4441,7959.03000000,26.15802389,0
5,2019-05-28 09:00:00.000,0.00332300,0.00334000,0.00321600,0.00323100,14159.63000000,2019-05-29 08:59:59.999,46.14654539,4469,7369.68000000,24.02445929,0
6,2019-05-29 09:00:00.000,0.00323100,0.00330000,0.00321000,0.00326700,17770.03100000,2019-05-30 08:59:59.999,57.80614021,3602,9103.50900000,29.69620738,0
7,2019-05-30 09:00:00.000,0.00326700,0.00363100,0.00326400,0.00333200,35798.54600000,2019-05-31 08:59:59.999,122.50491931,9201,17848.69200000,61.22492901,0
8,2019-05-31 09:00:00.000,0.00334800,0.00339000,0.00322400,0.00331400,16072.21000000,2019-06-01 08:59:59.999,53.07214307,3113,6973.87800000,23.10376247,0
9,2019-06-01 09:00:00.000,0.00331000,0.00341700,0.00326900,0.00330200,13518.32800000,2019-06-02 08:59:59.999,45.15665295,3205,6919.12200000,23.14271854,0
10,2019-06-02 09:00:00.000,0.00330000,0.00342300,0.00329800,0.00333300,7786.14400000,2019-06-03 08:59:59.999,25.99447122,2063,3550.98500000,11.87536883,0
