,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-07-06 09:00:00.000,0.00000089,0.00000172,0.00000075,0.00000112,20068081511.00000000,2018-07-07 08:59:59.999,25145.81320153,207287,9653071553.00000000,12097.71211903,0
1,2018-07-07 09:00:00.000,0.00000111,0.00000120,0.00000086,0.00000090,4513415266.00000000,2018-07-08 08:59:59.999,4466.40818686,88439,2027417648.00000000,2016.10811027,0
2,2018-07-08 09:00:00.000,0.00000090,0.00000097,0.00000086,0.00000090,2315518372.00000000,2018-07-09 08:59:59.999,2119.99183745,46328,1103721647.00000000,1016.83353368,0
3,2018-07-09 09:00:00.000,0.00000090,0.00000092,0.00000078,0.00000078,1987854718.00000000,2018-07-10 08:59:59.999,1704.60316320,70608,808885747.00000000,699.16954721,0
4,2018-07-10 09:00:00.000,0.00000078,0.00000081,0.00000068,0.00000069,1277195874.00000000,2018-07-11 08:59:59.999,949.41457748,35050,516932590.00000000,386.38012947,0
5,2018-07-11 09:00:00.000,0.00000069,0.00000074,0.00000067,0.00000068,934330481.00000000,2018-07-12 08:59:59.999,655.67028320,24074,435283824.00000000,307.56322379,0
6,2018-07-12 09:00:00.000,0.00000069,0.00000069,0.00000059,0.00000062,736920651.00000000,2018-07-13 08:59:59.999,472.46135519,13209,277920823.00000000,179.28377121,0
7,2018-07-13 09:00:00.000,0.00000062,0.00000067,0.00000059,0.00000062,847475689.00000000,2018-07-14 08:59:59.999,534.78239387,15783,385261150.00000000,245.16445918,0
8,2018-07-14 09:00:00.000,0.00000062,0.00000063,0.00000059,0.00000060,356824056.00000000,2018-07-15 08:59:59.999,217.18198532,4275,136002741.00000000,83.50916569,0
9,2018-07-15 09:00:00.000,0.00000060,0.00000065,0.00000059,0.00000063,447980172.00000000,2018-07-16 08:59:59.999,280.36543775,4980,252147803.00000000,158.52909268,0
10,2018-07-16 09:00:00.000,0.00000062,0.00000064,0.00000060,0.00000061,621241571.00000000,2018-07-17 08:59:59.999,381.52276071,10838,277034132.00000000,171.08664873,0
11,2018-07-17 09:00:00.000,0.00000061,0.00000061,0.00000054,0.00000055,1083990985.00000000,2018-07-18 08:59:59.999,619.21379339,12748,457382452.00000000,262.11477575,0
