,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-06-22 09:00:00.000,0.00000201,0.00000297,0.00000201,0.00000217,423307365.00000000,2020-06-23 08:59:59.999,1019.70502584,41172,195689980.00000000,473.52948317,0
1,2020-06-23 09:00:00.000,0.00000218,0.00000239,0.00000206,0.00000210,207602361.00000000,2020-06-24 08:59:59.999,463.16572020,33543,92607023.00000000,207.60654653,0
2,2020-06-24 09:00:00.000,0.00000210,0.00000218,0.00000197,0.00000203,108284302.00000000,2020-06-25 08:59:59.999,224.11644221,15824,46114590.00000000,95.76807712,0
3,2020-06-25 09:00:00.000,0.00000203,0.00000219,0.00000200,0.00000208,99412219.00000000,2020-06-26 08:59:59.999,206.97628246,10594,50439353.00000000,105.45776817,0
4,2020-06-26 09:00:00.000,0.00000208,0.00000213,0.00000200,0.00000204,54883508.00000000,2020-06-27 08:59:59.999,112.38110633,5628,23758994.00000000,48.75998771,0
5,2020-06-27 09:00:00.000,0.00000203,0.00000208,0.00000192,0.00000200,47443262.00000000,2020-06-28 08:59:59.999,95.98881147,8608,23953050.00000000,48.55199661,0
6,2020-06-28 09:00:00.000,0.00000200,0.00000224,0.00000195,0.00000219,71237570.00000000,2020-06-29 08:59:59.999,151.78520194,10694,37606596.00000000,80.22812016,0
7,2020-06-29 09:00:00.000,0.00000218,0.00000235,0.00000217,0.00000229,93972431.00000000,2020-06-30 08:59:59.999,213.08163310,14122,49330086.00000000,112.13847110,0
8,2020-06-30 09:00:00.000,0.00000230,0.00000235,0.00000220,0.00000228,49785218.00000000,2020-07-01 08:59:59.999,112.66592091,9278,22006107.00000000,50.03770174,0
9,2020-07-01 09:00:00.000,0.00000229,0.00000229,0.00000215,0.00000219,32277301.00000000,2020-07-02 08:59:59.999,71.17800468,5771,13695268.00000000,30.31871745,0
10,2020-07-02 09:00:00.000,0.00000220,0.00000226,0.00000217,0.00000221,30344831.00000000,2020-07-03 08:59:59.999,67.01543178,4107,14617914.00000000,32.42797416,0
11,2020-07-03 09:00:00.000,0.00000221,0.00000225,0.00000217,0.00000224,28834467.00000000,2020-07-04 08:59:59.999,63.94198479,3395,10561239.00000000,23.52010460,0
12,2020-07-04 09:00:00.000,0.00000224,0.00000232,0.00000218,0.00000222,35081967.00000000,2020-07-05 08:59:59.999,78.76330897,5262,14176995.00000000,31.97447866,0
13,2020-07-05 09:00:00.000,0.00000222,0.00000224,0.00000210,0.00000215,31734083.00000000,2020-07-06 08:59:59.999,69.32454644,5118,14173182.00000000,31.06018291,0
14,2020-07-06 09:00:00.000,0.00000216,0.00000228,0.00000214,0.00000226,44528272.00000000,2020-07-07 08:59:59.999,97.96361729,5659,22896600.00000000,50.42312955,0
15,2020-07-07 09:00:00.000,0.00000226,0.00000251,0.00000223,0.00000239,135911213.00000000,2020-07-08 08:59:59.999,320.81820548,16995,59963477.00000000,141.65302207,0
16,2020-07-08 09:00:00.000,0.00000239,0.00000250,0.00000227,0.00000237,108825697.00000000,2020-07-09 08:59:59.999,261.96277633,14306,48465479.00000000,117.19508587,0
17,2020-07-09 09:00:00.000,0.00000237,0.00000241,0.00000219,0.00000231,91433585.00000000,2020-07-10 08:59:59.999,209.59325991,11101,38541627.00000000,88.31367723,0
18,2020-07-10 09:00:00.000,0.00000230,0.00000239,0.00000228,0.00000228,37357959.00000000,2020-07-11 08:59:59.999,86.93060412,6577,17367818.00000000,40.55493852,0
19,2020-07-11 09:00:00.000,0.00000230,0.00000234,0.00000225,0.00000229,40119028.00000000,2020-07-12 08:59:59.999,91.95783826,5601,16027755.00000000,36.85729933,0
20,2020-07-12 09:00:00.000,0.00000229,0.00000244,0.00000226,0.00000234,63963293.00000000,2020-07-13 08:59:59.999,149.27154740,9018,35020203.00000000,81.92359448,0
21,2020-07-13 09:00:00.000,0.00000235,0.00000248,0.00000228,0.00000232,73225511.00000000,2020-07-14 08:59:59.999,173.66372592,11820,32691272.00000000,77.84883612,0
22,2020-07-14 09:00:00.000,0.00000232,0.00000237,0.00000224,0.00000228,42545286.00000000,2020-07-15 08:59:59.999,97.55293003,6078,17287168.00000000,39.81603225,0
23,2020-07-15 09:00:00.000,0.00000227,0.00000237,0.00000218,0.00000222,43085269.00000000,2020-07-16 08:59:59.999,98.02818558,6372,18874480.00000000,43.16056355,0
24,2020-07-16 09:00:00.000,0.00000222,0.00000226,0.00000212,0.00000216,50524349.00000000,2020-07-17 08:59:59.999,110.66350707,6303,21278170.00000000,46.76357493,0
25,2020-07-17 09:00:00.000,0.00000216,0.00000233,0.00000213,0.00000228,62354308.00000000,2020-07-18 08:59:59.999,139.47453620,8804,31666747.00000000,70.94571458,0
26,2020-07-18 09:00:00.000,0.00000228,0.00000229,0.00000217,0.00000222,29635131.00000000,2020-07-19 08:59:59.999,65.80532654,3742,13244373.00000000,29.46755547,0
27,2020-07-19 09:00:00.000,0.00000222,0.00000224,0.00000212,0.00000215,40360209.00000000,2020-07-20 08:59:59.999,87.77319113,4341,15826865.00000000,34.44590123,0
28,2020-07-20 09:00:00.000,0.00000215,0.00000236,0.00000213,0.00000231,99677789.00000000,2020-07-21 08:59:59.999,227.06376675,13301,51995230.00000000,118.73508668,0
29,2020-07-21 09:00:00.000,0.00000231,0.00000233,0.00000219,0.00000219,54626979.00000000,2020-07-22 08:59:59.999,122.26664309,7580,22110903.00000000,49.70202424,0
30,2020-07-22 09:00:00.000,0.00000220,0.00000235,0.00000220,0.00000232,68521286.00000000,2020-07-23 08:59:59.999,155.80207568,10114,34342127.00000000,78.33375835,0
31,2020-07-23 09:00:00.000,0.00000231,0.00000280,0.00000231,0.00000259,367585291.00000000,2020-07-24 08:59:59.999,945.78592212,46174,174992896.00000000,451.36037058,0
32,2020-07-24 09:00:00.000,0.00000259,0.00000278,0.00000245,0.00000254,194925146.00000000,2020-07-25 08:59:59.999,515.04024422,27504,93281314.00000000,247.70230229,0
33,2020-07-25 09:00:00.000,0.00000254,0.00000266,0.00000247,0.00000262,99842314.00000000,2020-07-26 08:59:59.999,255.07265847,15190,48479712.00000000,124.08959419,0
34,2020-07-26 09:00:00.000,0.00000262,0.00000267,0.00000232,0.00000243,90000793.00000000,2020-07-27 08:59:59.999,222.03827704,12743,36054180.00000000,88.95531297,0
35,2020-07-27 09:00:00.000,0.00000243,0.00000269,0.00000199,0.00000212,244476499.00000000,2020-07-28 08:59:59.999,558.70538377,32947,102930650.00000000,235.25406448,0
36,2020-07-28 09:00:00.000,0.00000212,0.00000221,0.00000203,0.00000219,81348162.00000000,2020-07-29 08:59:59.999,172.02404663,11005,41599595.00000000,88.20211319,0
37,2020-07-29 09:00:00.000,0.00000219,0.00000228,0.00000205,0.00000210,65415996.00000000,2020-07-30 08:59:59.999,140.52991828,9479,28966316.00000000,62.44124761,0
38,2020-07-30 09:00:00.000,0.00000212,0.00000230,0.00000209,0.00000228,85284702.00000000,2020-07-31 08:59:59.999,187.33401065,12183,45401691.00000000,99.87013015,0
39,2020-07-31 09:00:00.000,0.00000228,0.00000229,0.00000212,0.00000215,43185740.00000000,2020-08-01 08:59:59.999,94.73191357,8171,18097475.00000000,39.89026747,0
40,2020-08-01 09:00:00.000,0.00000214,0.00000243,0.00000209,0.00000230,88846225.00000000,2020-08-02 08:59:59.999,195.62530527,15401,46529378.00000000,102.84092183,0
41,2020-08-02 09:00:00.000,0.00000230,0.00000232,0.00000214,0.00000228,52072048.00000000,2020-08-03 08:59:59.999,115.95190168,11189,22627111.00000000,50.60078413,0
42,2020-08-03 09:00:00.000,0.00000227,0.00000241,0.00000222,0.00000236,47502101.00000000,2020-08-04 08:59:59.999,110.95549373,9103,24857730.00000000,58.21997100,0
43,2020-08-04 09:00:00.000,0.00000235,0.00000239,0.00000227,0.00000234,37749576.00000000,2020-08-05 08:59:59.999,88.10764693,6203,18386574.00000000,43.02198317,0
44,2020-08-05 09:00:00.000,0.00000234,0.00000234,0.00000220,0.00000223,47708398.00000000,2020-08-06 08:59:59.999,108.13802962,5543,22282126.00000000,50.51581398,0
45,2020-08-06 09:00:00.000,0.00000223,0.00000236,0.00000223,0.00000235,36137308.00000000,2020-08-07 08:59:59.999,83.39236688,6359,17642801.00000000,40.80272892,0
46,2020-08-07 09:00:00.000,0.00000234,0.00000239,0.00000227,0.00000237,52173411.00000000,2020-08-08 08:59:59.999,121.90363830,7778,25390050.00000000,59.54380819,0
47,2020-08-08 09:00:00.000,0.00000236,0.00000248,0.00000230,0.00000245,37746343.00000000,2020-08-09 08:59:59.999,90.32974065,7377,19638192.00000000,47.14665410,0
48,2020-08-09 09:00:00.000,0.00000245,0.00000259,0.00000244,0.00000250,62794309.00000000,2020-08-10 08:59:59.999,157.24873229,11280,33103437.00000000,83.16419545,0
49,2020-08-10 09:00:00.000,0.00000250,0.00000273,0.00000235,0.00000270,99029138.00000000,2020-08-11 08:59:59.999,251.85819119,18003,50110437.00000000,127.96816808,0
50,2020-08-11 09:00:00.000,0.00000270,0.00000276,0.00000251,0.00000266,94271458.00000000,2020-08-12 08:59:59.999,248.83120206,18928,43330014.00000000,114.78713598,0
51,2020-08-12 09:00:00.000,0.00000267,0.00000282,0.00000257,0.00000277,72035976.00000000,2020-08-13 08:59:59.999,195.32610059,15882,35016652.00000000,95.17004389,0
52,2020-08-13 09:00:00.000,0.00000277,0.00000278,0.00000261,0.00000267,47833161.00000000,2020-08-14 08:59:59.999,127.93319437,10548,20054333.00000000,53.81413561,0
53,2020-08-14 09:00:00.000,0.00000266,0.00000300,0.00000259,0.00000292,84077431.00000000,2020-08-15 08:59:59.999,234.66115522,18525,44659523.00000000,125.30700059,0
54,2020-08-15 09:00:00.000,0.00000292,0.00000320,0.00000278,0.00000298,130907962.00000000,2020-08-16 08:59:59.999,394.59744033,29203,67994794.00000000,205.45149562,0
55,2020-08-16 09:00:00.000,0.00000299,0.00000311,0.00000281,0.00000310,62043118.00000000,2020-08-17 08:59:59.999,182.28392969,13595,28799506.00000000,85.00299658,0
56,2020-08-17 09:00:00.000,0.00000311,0.00000314,0.00000271,0.00000283,69865997.00000000,2020-08-18 08:59:59.999,201.29615687,15028,30728607.00000000,88.77789305,0
57,2020-08-18 09:00:00.000,0.00000283,0.00000287,0.00000271,0.00000278,44872341.00000000,2020-08-19 08:59:59.999,125.40610645,8568,20187775.00000000,56.55034312,0
58,2020-08-19 09:00:00.000,0.00000278,0.00000285,0.00000261,0.00000267,38534994.00000000,2020-08-20 08:59:59.999,104.85903242,9264,15226978.00000000,41.63780728,0
59,2020-08-20 09:00:00.000,0.00000268,0.00000280,0.00000262,0.00000271,31621272.00000000,2020-08-21 08:59:59.999,85.60382177,7934,14744705.00000000,40.05032536,0
60,2020-08-21 09:00:00.000,0.00000271,0.00000275,0.00000252,0.00000258,35485028.00000000,2020-08-22 08:59:59.999,93.66404394,10382,13294583.00000000,35.24272711,0
61,2020-08-22 09:00:00.000,0.00000258,0.00000265,0.00000250,0.00000257,29942923.00000000,2020-08-23 08:59:59.999,76.56151043,7988,13564776.00000000,34.81508988,0
62,2020-08-23 09:00:00.000,0.00000257,0.00000260,0.00000244,0.00000247,21316244.00000000,2020-08-24 08:59:59.999,53.67315433,5073,10002511.00000000,25.24485459,0
63,2020-08-24 09:00:00.000,0.00000247,0.00000269,0.00000241,0.00000263,40422758.00000000,2020-08-25 08:59:59.999,103.84461866,10248,20496677.00000000,53.04086071,0
64,2020-08-25 09:00:00.000,0.00000263,0.00000271,0.00000246,0.00000258,45540748.00000000,2020-08-26 08:59:59.999,118.04576326,12168,24648833.00000000,63.96419949,0
65,2020-08-26 09:00:00.000,0.00000259,0.00000262,0.00000248,0.00000251,34561664.00000000,2020-08-27 08:59:59.999,87.90621663,8181,15123607.00000000,38.57363065,0
66,2020-08-27 09:00:00.000,0.00000251,0.00000251,0.00000235,0.00000239,40586177.00000000,2020-08-28 08:59:59.999,98.44065622,10646,18252092.00000000,44.44025676,0
67,2020-08-28 09:00:00.000,0.00000239,0.00000251,0.00000236,0.00000237,31765278.00000000,2020-08-29 08:59:59.999,76.66563166,6718,14988418.00000000,36.29665488,0
68,2020-08-29 09:00:00.000,0.00000238,0.00000243,0.00000235,0.00000240,26372697.00000000,2020-08-30 08:59:59.999,62.75907493,5148,11300131.00000000,26.95942069,0
69,2020-08-30 09:00:00.000,0.00000239,0.00000240,0.00000224,0.00000227,43883236.00000000,2020-08-31 08:59:59.999,102.00309822,7894,17687437.00000000,41.20365666,0
70,2020-08-31 09:00:00.000,0.00000227,0.00000236,0.00000223,0.00000231,48252767.00000000,2020-09-01 08:59:59.999,110.41653493,8264,24746679.00000000,56.71193856,0
71,2020-09-01 09:00:00.000,0.00000231,0.00000233,0.00000212,0.00000219,65309478.00000000,2020-09-02 08:59:59.999,144.48040203,10255,27809957.00000000,61.62173675,0
72,2020-09-02 09:00:00.000,0.00000218,0.00000222,0.00000209,0.00000220,46760174.00000000,2020-09-03 08:59:59.999,100.58159739,9579,22271150.00000000,48.11604133,0
73,2020-09-03 09:00:00.000,0.00000220,0.00000262,0.00000200,0.00000227,160454339.00000000,2020-09-04 08:59:59.999,368.00874539,34468,79228007.00000000,183.18842490,0
74,2020-09-04 09:00:00.000,0.00000227,0.00000260,0.00000220,0.00000233,138078461.00000000,2020-09-05 08:59:59.999,332.51306906,39243,69000059.00000000,167.14159171,0
75,2020-09-05 09:00:00.000,0.00000233,0.00000234,0.00000207,0.00000210,42549827.00000000,2020-09-06 08:59:59.999,93.84467622,11160,18936796.00000000,41.93719726,0
76,2020-09-06 09:00:00.000,0.00000210,0.00000225,0.00000205,0.00000217,30987836.00000000,2020-09-07 08:59:59.999,66.76475286,9041,14215067.00000000,30.69091168,0
77,2020-09-07 09:00:00.000,0.00000217,0.00000220,0.00000204,0.00000209,34635957.00000000,2020-09-08 08:59:59.999,72.65919215,7029,13082314.00000000,27.50541591,0
78,2020-09-08 09:00:00.000,0.00000209,0.00000216,0.00000207,0.00000212,26082272.00000000,2020-09-09 08:59:59.999,54.99152411,5646,13707682.00000000,28.93272234,0
79,2020-09-09 09:00:00.000,0.00000211,0.00000216,0.00000208,0.00000212,23149881.00000000,2020-09-10 08:59:59.999,48.90795581,3597,9861044.00000000,20.90052429,0
80,2020-09-10 09:00:00.000,0.00000212,0.00000226,0.00000211,0.00000219,29996747.00000000,2020-09-11 08:59:59.999,65.53753005,6316,16376946.00000000,35.87213811,0
81,2020-09-11 09:00:00.000,0.00000219,0.00000221,0.00000210,0.00000217,20339083.00000000,2020-09-12 08:59:59.999,43.77640160,3785,8158439.00000000,17.57717546,0
82,2020-09-12 09:00:00.000,0.00000217,0.00000223,0.00000211,0.00000218,29169029.00000000,2020-09-13 08:59:59.999,63.52085159,6212,13399925.00000000,29.25652671,0
83,2020-09-13 09:00:00.000,0.00000218,0.00000219,0.00000204,0.00000206,27201558.00000000,2020-09-14 08:59:59.999,57.53656578,5592,9281989.00000000,19.71212944,0
84,2020-09-14 09:00:00.000,0.00000206,0.00000211,0.00000203,0.00000204,20720432.00000000,2020-09-15 08:59:59.999,42.79083965,3734,9161564.00000000,18.98340773,0
85,2020-09-15 09:00:00.000,0.00000204,0.00000206,0.00000191,0.00000194,25759250.00000000,2020-09-16 08:59:59.999,51.51027220,4349,11489768.00000000,23.04477048,0
86,2020-09-16 09:00:00.000,0.00000194,0.00000239,0.00000193,0.00000238,106787777.00000000,2020-09-17 08:59:59.999,237.87703494,26689,55611688.00000000,123.89850662,0
87,2020-09-17 09:00:00.000,0.00000238,0.00000240,0.00000217,0.00000223,36172304.00000000,2020-09-18 08:59:59.999,82.62054499,10055,16154830.00000000,36.93189140,0
88,2020-09-18 09:00:00.000,0.00000224,0.00000225,0.00000210,0.00000216,27464272.00000000,2020-09-19 08:59:59.999,59.40303719,5276,12454521.00000000,27.01601193,0
89,2020-09-19 09:00:00.000,0.00000216,0.00000248,0.00000211,0.00000243,58988689.00000000,2020-09-20 08:59:59.999,138.26391513,16029,31709487.00000000,74.15078801,0
90,2020-09-20 09:00:00.000,0.00000242,0.00000272,0.00000234,0.00000271,80743856.00000000,2020-09-21 08:59:59.999,202.14072817,18967,43864246.00000000,110.42569121,0
91,2020-09-21 09:00:00.000,0.00000271,0.00000293,0.00000251,0.00000260,165761376.00000000,2020-09-22 08:59:59.999,455.50609379,61448,82039596.00000000,226.70496208,0
92,2020-09-22 09:00:00.000,0.00000260,0.00000275,0.00000251,0.00000266,42884577.00000000,2020-09-23 08:59:59.999,111.56498238,15873,21644435.00000000,56.37182591,0
93,2020-09-23 09:00:00.000,0.00000265,0.00000280,0.00000228,0.00000233,64416103.00000000,2020-09-24 08:59:59.999,164.36241522,21087,23444944.00000000,60.83763965,0
94,2020-09-24 09:00:00.000,0.00000233,0.00000239,0.00000225,0.00000232,61499560.00000000,2020-09-25 08:59:59.999,142.71394407,12815,31880717.00000000,74.09455670,0
95,2020-09-25 09:00:00.000,0.00000233,0.00000236,0.00000226,0.00000233,30764715.00000000,2020-09-26 08:59:59.999,71.06117233,7504,13826913.00000000,32.03302325,0
