,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-11-14 09:00:00.000,0.00556400,0.00558900,0.00515200,0.00538500,4813.28400000,2018-11-15 08:59:59.999,25.99967482,2304,2092.57000000,11.32047519,0
1,2018-11-15 09:00:00.000,0.00537100,0.00554900,0.00529600,0.00552400,3636.90400000,2018-11-16 08:59:59.999,19.58704736,1734,1544.23700000,8.33034804,0
2,2018-11-16 09:00:00.000,0.00550200,0.00569000,0.00545600,0.00554600,3337.11100000,2018-11-17 08:59:59.999,18.56288870,1317,1600.74200000,8.90744092,0
3,2018-11-17 09:00:00.000,0.00554500,0.00558600,0.00535500,0.00544900,1073.18200000,2018-11-18 08:59:59.999,5.84050168,521,360.13900000,1.96556429,0
4,2018-11-18 09:00:00.000,0.00548400,0.00552000,0.00531800,0.00543800,1512.28600000,2018-11-19 08:59:59.999,8.19829247,899,716.22400000,3.89244077,0
5,2018-11-19 09:00:00.000,0.00544100,0.00549600,0.00482200,0.00489400,6656.91900000,2018-11-20 08:59:59.999,33.87546558,2855,3389.38600000,17.19679829,0
6,2018-11-20 09:00:00.000,0.00492600,0.00499600,0.00455400,0.00471000,9549.47800000,2018-11-21 08:59:59.999,46.11540381,4419,6160.09300000,29.88215143,0
7,2018-11-21 09:00:00.000,0.00474900,0.00475000,0.00442000,0.00459700,10885.02600000,2018-11-22 08:59:59.999,50.21093728,3801,5185.82600000,24.04762848,0
8,2018-11-22 09:00:00.000,0.00459700,0.00473700,0.00446200,0.00448300,8912.04700000,2018-11-23 08:59:59.999,40.82446682,3399,4830.98100000,22.11672672,0
9,2018-11-23 09:00:00.000,0.00447500,0.00451800,0.00431500,0.00444900,3714.23300000,2018-11-24 08:59:59.999,16.39039502,1881,1893.40600000,8.35381476,0
10,2018-11-24 09:00:00.000,0.00443200,0.00460700,0.00308000,0.00455900,6189.62100000,2018-11-25 08:59:59.999,27.61826444,3023,2953.71300000,13.31097621,0
11,2018-11-25 09:00:00.000,0.00455900,0.00460600,0.00420000,0.00444000,7638.99600000,2018-11-26 08:59:59.999,33.26735095,3862,3326.27400000,14.55973165,0
12,2018-11-26 09:00:00.000,0.00444100,0.00455000,0.00429100,0.00442200,4730.78600000,2018-11-27 08:59:59.999,20.83248495,2750,2666.58500000,11.75774239,0
13,2018-11-27 09:00:00.000,0.00442200,0.00444900,0.00420800,0.00441300,6165.82700000,2018-11-28 08:59:59.999,26.67609752,2183,2910.81000000,12.63863630,0
14,2018-11-28 09:00:00.000,0.00441700,0.00481800,0.00430000,0.00440000,14805.36300000,2018-11-29 08:59:59.999,66.30721815,3663,8330.29900000,37.37467923,0
15,2018-11-29 09:00:00.000,0.00440200,0.00446300,0.00419700,0.00435100,15204.99800000,2018-11-30 08:59:59.999,65.52133325,3684,7726.55300000,33.33726352,0
16,2018-11-30 09:00:00.000,0.00435500,0.00489000,0.00431200,0.00435100,26043.80000000,2018-12-01 08:59:59.999,118.55377609,6351,12993.55300000,59.06538012,0
17,2018-12-01 09:00:00.000,0.00437400,0.00475100,0.00431100,0.00451700,6570.88600000,2018-12-02 08:59:59.999,29.48201511,2553,3113.46800000,13.99258828,0
18,2018-12-02 09:00:00.000,0.00451700,0.00488000,0.00434500,0.00440700,12744.16800000,2018-12-03 08:59:59.999,58.73765404,4862,5347.99700000,24.80372962,0
19,2018-12-03 09:00:00.000,0.00444600,0.00448200,0.00425100,0.00432800,5104.68800000,2018-12-04 08:59:59.999,22.16470982,1444,2384.72400000,10.37841891,0
20,2018-12-04 09:00:00.000,0.00432700,0.00436700,0.00426000,0.00428900,4378.20900000,2018-12-05 08:59:59.999,18.87916227,1032,1450.18400000,6.26151201,0
