,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-02 09:00:00.000,0.00033370,0.00051700,0.00033330,0.00037990,4416876.12000000,2020-09-03 08:59:59.999,1688.62066337,49049,2007086.83000000,770.87709945,0
1,2020-09-03 09:00:00.000,0.00038000,0.00041570,0.00028140,0.00029670,2986464.54000000,2020-09-04 08:59:59.999,994.50302286,54087,1297636.52000000,433.32258927,0
2,2020-09-04 09:00:00.000,0.00029680,0.00032570,0.00025490,0.00028310,1949699.10000000,2020-09-05 08:59:59.999,568.25359680,41326,905917.61000000,264.52444197,0
3,2020-09-05 09:00:00.000,0.00028090,0.00029940,0.00018340,0.00021180,2331775.97000000,2020-09-06 08:59:59.999,538.69951624,49652,975580.64000000,227.32335716,0
4,2020-09-06 09:00:00.000,0.00021080,0.00024440,0.00018850,0.00022590,1495941.16000000,2020-09-07 08:59:59.999,327.03419139,30404,643128.39000000,141.55875131,0
5,2020-09-07 09:00:00.000,0.00022530,0.00023810,0.00018800,0.00021190,1132088.79000000,2020-09-08 08:59:59.999,234.13827826,15830,486053.97000000,100.58559491,0
6,2020-09-08 09:00:00.000,0.00021240,0.00021770,0.00018790,0.00019890,585449.81000000,2020-09-09 08:59:59.999,117.74133162,12698,258355.37000000,52.12030763,0
7,2020-09-09 09:00:00.000,0.00019820,0.00022220,0.00018840,0.00021040,791365.93000000,2020-09-10 08:59:59.999,164.38241973,13331,353809.94000000,73.96113856,0
8,2020-09-10 09:00:00.000,0.00021070,0.00023640,0.00020800,0.00021170,952501.61000000,2020-09-11 08:59:59.999,211.30853132,19117,398505.99000000,88.40862197,0
9,2020-09-11 09:00:00.000,0.00021160,0.00022310,0.00019450,0.00021100,693444.21000000,2020-09-12 08:59:59.999,144.06977745,10540,264455.57000000,54.93313640,0
10,2020-09-12 09:00:00.000,0.00021030,0.00028500,0.00020000,0.00026390,2229053.55000000,2020-09-13 08:59:59.999,541.39230564,35750,984892.35000000,240.66105702,0
11,2020-09-13 09:00:00.000,0.00026390,0.00028000,0.00021200,0.00023000,3456190.71000000,2020-09-14 08:59:59.999,846.25174958,55142,1593000.98000000,390.84288783,0
12,2020-09-14 09:00:00.000,0.00023010,0.00027720,0.00021900,0.00025210,2142789.29000000,2020-09-15 08:59:59.999,539.34090266,33619,974471.86000000,245.79291680,0
13,2020-09-15 09:00:00.000,0.00025310,0.00027340,0.00021320,0.00022320,2093000.39000000,2020-09-16 08:59:59.999,506.48683779,37558,910730.37000000,220.42695217,0
14,2020-09-16 09:00:00.000,0.00022250,0.00023000,0.00018660,0.00019830,2215697.30000000,2020-09-17 08:59:59.999,459.29051987,35444,1021186.55000000,211.33455333,0
15,2020-09-17 09:00:00.000,0.00019790,0.00020990,0.00017560,0.00018540,1523388.15000000,2020-09-18 08:59:59.999,286.13370769,18651,666773.43000000,125.29541134,0
16,2020-09-18 09:00:00.000,0.00018460,0.00020280,0.00016700,0.00017540,1583581.15000000,2020-09-19 08:59:59.999,290.89848388,20825,718097.73000000,131.92525402,0
17,2020-09-19 09:00:00.000,0.00017540,0.00019750,0.00016610,0.00019240,1340248.77000000,2020-09-20 08:59:59.999,240.52290354,17077,606690.89000000,108.99522480,0
18,2020-09-20 09:00:00.000,0.00019230,0.00019390,0.00016760,0.00017180,810897.51000000,2020-09-21 08:59:59.999,145.96978286,10973,337777.38000000,60.83361978,0
19,2020-09-21 09:00:00.000,0.00017200,0.00017700,0.00013150,0.00014150,1946106.44000000,2020-09-22 08:59:59.999,286.26825910,25194,829461.98000000,121.64363085,0
20,2020-09-22 09:00:00.000,0.00014180,0.00015300,0.00012340,0.00014000,1918710.41000000,2020-09-23 08:59:59.999,256.52071336,21938,964256.61000000,128.69822474,0
21,2020-09-23 09:00:00.000,0.00013990,0.00014460,0.00011660,0.00011740,2534710.57000000,2020-09-24 08:59:59.999,331.42562110,31535,1235524.79000000,161.50323119,0
22,2020-09-24 09:00:00.000,0.00011740,0.00014440,0.00011340,0.00014030,2025180.04000000,2020-09-25 08:59:59.999,256.63249510,23918,1023693.15000000,129.44461162,0
23,2020-09-25 09:00:00.000,0.00014000,0.00015740,0.00012880,0.00015010,2731300.55000000,2020-09-26 08:59:59.999,378.66036547,27923,1447592.41000000,200.12994516,0
24,2020-09-26 09:00:00.000,0.00015010,0.00016270,0.00013830,0.00014160,1043426.25000000,2020-09-27 08:59:59.999,153.69092888,14911,505596.66000000,74.58696731,0
25,2020-09-27 09:00:00.000,0.00014100,0.00014650,0.00012380,0.00013280,1122976.16000000,2020-09-28 08:59:59.999,149.14339528,13968,475747.32000000,63.30088472,0
26,2020-09-28 09:00:00.000,0.00013280,0.00015680,0.00011450,0.00012670,2303151.52000000,2020-09-29 08:59:59.999,291.06227879,24829,1109434.47000000,140.18058900,0
27,2020-09-29 09:00:00.000,0.00012670,0.00013160,0.00010670,0.00011130,1910105.90000000,2020-09-30 08:59:59.999,221.05155252,17353,923113.62000000,106.63716249,0
28,2020-09-30 09:00:00.000,0.00011130,0.00014040,0.00010410,0.00013280,3679642.86000000,2020-10-01 08:59:59.999,439.46169798,32104,1688865.81000000,200.96039452,0
29,2020-10-01 09:00:00.000,0.00013250,0.00014180,0.00011720,0.00013160,2161097.28000000,2020-10-02 08:59:59.999,279.11906737,26878,1007500.09000000,130.01128117,0
30,2020-10-02 09:00:00.000,0.00013170,0.00013210,0.00011200,0.00012300,1405294.77000000,2020-10-03 08:59:59.999,169.60021058,18864,600014.98000000,72.29682050,0
31,2020-10-03 09:00:00.000,0.00012320,0.00012920,0.00012040,0.00012470,488859.17000000,2020-10-04 08:59:59.999,61.08047322,6403,225962.13000000,28.26623579,0
