,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000235,0.00000286,0.00000230,0.00000253,87256990.00000000,2019-05-24 08:59:59.999,226.32528077,12052,36374939.00000000,94.88126741,0
1,2019-05-24 09:00:00.000,0.00000254,0.00000264,0.00000217,0.00000228,42343410.00000000,2019-05-25 08:59:59.999,100.25665904,4685,17057365.00000000,40.23915548,0
2,2019-05-25 09:00:00.000,0.00000230,0.00000233,0.00000215,0.00000222,12005860.00000000,2019-05-26 08:59:59.999,26.72357164,1421,4981813.00000000,11.10933016,0
3,2019-05-26 09:00:00.000,0.00000221,0.00000278,0.00000217,0.00000221,61241121.00000000,2019-05-27 08:59:59.999,150.33113559,8619,29126531.00000000,72.03695789,0
4,2019-05-27 09:00:00.000,0.00000220,0.00000248,0.00000211,0.00000235,29173461.00000000,2019-05-28 08:59:59.999,66.96954394,4179,14433828.00000000,33.25817865,0
5,2019-05-28 09:00:00.000,0.00000235,0.00000260,0.00000230,0.00000247,51041909.00000000,2019-05-29 08:59:59.999,124.56853629,7621,22191040.00000000,54.28671922,0
6,2019-05-29 09:00:00.000,0.00000248,0.00000254,0.00000233,0.00000239,26562977.00000000,2019-05-30 08:59:59.999,64.26529539,3685,9343392.00000000,22.62954104,0
7,2019-05-30 09:00:00.000,0.00000237,0.00000248,0.00000225,0.00000227,24283061.00000000,2019-05-31 08:59:59.999,57.33021839,3548,9135450.00000000,21.70007651,0
8,2019-05-31 09:00:00.000,0.00000228,0.00000238,0.00000217,0.00000230,24414390.00000000,2019-06-01 08:59:59.999,55.54195508,3364,9433415.00000000,21.52712733,0
9,2019-06-01 09:00:00.000,0.00000230,0.00000235,0.00000219,0.00000220,19985261.00000000,2019-06-02 08:59:59.999,45.27451953,2381,7132567.00000000,16.17086686,0
10,2019-06-02 09:00:00.000,0.00000219,0.00000234,0.00000219,0.00000231,15729918.00000000,2019-06-03 08:59:59.999,35.75716601,2384,7653347.00000000,17.44446095,0
11,2019-06-03 09:00:00.000,0.00000232,0.00000233,0.00000224,0.00000226,8156215.00000000,2019-06-04 08:59:59.999,18.58099290,1201,2867779.00000000,6.55721325,0
12,2019-06-04 09:00:00.000,0.00000226,0.00000235,0.00000214,0.00000218,20277350.00000000,2019-06-05 08:59:59.999,45.19505618,2773,7384130.00000000,16.56445361,0
13,2019-06-05 09:00:00.000,0.00000219,0.00000225,0.00000216,0.00000223,9084758.00000000,2019-06-06 08:59:59.999,20.06280155,1132,4287438.00000000,9.49238911,0
14,2019-06-06 09:00:00.000,0.00000223,0.00000225,0.00000216,0.00000223,7258396.00000000,2019-06-07 08:59:59.999,16.05614959,1032,2781101.00000000,6.17454209,0
15,2019-06-07 09:00:00.000,0.00000222,0.00000233,0.00000222,0.00000225,13191945.00000000,2019-06-08 08:59:59.999,30.03465871,1711,6239682.00000000,14.22346258,0
16,2019-06-08 09:00:00.000,0.00000226,0.00000244,0.00000223,0.00000228,36107400.00000000,2019-06-09 08:59:59.999,83.94541597,4706,15202436.00000000,35.44510121,0
17,2019-06-09 09:00:00.000,0.00000229,0.00000232,0.00000217,0.00000219,14839410.00000000,2019-06-10 08:59:59.999,33.12764394,1723,6013173.00000000,13.41913579,0
18,2019-06-10 09:00:00.000,0.00000219,0.00000231,0.00000218,0.00000225,14692876.00000000,2019-06-11 08:59:59.999,33.22342926,1460,5845459.00000000,13.21423542,0
19,2019-06-11 09:00:00.000,0.00000225,0.00000236,0.00000221,0.00000232,21413841.00000000,2019-06-12 08:59:59.999,48.69587887,2889,9387117.00000000,21.43043587,0
20,2019-06-12 09:00:00.000,0.00000234,0.00000234,0.00000226,0.00000226,8609006.00000000,2019-06-13 08:59:59.999,19.73164195,1028,3776910.00000000,8.65803853,0
21,2019-06-13 09:00:00.000,0.00000227,0.00000239,0.00000222,0.00000224,19618604.00000000,2019-06-14 08:59:59.999,45.47464782,2955,7544810.00000000,17.55342015,0
22,2019-06-14 09:00:00.000,0.00000224,0.00000347,0.00000204,0.00000207,283078329.00000000,2019-06-15 08:59:59.999,748.40941949,21006,133662791.00000000,355.62764402,0
23,2019-06-15 09:00:00.000,0.00000207,0.00000225,0.00000204,0.00000210,51511552.00000000,2019-06-16 08:59:59.999,109.73129553,4373,21240342.00000000,45.40944903,0
24,2019-06-16 09:00:00.000,0.00000210,0.00000211,0.00000191,0.00000200,37778473.00000000,2019-06-17 08:59:59.999,75.64384312,3462,13262278.00000000,26.65079630,0
25,2019-06-17 09:00:00.000,0.00000200,0.00000202,0.00000185,0.00000189,16017444.00000000,2019-06-18 08:59:59.999,31.05036194,1711,6824044.00000000,13.27058425,0
26,2019-06-18 09:00:00.000,0.00000189,0.00000194,0.00000186,0.00000190,13875739.00000000,2019-06-19 08:59:59.999,26.29580988,1259,6795284.00000000,12.91864637,0
27,2019-06-19 09:00:00.000,0.00000190,0.00000219,0.00000186,0.00000193,39057520.00000000,2019-06-20 08:59:59.999,77.94899074,3914,17487003.00000000,34.96861766,0
28,2019-06-20 09:00:00.000,0.00000193,0.00000194,0.00000181,0.00000187,22285988.00000000,2019-06-21 08:59:59.999,41.91076147,1979,7902552.00000000,14.92785350,0
29,2019-06-21 09:00:00.000,0.00000189,0.00000209,0.00000166,0.00000166,35619650.00000000,2019-06-22 08:59:59.999,66.95051314,3161,12162770.00000000,23.10403497,0
30,2019-06-22 09:00:00.000,0.00000168,0.00000170,0.00000141,0.00000154,48438138.00000000,2019-06-23 08:59:59.999,73.59894628,5546,19108725.00000000,29.11654674,0
31,2019-06-23 09:00:00.000,0.00000154,0.00000169,0.00000143,0.00000149,32379735.00000000,2019-06-24 08:59:59.999,50.95265983,3160,13622233.00000000,21.49222209,0
32,2019-06-24 09:00:00.000,0.00000151,0.00000157,0.00000145,0.00000149,19373551.00000000,2019-06-25 08:59:59.999,29.09674726,1764,8845810.00000000,13.28354148,0
33,2019-06-25 09:00:00.000,0.00000149,0.00000151,0.00000136,0.00000141,24670117.00000000,2019-06-26 08:59:59.999,35.42102815,2185,9429467.00000000,13.61001702,0
34,2019-06-26 09:00:00.000,0.00000141,0.00000142,0.00000111,0.00000119,51551063.00000000,2019-06-27 08:59:59.999,64.55258432,4392,20885068.00000000,26.38466944,0
35,2019-06-27 09:00:00.000,0.00000119,0.00000153,0.00000115,0.00000128,35750717.00000000,2019-06-28 08:59:59.999,47.05248793,2760,16178657.00000000,21.09784054,0
36,2019-06-28 09:00:00.000,0.00000128,0.00000140,0.00000118,0.00000120,23440343.00000000,2019-06-29 08:59:59.999,30.09123698,2315,10006525.00000000,12.87526988,0
37,2019-06-29 09:00:00.000,0.00000120,0.00000166,0.00000118,0.00000141,87273576.00000000,2019-06-30 08:59:59.999,127.19807079,6141,44304283.00000000,64.89414259,0
38,2019-06-30 09:00:00.000,0.00000141,0.00000161,0.00000137,0.00000147,54166759.00000000,2019-07-01 08:59:59.999,81.01126909,4786,23475310.00000000,35.22333907,0
39,2019-07-01 09:00:00.000,0.00000147,0.00000161,0.00000146,0.00000159,41606025.00000000,2019-07-02 08:59:59.999,64.35339182,3472,18744983.00000000,29.08379889,0
40,2019-07-02 09:00:00.000,0.00000160,0.00000164,0.00000135,0.00000142,38260841.00000000,2019-07-03 08:59:59.999,57.67831374,3106,14749212.00000000,22.30627255,0
41,2019-07-03 09:00:00.000,0.00000142,0.00000150,0.00000129,0.00000131,25755111.00000000,2019-07-04 08:59:59.999,35.62235723,2280,10841651.00000000,15.04343104,0
42,2019-07-04 09:00:00.000,0.00000131,0.00000135,0.00000122,0.00000133,30452575.00000000,2019-07-05 08:59:59.999,39.30249488,1968,13576445.00000000,17.59418318,0
43,2019-07-05 09:00:00.000,0.00000133,0.00000145,0.00000129,0.00000140,29279342.00000000,2019-07-06 08:59:59.999,40.07915405,2615,13589098.00000000,18.70180553,0
44,2019-07-06 09:00:00.000,0.00000140,0.00000143,0.00000126,0.00000131,27049869.00000000,2019-07-07 08:59:59.999,35.35323796,1759,8273824.00000000,10.88642357,0
45,2019-07-07 09:00:00.000,0.00000132,0.00000137,0.00000129,0.00000130,11029602.00000000,2019-07-08 08:59:59.999,14.57766219,823,4870352.00000000,6.46559526,0
46,2019-07-08 09:00:00.000,0.00000130,0.00000131,0.00000111,0.00000113,30365778.00000000,2019-07-09 08:59:59.999,36.90723520,2032,9237114.00000000,11.34626316,0
47,2019-07-09 09:00:00.000,0.00000113,0.00000118,0.00000106,0.00000111,22126917.00000000,2019-07-10 08:59:59.999,24.63713318,1640,10394648.00000000,11.60947551,0
48,2019-07-10 09:00:00.000,0.00000112,0.00000116,0.00000104,0.00000109,24984121.00000000,2019-07-11 08:59:59.999,27.34541064,2015,11173952.00000000,12.34366401,0
49,2019-07-11 09:00:00.000,0.00000109,0.00000115,0.00000105,0.00000110,14416192.00000000,2019-07-12 08:59:59.999,15.86780279,1066,4416035.00000000,4.87245705,0
50,2019-07-12 09:00:00.000,0.00000110,0.00000123,0.00000108,0.00000112,24189550.00000000,2019-07-13 08:59:59.999,27.77682290,2263,10559822.00000000,12.22824781,0
