,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000188,0.00000282,0.00000187,0.00000209,662470309.00000000,2019-05-24 08:59:59.999,1522.91713421,47798,322446572.00000000,739.89183642,0
1,2019-05-24 09:00:00.000,0.00000209,0.00000219,0.00000183,0.00000184,122610927.00000000,2019-05-25 08:59:59.999,242.51329985,12218,50391812.00000000,100.25855515,0
2,2019-05-25 09:00:00.000,0.00000185,0.00000190,0.00000178,0.00000185,50206127.00000000,2019-05-26 08:59:59.999,92.17742336,6021,22872958.00000000,42.12129423,0
3,2019-05-26 09:00:00.000,0.00000184,0.00000202,0.00000157,0.00000164,96592125.00000000,2019-05-27 08:59:59.999,177.53633746,11623,41296026.00000000,76.34084140,0
4,2019-05-27 09:00:00.000,0.00000163,0.00000176,0.00000155,0.00000171,73676292.00000000,2019-05-28 08:59:59.999,121.54815850,8664,34190455.00000000,56.55541186,0
5,2019-05-28 09:00:00.000,0.00000171,0.00000196,0.00000162,0.00000172,114889508.00000000,2019-05-29 08:59:59.999,204.04091390,11314,49897284.00000000,89.13955815,0
6,2019-05-29 09:00:00.000,0.00000171,0.00000176,0.00000164,0.00000169,57864750.00000000,2019-05-30 08:59:59.999,98.12648499,6276,27809780.00000000,47.28304125,0
7,2019-05-30 09:00:00.000,0.00000169,0.00000177,0.00000159,0.00000163,59285769.00000000,2019-05-31 08:59:59.999,99.76904171,6374,25621820.00000000,43.27681928,0
8,2019-05-31 09:00:00.000,0.00000164,0.00000169,0.00000161,0.00000165,29877173.00000000,2019-06-01 08:59:59.999,49.18059223,4375,12108777.00000000,20.00361224,0
9,2019-06-01 09:00:00.000,0.00000165,0.00000169,0.00000153,0.00000159,54187648.00000000,2019-06-02 08:59:59.999,86.29174756,6338,19435345.00000000,31.11927432,0
10,2019-06-02 09:00:00.000,0.00000160,0.00000170,0.00000155,0.00000167,58123984.00000000,2019-06-03 08:59:59.999,94.41213156,6104,27350056.00000000,44.61798448,0
11,2019-06-03 09:00:00.000,0.00000167,0.00000168,0.00000157,0.00000165,53059579.00000000,2019-06-04 08:59:59.999,86.17048932,5657,21124581.00000000,34.40671597,0
12,2019-06-04 09:00:00.000,0.00000164,0.00000167,0.00000159,0.00000162,27940169.00000000,2019-06-05 08:59:59.999,45.55762766,4402,11481275.00000000,18.79333090,0
13,2019-06-05 09:00:00.000,0.00000162,0.00000169,0.00000161,0.00000166,32736666.00000000,2019-06-06 08:59:59.999,54.13241971,5056,17158221.00000000,28.43526345,0
14,2019-06-06 09:00:00.000,0.00000167,0.00000173,0.00000164,0.00000168,53811316.00000000,2019-06-07 08:59:59.999,90.55518485,6030,22246993.00000000,37.56570459,0
15,2019-06-07 09:00:00.000,0.00000169,0.00000182,0.00000167,0.00000173,71492053.00000000,2019-06-08 08:59:59.999,124.16204821,6907,32802504.00000000,57.16458817,0
16,2019-06-08 09:00:00.000,0.00000172,0.00000180,0.00000170,0.00000175,48803429.00000000,2019-06-09 08:59:59.999,85.30735784,5807,22971881.00000000,40.23384318,0
17,2019-06-09 09:00:00.000,0.00000176,0.00000177,0.00000156,0.00000162,48084437.00000000,2019-06-10 08:59:59.999,80.80693984,5625,19798788.00000000,33.39202265,0
18,2019-06-10 09:00:00.000,0.00000163,0.00000176,0.00000160,0.00000173,72466052.00000000,2019-06-11 08:59:59.999,122.14009752,7481,35557802.00000000,60.10962628,0
19,2019-06-11 09:00:00.000,0.00000172,0.00000183,0.00000170,0.00000178,44530401.00000000,2019-06-12 08:59:59.999,78.02706536,6004,21862187.00000000,38.50721198,0
20,2019-06-12 09:00:00.000,0.00000177,0.00000184,0.00000167,0.00000171,51548074.00000000,2019-06-13 08:59:59.999,90.08243444,6090,21932873.00000000,38.46424484,0
21,2019-06-13 09:00:00.000,0.00000172,0.00000172,0.00000156,0.00000159,44866706.00000000,2019-06-14 08:59:59.999,73.70130747,5600,17048311.00000000,28.20886127,0
22,2019-06-14 09:00:00.000,0.00000160,0.00000183,0.00000148,0.00000172,161971937.00000000,2019-06-15 08:59:59.999,268.28417579,15263,77236955.00000000,128.86488551,0
23,2019-06-15 09:00:00.000,0.00000172,0.00000190,0.00000159,0.00000180,233841777.00000000,2019-06-16 08:59:59.999,408.15494182,21848,112029357.00000000,196.75159955,0
24,2019-06-16 09:00:00.000,0.00000179,0.00000213,0.00000175,0.00000177,406116124.00000000,2019-06-17 08:59:59.999,780.15938959,34833,182301611.00000000,352.08796371,0
