,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-18 09:00:00.000,0.00017280,0.00047800,0.00012000,0.00025950,3035877.00000000,2020-08-19 08:59:59.999,783.58097732,22617,1282040.00000000,332.12786659,0
1,2020-08-19 09:00:00.000,0.00026019,0.00027263,0.00022237,0.00025196,8224367.00000000,2020-08-20 08:59:59.999,2094.80991385,58790,3835574.00000000,977.49633923,0
2,2020-08-20 09:00:00.000,0.00025020,0.00026260,0.00022700,0.00024450,4104589.00000000,2020-08-21 08:59:59.999,992.74889771,40602,2107761.00000000,511.77767238,0
3,2020-08-21 09:00:00.000,0.00024473,0.00026002,0.00022851,0.00024586,3870819.00000000,2020-08-22 08:59:59.999,966.04407041,40934,2204732.00000000,553.01528479,0
4,2020-08-22 09:00:00.000,0.00024586,0.00038988,0.00024350,0.00038325,15318847.00000000,2020-08-23 08:59:59.999,5092.28572815,129562,8036668.00000000,2666.04167866,0
5,2020-08-23 09:00:00.000,0.00038325,0.00038600,0.00031968,0.00034186,8613000.00000000,2020-08-24 08:59:59.999,2979.19374218,76103,3987037.00000000,1378.84587018,0
6,2020-08-24 09:00:00.000,0.00034186,0.00040854,0.00032421,0.00038955,8707131.00000000,2020-08-25 08:59:59.999,3172.30404627,77756,4345689.00000000,1588.29781613,0
7,2020-08-25 09:00:00.000,0.00038957,0.00051030,0.00038218,0.00048965,13315860.00000000,2020-08-26 08:59:59.999,5889.02031882,122404,6663720.00000000,2957.77109492,0
8,2020-08-26 09:00:00.000,0.00048965,0.00057125,0.00045150,0.00053028,13649298.00000000,2020-08-27 08:59:59.999,6993.41764689,132596,6581225.00000000,3382.62127282,0
9,2020-08-27 09:00:00.000,0.00053077,0.00059700,0.00046628,0.00049968,14297278.00000000,2020-08-28 08:59:59.999,7565.79750492,147513,6953697.00000000,3685.52296280,0
10,2020-08-28 09:00:00.000,0.00049932,0.00055119,0.00048252,0.00053627,7556664.00000000,2020-08-29 08:59:59.999,3934.02506757,86636,3829910.00000000,1997.48958708,0
11,2020-08-29 09:00:00.000,0.00053593,0.00057884,0.00052211,0.00053500,5466959.00000000,2020-08-30 08:59:59.999,2991.84596418,68624,2611489.00000000,1430.31319171,0
12,2020-08-30 09:00:00.000,0.00053519,0.00054097,0.00049171,0.00050330,4976902.00000000,2020-08-31 08:59:59.999,2566.51965397,64081,2204358.00000000,1138.50767855,0
13,2020-08-31 09:00:00.000,0.00050310,0.00055238,0.00049301,0.00053886,4870153.00000000,2020-09-01 08:59:59.999,2554.54981628,65608,2292464.00000000,1204.09525700,0
14,2020-09-01 09:00:00.000,0.00053879,0.00058000,0.00051300,0.00052300,6515996.00000000,2020-09-02 08:59:59.999,3553.31409286,82590,3271249.00000000,1784.95383018,0
15,2020-09-02 09:00:00.000,0.00052378,0.00055777,0.00049300,0.00053831,4867489.00000000,2020-09-03 08:59:59.999,2554.18371779,70431,2255313.00000000,1185.17794153,0
16,2020-09-03 09:00:00.000,0.00053937,0.00058900,0.00051305,0.00055880,8286161.00000000,2020-09-04 08:59:59.999,4595.88326604,101868,4089491.00000000,2270.99156868,0
17,2020-09-04 09:00:00.000,0.00056037,0.00058514,0.00045000,0.00048879,9406486.00000000,2020-09-05 08:59:59.999,4789.25118184,119959,4422700.00000000,2256.69675723,0
18,2020-09-05 09:00:00.000,0.00048866,0.00050358,0.00036000,0.00040806,9481211.00000000,2020-09-06 08:59:59.999,4093.22625527,101525,4261806.00000000,1838.67954208,0
19,2020-09-06 09:00:00.000,0.00040795,0.00047880,0.00037300,0.00046658,9206959.00000000,2020-09-07 08:59:59.999,3980.63230137,86826,4727576.00000000,2045.05868882,0
20,2020-09-07 09:00:00.000,0.00046671,0.00047043,0.00040460,0.00044269,4655696.00000000,2020-09-08 08:59:59.999,2024.60113585,50904,2333921.00000000,1016.20788759,0
21,2020-09-08 09:00:00.000,0.00044322,0.00044524,0.00041224,0.00042180,3313383.00000000,2020-09-09 08:59:59.999,1419.85592698,34665,1568050.00000000,671.84491755,0
22,2020-09-09 09:00:00.000,0.00042216,0.00047100,0.00040693,0.00045956,3389483.00000000,2020-09-10 08:59:59.999,1501.17615303,38092,1658046.00000000,735.53338249,0
23,2020-09-10 09:00:00.000,0.00046000,0.00047049,0.00043069,0.00044230,3221344.00000000,2020-09-11 08:59:59.999,1446.91680142,33499,1548726.00000000,695.77805607,0
24,2020-09-11 09:00:00.000,0.00044300,0.00046000,0.00042190,0.00044784,2844839.00000000,2020-09-12 08:59:59.999,1240.58046277,28429,1394456.00000000,608.67771822,0
25,2020-09-12 09:00:00.000,0.00044780,0.00050678,0.00043524,0.00049167,3413996.00000000,2020-09-13 08:59:59.999,1610.34989674,40602,1718251.00000000,810.75953794,0
26,2020-09-13 09:00:00.000,0.00049225,0.00051989,0.00046566,0.00051551,3804607.00000000,2020-09-14 08:59:59.999,1880.16518200,48070,1886048.00000000,932.65461142,0
27,2020-09-14 09:00:00.000,0.00051427,0.00052400,0.00049497,0.00050153,3487316.00000000,2020-09-15 08:59:59.999,1766.43155918,43837,1668941.00000000,845.37201193,0
28,2020-09-15 09:00:00.000,0.00050242,0.00050840,0.00046659,0.00046843,2788034.00000000,2020-09-16 08:59:59.999,1356.86656554,34129,1520403.00000000,739.25626000,0
29,2020-09-16 09:00:00.000,0.00046829,0.00048430,0.00045366,0.00046314,2584769.00000000,2020-09-17 08:59:59.999,1211.66483804,31981,1537017.00000000,721.00050431,0
30,2020-09-17 09:00:00.000,0.00046314,0.00049800,0.00046166,0.00048758,3339796.00000000,2020-09-18 08:59:59.999,1610.41396025,39587,1669277.00000000,804.59472542,0
31,2020-09-18 09:00:00.000,0.00048754,0.00049723,0.00046971,0.00048168,2123437.00000000,2020-09-19 08:59:59.999,1022.82567973,26663,1094897.00000000,527.45681050,0
32,2020-09-19 09:00:00.000,0.00048084,0.00048162,0.00043395,0.00044437,2053638.00000000,2020-09-20 08:59:59.999,939.71671701,27451,1121543.00000000,513.99459065,0
33,2020-09-20 09:00:00.000,0.00044437,0.00045313,0.00040576,0.00042630,3537049.00000000,2020-09-21 08:59:59.999,1515.45339847,45027,1944570.00000000,834.40524054,0
