,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-01-16 09:00:00.000,0.00000042,0.00000064,0.00000042,0.00000047,2845565523.00000000,2020-01-17 08:59:59.999,1457.05818943,22584,1516523606.00000000,784.08023519,0
1,2020-01-17 09:00:00.000,0.00000047,0.00000052,0.00000034,0.00000035,1220284254.00000000,2020-01-18 08:59:59.999,505.23841964,12711,571903896.00000000,238.27644643,0
2,2020-01-18 09:00:00.000,0.00000036,0.00000038,0.00000032,0.00000033,625655086.00000000,2020-01-19 08:59:59.999,218.21528692,6154,328164294.00000000,116.41790601,0
3,2020-01-19 09:00:00.000,0.00000033,0.00000034,0.00000029,0.00000030,308444418.00000000,2020-01-20 08:59:59.999,94.18085465,3038,122938084.00000000,37.76639111,0
4,2020-01-20 09:00:00.000,0.00000029,0.00000031,0.00000028,0.00000028,125556097.00000000,2020-01-21 08:59:59.999,36.43895506,1832,76711675.00000000,22.39608094,0
5,2020-01-21 09:00:00.000,0.00000028,0.00000030,0.00000027,0.00000027,225132724.00000000,2020-01-22 08:59:59.999,63.65266471,1639,93663525.00000000,26.68095723,0
6,2020-01-22 09:00:00.000,0.00000028,0.00000031,0.00000027,0.00000028,346111746.00000000,2020-01-23 08:59:59.999,101.37737441,1835,239688425.00000000,70.66546915,0
7,2020-01-23 09:00:00.000,0.00000029,0.00000029,0.00000025,0.00000027,133335500.00000000,2020-01-24 08:59:59.999,36.40853497,926,41394249.00000000,11.35410202,0
8,2020-01-24 09:00:00.000,0.00000026,0.00000027,0.00000025,0.00000026,73640888.00000000,2020-01-25 08:59:59.999,19.14957362,552,31562431.00000000,8.21941230,0
9,2020-01-25 09:00:00.000,0.00000026,0.00000027,0.00000025,0.00000026,91986362.00000000,2020-01-26 08:59:59.999,23.90032151,712,52843917.00000000,13.76093261,0
10,2020-01-26 09:00:00.000,0.00000026,0.00000027,0.00000025,0.00000025,85458818.00000000,2020-01-27 08:59:59.999,22.25174578,462,39336495.00000000,10.28622246,0
11,2020-01-27 09:00:00.000,0.00000025,0.00000026,0.00000022,0.00000023,145449781.00000000,2020-01-28 08:59:59.999,34.87084924,648,19496020.00000000,4.83490621,0
12,2020-01-28 09:00:00.000,0.00000023,0.00000023,0.00000020,0.00000020,210914870.00000000,2020-01-29 08:59:59.999,46.21986266,2092,105153075.00000000,23.13196763,0
13,2020-01-29 09:00:00.000,0.00000020,0.00000022,0.00000020,0.00000021,56520876.00000000,2020-01-30 08:59:59.999,11.81121754,573,43339283.00000000,9.10192208,0
14,2020-01-30 09:00:00.000,0.00000020,0.00000021,0.00000019,0.00000019,30673925.00000000,2020-01-31 08:59:59.999,6.13731216,261,7247830.00000000,1.46791267,0
15,2020-01-31 09:00:00.000,0.00000019,0.00000023,0.00000019,0.00000022,258308827.00000000,2020-02-01 08:59:59.999,55.08797964,2411,193672820.00000000,41.47054732,0
16,2020-02-01 09:00:00.000,0.00000022,0.00000022,0.00000020,0.00000021,94940621.00000000,2020-02-02 08:59:59.999,19.84319897,491,49799670.00000000,10.48802017,0
17,2020-02-02 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000020,112947895.00000000,2020-02-03 08:59:59.999,23.47934931,457,32697618.00000000,6.86800089,0
