,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-07-22 09:00:00.000,0.00006300,0.00006300,0.00002604,0.00002862,30776241.00000000,2019-07-23 08:59:59.999,1000.12636615,46523,13198621.00000000,429.27459570,0
1,2019-07-23 09:00:00.000,0.00002862,0.00002960,0.00002143,0.00002145,15956387.00000000,2019-07-24 08:59:59.999,402.01437216,27370,6229527.00000000,156.98833127,0
2,2019-07-24 09:00:00.000,0.00002145,0.00002251,0.00001747,0.00001760,11610574.00000000,2019-07-25 08:59:59.999,233.26646970,21296,4748294.00000000,95.87155584,0
3,2019-07-25 09:00:00.000,0.00001761,0.00002030,0.00001720,0.00001957,12835995.00000000,2019-07-26 08:59:59.999,236.57718122,17746,6062671.00000000,112.29247069,0
4,2019-07-26 09:00:00.000,0.00001956,0.00002158,0.00001870,0.00001897,17738817.00000000,2019-07-27 08:59:59.999,357.82749844,26148,7674203.00000000,155.25943296,0
5,2019-07-27 09:00:00.000,0.00001901,0.00001914,0.00001677,0.00001702,7720373.00000000,2019-07-28 08:59:59.999,140.12730501,11335,2868645.00000000,52.28055899,0
6,2019-07-28 09:00:00.000,0.00001702,0.00001775,0.00001633,0.00001647,4700687.00000000,2019-07-29 08:59:59.999,79.92361520,7949,1923839.00000000,32.81735624,0
7,2019-07-29 09:00:00.000,0.00001647,0.00001660,0.00001543,0.00001575,4033532.00000000,2019-07-30 08:59:59.999,64.29765893,6878,1375914.00000000,22.01746524,0
8,2019-07-30 09:00:00.000,0.00001580,0.00001667,0.00001497,0.00001546,6247061.00000000,2019-07-31 08:59:59.999,98.34772251,10111,2533707.00000000,40.11752280,0
9,2019-07-31 09:00:00.000,0.00001546,0.00001579,0.00001352,0.00001388,3912090.00000000,2019-08-01 08:59:59.999,57.29359801,5304,1610820.00000000,23.49277181,0
10,2019-08-01 09:00:00.000,0.00001386,0.00001413,0.00001150,0.00001187,8601502.00000000,2019-08-02 08:59:59.999,107.76402845,12528,3065077.00000000,38.53934902,0
11,2019-08-02 09:00:00.000,0.00001186,0.00001424,0.00001166,0.00001266,14540633.00000000,2019-08-03 08:59:59.999,189.72514587,15042,6369799.00000000,83.45335144,0
12,2019-08-03 09:00:00.000,0.00001266,0.00001304,0.00001071,0.00001090,7762133.00000000,2019-08-04 08:59:59.999,90.31593073,6787,2946054.00000000,34.19930377,0
13,2019-08-04 09:00:00.000,0.00001090,0.00001112,0.00001010,0.00001017,5337551.00000000,2019-08-05 08:59:59.999,56.36980123,3878,2177876.00000000,23.08914416,0
14,2019-08-05 09:00:00.000,0.00001020,0.00001021,0.00000828,0.00000847,8688421.00000000,2019-08-06 08:59:59.999,77.99021652,5939,3576088.00000000,31.92640534,0
15,2019-08-06 09:00:00.000,0.00000852,0.00001100,0.00000815,0.00000915,16480428.00000000,2019-08-07 08:59:59.999,157.51876417,11402,7276611.00000000,69.56988353,0
16,2019-08-07 09:00:00.000,0.00000913,0.00000927,0.00000828,0.00000850,8486603.00000000,2019-08-08 08:59:59.999,73.49644926,5572,3551827.00000000,30.82837816,0
17,2019-08-08 09:00:00.000,0.00000850,0.00001518,0.00000846,0.00001233,140042714.00000000,2019-08-09 08:59:59.999,1807.30470395,128809,65798748.00000000,852.15601774,0
18,2019-08-09 09:00:00.000,0.00001230,0.00001231,0.00000892,0.00000915,40057432.00000000,2019-08-10 08:59:59.999,430.53895502,32232,15830143.00000000,171.57062825,0
19,2019-08-10 09:00:00.000,0.00000910,0.00001062,0.00000873,0.00001021,19641340.00000000,2019-08-11 08:59:59.999,190.16293395,13987,9028330.00000000,87.72477023,0
