,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-02-05 09:00:00.000,0.00018950,0.00019090,0.00018570,0.00019010,44298.60000000,2019-02-06 08:59:59.999,8.36159661,830,23268.15000000,4.39573943,0
1,2019-02-06 09:00:00.000,0.00019000,0.00019460,0.00018520,0.00018980,72208.26000000,2019-02-07 08:59:59.999,13.73578375,1371,34116.86000000,6.49259252,0
2,2019-02-07 09:00:00.000,0.00019070,0.00020240,0.00018900,0.00019590,122471.77000000,2019-02-08 08:59:59.999,23.98622302,2473,65370.68000000,12.80085788,0
3,2019-02-08 09:00:00.000,0.00019640,0.00022110,0.00018590,0.00019000,892887.32000000,2019-02-09 08:59:59.999,184.00862121,7370,518164.53000000,107.11376260,0
4,2019-02-09 09:00:00.000,0.00018970,0.00019250,0.00018680,0.00019120,98399.24000000,2019-02-10 08:59:59.999,18.69658371,1339,45174.52000000,8.60474595,0
5,2019-02-10 09:00:00.000,0.00019210,0.00023670,0.00018710,0.00019480,658869.96000000,2019-02-11 08:59:59.999,136.05401031,10071,331168.47000000,68.69397556,0
6,2019-02-11 09:00:00.000,0.00019460,0.00019810,0.00019030,0.00019470,118620.48000000,2019-02-12 08:59:59.999,23.02820723,2109,56094.64000000,10.90738160,0
7,2019-02-12 09:00:00.000,0.00019470,0.00020300,0.00019390,0.00019830,112389.84000000,2019-02-13 08:59:59.999,22.24410569,2267,55390.37000000,10.97767001,0
8,2019-02-13 09:00:00.000,0.00019830,0.00020300,0.00019660,0.00019980,52741.32000000,2019-02-14 08:59:59.999,10.53226713,1204,26588.54000000,5.31955044,0
9,2019-02-14 09:00:00.000,0.00019930,0.00020150,0.00019500,0.00019530,41388.12000000,2019-02-15 08:59:59.999,8.18972760,912,17169.56000000,3.40510537,0
10,2019-02-15 09:00:00.000,0.00019500,0.00020390,0.00019260,0.00019740,122113.83000000,2019-02-16 08:59:59.999,24.12034098,2026,58042.08000000,11.48731140,0
11,2019-02-16 09:00:00.000,0.00019700,0.00024240,0.00019530,0.00019850,757645.94000000,2019-02-17 08:59:59.999,161.42863467,11533,349605.39000000,75.11591307,0
12,2019-02-17 09:00:00.000,0.00019920,0.00020570,0.00019750,0.00020420,124038.18000000,2019-02-18 08:59:59.999,25.09937938,2153,71855.55000000,14.55409061,0
13,2019-02-18 09:00:00.000,0.00020480,0.00020660,0.00019840,0.00020040,74449.72000000,2019-02-19 08:59:59.999,15.09591177,1481,38040.82000000,7.73719964,0
14,2019-02-19 09:00:00.000,0.00020160,0.00022830,0.00019630,0.00020090,1019948.78000000,2019-02-20 08:59:59.999,220.14859536,9663,474996.43000000,102.59588996,0
15,2019-02-20 09:00:00.000,0.00020050,0.00020610,0.00019260,0.00020100,213844.77000000,2019-02-21 08:59:59.999,42.37216082,3554,104168.21000000,20.69009997,0
16,2019-02-21 09:00:00.000,0.00020180,0.00020500,0.00019570,0.00019880,94392.33000000,2019-02-22 08:59:59.999,18.87861429,1836,36952.83000000,7.41023640,0
17,2019-02-22 09:00:00.000,0.00020000,0.00020460,0.00019620,0.00020310,67601.41000000,2019-02-23 08:59:59.999,13.58625636,1328,31600.14000000,6.37570744,0
18,2019-02-23 09:00:00.000,0.00020310,0.00020500,0.00019370,0.00019720,105443.34000000,2019-02-24 08:59:59.999,21.15264818,1876,44268.14000000,8.94215802,0
19,2019-02-24 09:00:00.000,0.00019650,0.00020230,0.00019530,0.00019830,146408.42000000,2019-02-25 08:59:59.999,28.99661541,2039,56667.90000000,11.25098947,0
