,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-03 09:00:00.000,0.00168000,0.00350000,0.00150000,0.00175900,942313.86300000,2020-09-04 08:59:59.999,1864.94459489,80179,422792.54400000,844.50801709,0
1,2020-09-04 09:00:00.000,0.00175800,0.00196000,0.00161200,0.00168500,315817.48700000,2020-09-05 08:59:59.999,553.29690240,43016,143710.51300000,252.25391637,0
2,2020-09-05 09:00:00.000,0.00168200,0.00183700,0.00105200,0.00121500,402818.19000000,2020-09-06 08:59:59.999,545.18040358,44969,160040.33300000,215.60185457,0
3,2020-09-06 09:00:00.000,0.00121500,0.00140900,0.00116300,0.00130500,236061.65700000,2020-09-07 08:59:59.999,302.55927609,32716,100583.99800000,128.99187255,0
4,2020-09-07 09:00:00.000,0.00130500,0.00132800,0.00116400,0.00127700,267950.29900000,2020-09-08 08:59:59.999,338.92955802,36333,110207.07800000,139.51688831,0
5,2020-09-08 09:00:00.000,0.00127400,0.00151400,0.00127200,0.00138300,363311.29000000,2020-09-09 08:59:59.999,510.07290835,41735,167846.74700000,235.83576700,0
6,2020-09-09 09:00:00.000,0.00138300,0.00150000,0.00136600,0.00147800,182021.34100000,2020-09-10 08:59:59.999,259.65258311,27133,88590.52100000,126.48742888,0
7,2020-09-10 09:00:00.000,0.00147800,0.00156600,0.00133700,0.00134900,211928.17400000,2020-09-11 08:59:59.999,304.47914644,21033,88042.13400000,126.68216568,0
8,2020-09-11 09:00:00.000,0.00134900,0.00139800,0.00132100,0.00137600,108032.46500000,2020-09-12 08:59:59.999,147.24505574,12314,52708.81800000,71.90251495,0
9,2020-09-12 09:00:00.000,0.00137600,0.00140000,0.00131000,0.00133200,100083.22400000,2020-09-13 08:59:59.999,134.55284905,9844,40977.54000000,55.17569995,0
10,2020-09-13 09:00:00.000,0.00133300,0.00134500,0.00125900,0.00129100,128151.23100000,2020-09-14 08:59:59.999,165.65631834,13401,63893.18400000,82.71773784,0
11,2020-09-14 09:00:00.000,0.00129000,0.00135000,0.00122600,0.00131100,224554.57400000,2020-09-15 08:59:59.999,290.96451706,20617,106810.41000000,138.48118331,0
12,2020-09-15 09:00:00.000,0.00130900,0.00139900,0.00119100,0.00121000,249557.97200000,2020-09-16 08:59:59.999,326.17292935,23662,126254.36000000,165.55700810,0
13,2020-09-16 09:00:00.000,0.00120900,0.00121200,0.00109400,0.00115400,142702.92800000,2020-09-17 08:59:59.999,163.89474098,15356,60711.67500000,69.71874282,0
14,2020-09-17 09:00:00.000,0.00115200,0.00116800,0.00108000,0.00110000,104171.50400000,2020-09-18 08:59:59.999,116.06712098,11674,48293.40800000,53.96583640,0
15,2020-09-18 09:00:00.000,0.00110000,0.00112200,0.00100000,0.00102800,142091.84400000,2020-09-19 08:59:59.999,151.16962377,12351,63294.25000000,67.25680668,0
16,2020-09-19 09:00:00.000,0.00102600,0.00110400,0.00102200,0.00108000,93755.61100000,2020-09-20 08:59:59.999,99.09380970,10740,44955.10500000,47.46656250,0
17,2020-09-20 09:00:00.000,0.00107900,0.00110400,0.00093300,0.00098200,118553.65100000,2020-09-21 08:59:59.999,118.39027119,8967,48064.37200000,48.15098043,0
18,2020-09-21 09:00:00.000,0.00098100,0.00099900,0.00080800,0.00084600,198438.92500000,2020-09-22 08:59:59.999,174.12069488,13378,88920.09200000,77.27028531,0
19,2020-09-22 09:00:00.000,0.00084700,0.00086600,0.00080900,0.00082600,106864.93200000,2020-09-23 08:59:59.999,89.01208237,8314,46036.78400000,38.36189450,0
20,2020-09-23 09:00:00.000,0.00082700,0.00091000,0.00079200,0.00086100,230773.57800000,2020-09-24 08:59:59.999,195.12370281,13436,99728.04800000,83.89667698,0
21,2020-09-24 09:00:00.000,0.00086000,0.00089300,0.00084000,0.00086100,121206.72700000,2020-09-25 08:59:59.999,104.86118318,7746,51091.05100000,44.32403078,0
22,2020-09-25 09:00:00.000,0.00086000,0.00094600,0.00085600,0.00093600,234894.38400000,2020-09-26 08:59:59.999,211.95103524,10906,109645.67700000,98.91163556,0
23,2020-09-26 09:00:00.000,0.00093600,0.00099800,0.00092700,0.00096900,135185.38900000,2020-09-27 08:59:59.999,129.38669552,8868,72010.75900000,69.04257620,0
24,2020-09-27 09:00:00.000,0.00097000,0.00097400,0.00090200,0.00092900,69693.25000000,2020-09-28 08:59:59.999,65.10717627,5667,31195.09300000,29.15932088,0
25,2020-09-28 09:00:00.000,0.00093000,0.00098300,0.00092600,0.00093500,103495.77100000,2020-09-29 08:59:59.999,98.07132372,8579,53237.82200000,50.60381330,0
26,2020-09-29 09:00:00.000,0.00093600,0.00095900,0.00093100,0.00094700,75471.23800000,2020-09-30 08:59:59.999,71.32612643,5719,31894.11100000,30.16096586,0
27,2020-09-30 09:00:00.000,0.00094600,0.00098700,0.00093700,0.00096200,165375.50600000,2020-10-01 08:59:59.999,159.22420567,7698,75153.14900000,72.35930509,0
28,2020-10-01 09:00:00.000,0.00096000,0.00101200,0.00095000,0.00096800,156009.68700000,2020-10-02 08:59:59.999,152.24225258,8345,73016.75000000,71.20616147,0
29,2020-10-02 09:00:00.000,0.00096600,0.00097200,0.00086300,0.00089200,106175.60200000,2020-10-03 08:59:59.999,95.60934788,7203,52951.56200000,47.54211704,0
30,2020-10-03 09:00:00.000,0.00089100,0.00089900,0.00088100,0.00089400,17262.56100000,2020-10-04 08:59:59.999,15.39299197,1035,7580.38100000,6.77142680,0
