,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00002792,0.00002927,0.00002721,0.00002835,4733289.00000000,2019-05-24 08:59:59.999,133.10023338,11693,2297166.00000000,64.60967902,0
1,2019-05-24 09:00:00.000,0.00002838,0.00004180,0.00002828,0.00003182,66215168.00000000,2019-05-25 08:59:59.999,2282.78362452,82926,33605457.00000000,1156.42054776,0
2,2019-05-25 09:00:00.000,0.00003181,0.00003285,0.00003023,0.00003139,17528837.00000000,2019-05-26 08:59:59.999,549.61548971,34365,9671263.00000000,303.35566942,0
3,2019-05-26 09:00:00.000,0.00003140,0.00003279,0.00002723,0.00002763,13552713.00000000,2019-05-27 08:59:59.999,407.08612005,25423,6440609.00000000,194.04720312,0
4,2019-05-27 09:00:00.000,0.00002762,0.00002959,0.00002705,0.00002810,7833837.00000000,2019-05-28 08:59:59.999,219.27807613,18521,4212238.00000000,118.05055429,0
5,2019-05-28 09:00:00.000,0.00002807,0.00003073,0.00002763,0.00002857,12284108.00000000,2019-05-29 08:59:59.999,356.63927977,20937,7761455.00000000,225.46983496,0
6,2019-05-29 09:00:00.000,0.00002858,0.00002858,0.00002699,0.00002748,8033428.00000000,2019-05-30 08:59:59.999,222.36794713,15680,4733697.00000000,131.20352647,0
7,2019-05-30 09:00:00.000,0.00002743,0.00002807,0.00002497,0.00002539,9720701.00000000,2019-05-31 08:59:59.999,260.53130468,20283,4363317.00000000,117.29567857,0
8,2019-05-31 09:00:00.000,0.00002544,0.00002747,0.00002535,0.00002616,8080859.00000000,2019-06-01 08:59:59.999,211.48761104,17956,4184108.00000000,109.61035922,0
9,2019-06-01 09:00:00.000,0.00002618,0.00002687,0.00002465,0.00002492,6087196.00000000,2019-06-02 08:59:59.999,155.02958535,13320,2971316.00000000,75.70952715,0
10,2019-06-02 09:00:00.000,0.00002490,0.00002593,0.00002437,0.00002489,4871956.00000000,2019-06-03 08:59:59.999,122.01642133,11026,2306250.00000000,57.74731095,0
