,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-17 09:00:00.000,0.00006089,0.00006400,0.00005934,0.00006088,929453.00000000,2019-05-18 08:59:59.999,56.45364560,3325,451594.00000000,27.52225307,0
1,2019-05-18 09:00:00.000,0.00006096,0.00006688,0.00005971,0.00006420,1245822.00000000,2019-05-19 08:59:59.999,79.10662361,4602,663039.00000000,42.07594873,0
2,2019-05-19 09:00:00.000,0.00006409,0.00006980,0.00005706,0.00005760,1212079.00000000,2019-05-20 08:59:59.999,75.95860013,5180,571410.00000000,36.08925824,0
3,2019-05-20 09:00:00.000,0.00005757,0.00005917,0.00005533,0.00005582,863240.00000000,2019-05-21 08:59:59.999,49.50264405,3312,419693.00000000,24.11783403,0
4,2019-05-21 09:00:00.000,0.00005582,0.00006100,0.00005582,0.00005865,777929.00000000,2019-05-22 08:59:59.999,45.41673417,3220,348489.00000000,20.32234120,0
5,2019-05-22 09:00:00.000,0.00005831,0.00006654,0.00005831,0.00006654,1678614.00000000,2019-05-23 08:59:59.999,104.68939575,7421,827570.00000000,51.58396629,0
6,2019-05-23 09:00:00.000,0.00006654,0.00007100,0.00006200,0.00006293,1693914.00000000,2019-05-24 08:59:59.999,109.41144744,6362,775587.00000000,50.32064143,0
7,2019-05-24 09:00:00.000,0.00006291,0.00006469,0.00006015,0.00006230,742934.00000000,2019-05-25 08:59:59.999,46.50525136,3080,363020.00000000,22.72241234,0
8,2019-05-25 09:00:00.000,0.00006231,0.00006331,0.00005804,0.00005983,599136.00000000,2019-05-26 08:59:59.999,35.75844843,2447,227200.00000000,13.55743614,0
9,2019-05-26 09:00:00.000,0.00005968,0.00006128,0.00005351,0.00005408,925730.00000000,2019-05-27 08:59:59.999,53.62591268,3368,405926.00000000,23.53982392,0
10,2019-05-27 09:00:00.000,0.00005398,0.00005658,0.00005323,0.00005510,542373.00000000,2019-05-28 08:59:59.999,29.54881099,2235,262923.00000000,14.33874827,0
11,2019-05-28 09:00:00.000,0.00005493,0.00005782,0.00005432,0.00005673,451271.00000000,2019-05-29 08:59:59.999,25.35675307,2318,215063.00000000,12.09383545,0
12,2019-05-29 09:00:00.000,0.00005685,0.00005685,0.00005407,0.00005553,455198.00000000,2019-05-30 08:59:59.999,25.23529361,1855,223716.00000000,12.42410501,0
13,2019-05-30 09:00:00.000,0.00005546,0.00005950,0.00005298,0.00005412,1450630.00000000,2019-05-31 08:59:59.999,81.53803661,5525,630599.00000000,35.52694062,0
14,2019-05-31 09:00:00.000,0.00005412,0.00005610,0.00005300,0.00005503,602629.00000000,2019-06-01 08:59:59.999,32.70160946,1880,285504.00000000,15.53951044,0
15,2019-06-01 09:00:00.000,0.00005488,0.00005667,0.00005300,0.00005395,525990.00000000,2019-06-02 08:59:59.999,28.71498535,2092,248772.00000000,13.60675055,0
