,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00002019,0.00002196,0.00001999,0.00002130,38542169.00000000,2019-05-24 08:59:59.999,802.45644890,23218,18495517.00000000,385.45053792,0
1,2019-05-24 09:00:00.000,0.00002130,0.00002254,0.00001959,0.00002018,38166728.00000000,2019-05-25 08:59:59.999,806.06409800,27439,17559010.00000000,370.46228268,0
2,2019-05-25 09:00:00.000,0.00002018,0.00002158,0.00001997,0.00002081,23048676.00000000,2019-05-26 08:59:59.999,478.08186384,19436,12167371.00000000,252.08937119,0
3,2019-05-26 09:00:00.000,0.00002081,0.00002180,0.00001822,0.00001846,27999809.00000000,2019-05-27 08:59:59.999,561.13031320,24398,12813560.00000000,257.12286498,0
4,2019-05-27 09:00:00.000,0.00001846,0.00001924,0.00001803,0.00001858,15160272.00000000,2019-05-28 08:59:59.999,283.36137792,12843,7234176.00000000,135.27877770,0
5,2019-05-28 09:00:00.000,0.00001858,0.00001960,0.00001836,0.00001916,19970962.00000000,2019-05-29 08:59:59.999,377.60873472,13371,8834950.00000000,166.96534929,0
6,2019-05-29 09:00:00.000,0.00001916,0.00002044,0.00001870,0.00001931,20255286.00000000,2019-05-30 08:59:59.999,396.14145625,16701,9587059.00000000,188.00613695,0
7,2019-05-30 09:00:00.000,0.00001931,0.00001980,0.00001781,0.00001833,24546839.00000000,2019-05-31 08:59:59.999,463.61724227,16934,10418773.00000000,196.90870593,0
8,2019-05-31 09:00:00.000,0.00001830,0.00001842,0.00001793,0.00001828,9659604.00000000,2019-06-01 08:59:59.999,175.23549253,6802,3865959.00000000,70.19655033,0
9,2019-06-01 09:00:00.000,0.00001828,0.00001842,0.00001751,0.00001766,9289116.00000000,2019-06-02 08:59:59.999,166.54668630,6583,3451396.00000000,61.89140037,0
10,2019-06-02 09:00:00.000,0.00001767,0.00002047,0.00001763,0.00001933,42031454.00000000,2019-06-03 08:59:59.999,806.14910297,27692,19422280.00000000,372.96440732,0
11,2019-06-03 09:00:00.000,0.00001933,0.00001948,0.00001840,0.00001857,27303482.00000000,2019-06-04 08:59:59.999,516.20949347,19714,11050670.00000000,209.10005790,0
12,2019-06-04 09:00:00.000,0.00001857,0.00001906,0.00001795,0.00001856,22953327.00000000,2019-06-05 08:59:59.999,423.38652440,15842,10301528.00000000,190.15433362,0
13,2019-06-05 09:00:00.000,0.00001851,0.00001920,0.00001823,0.00001869,17633577.00000000,2019-06-06 08:59:59.999,329.32492152,14003,8078542.00000000,151.07578268,0
14,2019-06-06 09:00:00.000,0.00001869,0.00001947,0.00001853,0.00001916,15593439.00000000,2019-06-07 08:59:59.999,295.94876152,11961,7147015.00000000,135.77549167,0
15,2019-06-07 09:00:00.000,0.00001919,0.00002019,0.00001891,0.00001907,23635575.00000000,2019-06-08 08:59:59.999,460.53131362,16775,11197790.00000000,218.65544753,0
