,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00077700,0.00077900,0.00075400,0.00076630,2563163.94000000,2019-05-24 08:59:59.999,1962.91239844,51451,1521007.76000000,1165.19390970,0
1,2019-05-24 09:00:00.000,0.00076630,0.00081570,0.00076500,0.00080440,3515387.47000000,2019-05-25 08:59:59.999,2788.66428998,75677,1909361.69000000,1513.96581665,0
2,2019-05-25 09:00:00.000,0.00080430,0.00081660,0.00078470,0.00079220,2252689.36000000,2019-05-26 08:59:59.999,1800.02885294,50339,1146553.36000000,915.98309864,0
3,2019-05-26 09:00:00.000,0.00079240,0.00081270,0.00076950,0.00079570,3446411.50000000,2019-05-27 08:59:59.999,2730.82165827,60418,1662793.46000000,1317.60028064,0
4,2019-05-27 09:00:00.000,0.00079580,0.00093280,0.00078420,0.00091360,9804968.15000000,2019-05-28 08:59:59.999,8390.16586321,194600,4908290.80000000,4207.43926299,0
5,2019-05-28 09:00:00.000,0.00091350,0.00094060,0.00088590,0.00092640,7826115.96000000,2019-05-29 08:59:59.999,7149.05238813,169090,3967086.77000000,3625.34021137,0
6,2019-05-29 09:00:00.000,0.00092650,0.00094360,0.00088760,0.00092180,4694316.90000000,2019-05-30 08:59:59.999,4324.54381225,122820,2439228.64000000,2247.40461399,0
7,2019-05-30 09:00:00.000,0.00092150,0.00094270,0.00083890,0.00088250,9574115.08000000,2019-05-31 08:59:59.999,8712.35004773,199563,4803372.60000000,4377.06812817,0
8,2019-05-31 09:00:00.000,0.00088290,0.00101730,0.00088120,0.00100090,9231346.71000000,2019-06-01 08:59:59.999,8667.91510101,191070,5037337.69000000,4727.98085913,0
9,2019-06-01 09:00:00.000,0.00100080,0.00101040,0.00087640,0.00090240,11534237.57000000,2019-06-02 08:59:59.999,11008.11575392,239075,5658993.52000000,5407.86527717,0
10,2019-06-02 09:00:00.000,0.00090240,0.00092160,0.00086410,0.00088480,7124248.75000000,2019-06-03 08:59:59.999,6372.09913521,149003,3702902.10000000,3311.72137914,0
11,2019-06-03 09:00:00.000,0.00088470,0.00088950,0.00080540,0.00082460,7033023.23000000,2019-06-04 08:59:59.999,5992.29903166,140319,3512118.46000000,2992.72000696,0
