,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00090500,0.00091300,0.00088100,0.00089900,176827.24000000,2019-05-24 08:59:59.999,158.28533571,8468,84659.41000000,75.79717459,0
1,2019-05-24 09:00:00.000,0.00089800,0.00092200,0.00088200,0.00091500,265699.65000000,2019-05-25 08:59:59.999,240.40387986,11239,122566.63000000,110.94375277,0
2,2019-05-25 09:00:00.000,0.00091500,0.00091700,0.00089700,0.00090600,125347.70000000,2019-05-26 08:59:59.999,113.66887024,5407,56873.83000000,51.62770981,0
3,2019-05-26 09:00:00.000,0.00090700,0.00090800,0.00085700,0.00088300,235069.20000000,2019-05-27 08:59:59.999,209.18260260,9651,105074.04000000,93.45170614,0
4,2019-05-27 09:00:00.000,0.00088200,0.00094600,0.00087400,0.00092800,348455.37000000,2019-05-28 08:59:59.999,313.53312693,15119,157030.29000000,141.49430319,0
5,2019-05-28 09:00:00.000,0.00092900,0.00096900,0.00091800,0.00094400,666036.86000000,2019-05-29 08:59:59.999,632.14823402,23941,253399.57000000,240.61585445,0
6,2019-05-29 09:00:00.000,0.00094500,0.00096800,0.00090300,0.00094600,265834.93000000,2019-05-30 08:59:59.999,249.81606593,13320,116739.52000000,109.69828111,0
7,2019-05-30 09:00:00.000,0.00094800,0.00102400,0.00094000,0.00097700,575062.47000000,2019-05-31 08:59:59.999,564.52074080,24599,279723.74000000,274.89503516,0
8,2019-05-31 09:00:00.000,0.00097700,0.00101900,0.00096200,0.00101200,322398.31000000,2019-06-01 08:59:59.999,319.45909509,14947,155718.39000000,154.43160295,0
9,2019-06-01 09:00:00.000,0.00101300,0.00103800,0.00099100,0.00100400,373402.75000000,2019-06-02 08:59:59.999,379.11133908,15731,188518.69000000,191.53515924,0
10,2019-06-02 09:00:00.000,0.00100400,0.00111200,0.00100200,0.00109200,521710.05000000,2019-06-03 08:59:59.999,558.63153489,21807,285511.92000000,305.92456850,0
11,2019-06-03 09:00:00.000,0.00109200,0.00116700,0.00107400,0.00115300,626880.28000000,2019-06-04 08:59:59.999,700.63823421,31349,327372.73000000,366.21800693,0
12,2019-06-04 09:00:00.000,0.00115100,0.00115300,0.00100100,0.00107400,993698.07000000,2019-06-05 08:59:59.999,1067.99991491,41986,462604.90000000,498.22224171,0
13,2019-06-05 09:00:00.000,0.00107400,0.00108300,0.00101600,0.00104200,479933.40000000,2019-06-06 08:59:59.999,498.78201922,18821,212498.69000000,221.31391573,0
14,2019-06-06 09:00:00.000,0.00104200,0.00104400,0.00096900,0.00102000,366045.01000000,2019-06-07 08:59:59.999,368.00685559,14239,172087.33000000,173.15006639,0
15,2019-06-07 09:00:00.000,0.00101900,0.00103700,0.00098900,0.00102900,239346.92000000,2019-06-08 08:59:59.999,242.46287111,10691,125623.14000000,127.34094638,0
16,2019-06-08 09:00:00.000,0.00102800,0.00110800,0.00102000,0.00106500,372843.43000000,2019-06-09 08:59:59.999,396.97970056,16542,187415.44000000,199.73892000,0
17,2019-06-09 09:00:00.000,0.00106400,0.00107700,0.00103500,0.00106400,231567.49000000,2019-06-10 08:59:59.999,244.04132870,10179,96112.84000000,101.42891500,0
18,2019-06-10 09:00:00.000,0.00106400,0.00107000,0.00102900,0.00104000,240390.16000000,2019-06-11 08:59:59.999,251.32562195,10331,105746.19000000,110.76940991,0
19,2019-06-11 09:00:00.000,0.00104000,0.00105500,0.00102800,0.00104500,162225.74000000,2019-06-12 08:59:59.999,168.50937143,7259,74882.92000000,77.77046271,0
20,2019-06-12 09:00:00.000,0.00104500,0.00108300,0.00101600,0.00106000,295303.35000000,2019-06-13 08:59:59.999,309.00715300,12202,143382.07000000,150.22974051,0
21,2019-06-13 09:00:00.000,0.00106000,0.00106600,0.00103400,0.00103900,193006.06000000,2019-06-14 08:59:59.999,202.71745913,8485,89613.53000000,94.22954459,0
22,2019-06-14 09:00:00.000,0.00103900,0.00104200,0.00097000,0.00098700,260212.42000000,2019-06-15 08:59:59.999,261.86989003,10637,123269.67000000,124.12850479,0
23,2019-06-15 09:00:00.000,0.00098700,0.00100000,0.00096800,0.00097400,117173.39000000,2019-06-16 08:59:59.999,114.95730974,5241,55047.58000000,54.06500463,0
24,2019-06-16 09:00:00.000,0.00097500,0.00098100,0.00093500,0.00096900,240780.42000000,2019-06-17 08:59:59.999,230.67073595,10253,118733.21000000,113.72028324,0
25,2019-06-17 09:00:00.000,0.00097000,0.00097100,0.00093400,0.00094200,155902.44000000,2019-06-18 08:59:59.999,147.84493972,7398,73087.66000000,69.39945691,0
26,2019-06-18 09:00:00.000,0.00094200,0.00094900,0.00091500,0.00092900,162809.00000000,2019-06-19 08:59:59.999,151.95485678,6495,66584.04000000,62.24569697,0
27,2019-06-19 09:00:00.000,0.00092900,0.00094600,0.00091800,0.00092100,152497.15000000,2019-06-20 08:59:59.999,142.11673741,6092,64139.64000000,59.84567233,0
28,2019-06-20 09:00:00.000,0.00092000,0.00092200,0.00087500,0.00089200,125486.05000000,2019-06-21 08:59:59.999,113.10094566,6989,58695.46000000,52.82391139,0
29,2019-06-21 09:00:00.000,0.00089200,0.00090000,0.00085500,0.00085600,292626.94000000,2019-06-22 08:59:59.999,257.89053975,11888,125682.27000000,111.01813106,0
30,2019-06-22 09:00:00.000,0.00085700,0.00087900,0.00080900,0.00085500,554216.80000000,2019-06-23 08:59:59.999,465.47388332,22263,245683.05000000,206.90287371,0
31,2019-06-23 09:00:00.000,0.00085500,0.00089800,0.00083700,0.00085300,473386.98000000,2019-06-24 08:59:59.999,409.20264632,17091,247527.67000000,213.99962035,0
32,2019-06-24 09:00:00.000,0.00085300,0.00086000,0.00083200,0.00084300,201285.18000000,2019-06-25 08:59:59.999,170.01581933,9162,84644.87000000,71.59107609,0
