,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.03195200,0.03213700,0.03072000,0.03116300,271228.72400000,2019-05-24 08:59:59.999,8480.91535185,192438,139277.92900000,4356.21902957,0
1,2019-05-24 09:00:00.000,0.03116300,0.03168300,0.03101600,0.03124600,214077.74700000,2019-05-25 08:59:59.999,6706.28975948,154384,104771.62500000,3282.43986805,0
2,2019-05-25 09:00:00.000,0.03123700,0.03189900,0.03105000,0.03119000,147505.59200000,2019-05-26 08:59:59.999,4629.67487516,104256,76825.09100000,2411.19596984,0
3,2019-05-26 09:00:00.000,0.03118400,0.03137400,0.03013800,0.03068800,196522.49400000,2019-05-27 08:59:59.999,6084.82465976,143325,101227.75600000,3135.71845988,0
4,2019-05-27 09:00:00.000,0.03068800,0.03141900,0.03037400,0.03091800,240658.25200000,2019-05-28 08:59:59.999,7384.66902774,184171,122391.98100000,3755.52798250,0
5,2019-05-28 09:00:00.000,0.03092800,0.03152600,0.03066900,0.03110600,204794.58700000,2019-05-29 08:59:59.999,6356.49402262,157169,105058.87500000,3260.73656651,0
6,2019-05-29 09:00:00.000,0.03110300,0.03139000,0.03077100,0.03109800,198511.76200000,2019-05-30 08:59:59.999,6181.54480671,150755,100187.71000000,3119.95001900,0
7,2019-05-30 09:00:00.000,0.03110700,0.03315300,0.02974200,0.03077600,476963.89700000,2019-05-31 08:59:59.999,15122.56154360,315050,227549.95700000,7225.99910281,0
8,2019-05-31 09:00:00.000,0.03078700,0.03135000,0.03021700,0.03131400,256406.33800000,2019-06-01 08:59:59.999,7897.83425458,186510,135605.02900000,4177.55551112,0
9,2019-06-01 09:00:00.000,0.03131400,0.03213900,0.03084000,0.03095000,206081.66300000,2019-06-02 08:59:59.999,6464.07202423,155658,103054.44800000,3236.01948447,0
10,2019-06-02 09:00:00.000,0.03095000,0.03131500,0.03068600,0.03081700,129550.31800000,2019-06-03 08:59:59.999,4015.45564235,118479,64358.49300000,1995.25830675,0
