,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00009586,0.00011585,0.00009288,0.00009760,10027193.00000000,2019-05-24 08:59:59.999,1032.72640837,39370,4649182.00000000,480.05979718,0
1,2019-05-24 09:00:00.000,0.00009760,0.00010500,0.00008962,0.00009142,3416158.00000000,2019-05-25 08:59:59.999,330.12277230,14078,1456347.00000000,141.08922807,0
2,2019-05-25 09:00:00.000,0.00009140,0.00009458,0.00008809,0.00009310,1205073.00000000,2019-05-26 08:59:59.999,109.54616490,5211,554323.00000000,50.50014263,0
3,2019-05-26 09:00:00.000,0.00009309,0.00009381,0.00008135,0.00008388,1855312.00000000,2019-05-27 08:59:59.999,166.01065814,7001,751854.00000000,67.21444108,0
4,2019-05-27 09:00:00.000,0.00008392,0.00008599,0.00008006,0.00008260,1233469.00000000,2019-05-28 08:59:59.999,101.56463822,5203,558027.00000000,45.92431500,0
5,2019-05-28 09:00:00.000,0.00008262,0.00009199,0.00008262,0.00008575,2415153.00000000,2019-05-29 08:59:59.999,209.37253164,9997,1117444.00000000,97.00671313,0
6,2019-05-29 09:00:00.000,0.00008587,0.00009165,0.00008425,0.00008665,1534233.00000000,2019-05-30 08:59:59.999,134.64705577,6269,660203.00000000,58.05822650,0
7,2019-05-30 09:00:00.000,0.00008685,0.00009400,0.00008289,0.00008552,3061874.00000000,2019-05-31 08:59:59.999,269.96941413,11289,1438684.00000000,127.28304940,0
8,2019-05-31 09:00:00.000,0.00008576,0.00009000,0.00008456,0.00008692,1402661.00000000,2019-06-01 08:59:59.999,122.95419430,5730,608193.00000000,53.40747684,0
9,2019-06-01 09:00:00.000,0.00008688,0.00009350,0.00008453,0.00008813,3210828.00000000,2019-06-02 08:59:59.999,284.44056361,11615,1478245.00000000,131.02758612,0
10,2019-06-02 09:00:00.000,0.00008806,0.00010320,0.00008772,0.00009750,6260253.00000000,2019-06-03 08:59:59.999,595.77846829,25217,3051137.00000000,291.32655516,0
11,2019-06-03 09:00:00.000,0.00009717,0.00009840,0.00009027,0.00009103,2005199.00000000,2019-06-04 08:59:59.999,188.47362715,8334,838484.00000000,78.83070503,0
12,2019-06-04 09:00:00.000,0.00009102,0.00009300,0.00008800,0.00008951,1529106.00000000,2019-06-05 08:59:59.999,138.35592190,5806,605332.00000000,54.87592276,0
13,2019-06-05 09:00:00.000,0.00008963,0.00009275,0.00008885,0.00009004,1087495.00000000,2019-06-06 08:59:59.999,98.31264860,4285,469754.00000000,42.48735309,0
14,2019-06-06 09:00:00.000,0.00009005,0.00009662,0.00008871,0.00009472,1792690.00000000,2019-06-07 08:59:59.999,166.07335547,7513,810471.00000000,75.22186433,0
15,2019-06-07 09:00:00.000,0.00009499,0.00010797,0.00009327,0.00010244,4499804.00000000,2019-06-08 08:59:59.999,445.94558648,18935,2330221.00000000,231.76196168,0
16,2019-06-08 09:00:00.000,0.00010242,0.00011478,0.00009881,0.00010910,6405929.00000000,2019-06-09 08:59:59.999,690.38759614,27112,2973846.00000000,320.90639066,0
17,2019-06-09 09:00:00.000,0.00010858,0.00011412,0.00009800,0.00010081,3279229.00000000,2019-06-10 08:59:59.999,344.81667212,17037,1421255.00000000,149.78024217,0
18,2019-06-10 09:00:00.000,0.00010048,0.00011219,0.00009922,0.00010749,3216439.00000000,2019-06-11 08:59:59.999,345.15685579,16388,1495544.00000000,160.49626921,0
19,2019-06-11 09:00:00.000,0.00010706,0.00011039,0.00010389,0.00010769,1637413.00000000,2019-06-12 08:59:59.999,174.71403347,8165,748013.00000000,80.10252080,0
20,2019-06-12 09:00:00.000,0.00010764,0.00012500,0.00010737,0.00012131,6875007.00000000,2019-06-13 08:59:59.999,804.43714740,32080,3346412.00000000,392.39279021,0
21,2019-06-13 09:00:00.000,0.00012130,0.00012500,0.00010964,0.00011183,4304296.00000000,2019-06-14 08:59:59.999,507.18907843,22760,1948963.00000000,230.71108672,0
22,2019-06-14 09:00:00.000,0.00011154,0.00011275,0.00009520,0.00009654,2686704.00000000,2019-06-15 08:59:59.999,276.01772814,13394,1120850.00000000,114.90835347,0
23,2019-06-15 09:00:00.000,0.00009655,0.00010972,0.00009654,0.00010147,3403547.00000000,2019-06-16 08:59:59.999,351.56960939,19123,1603385.00000000,165.66923504,0
24,2019-06-16 09:00:00.000,0.00010147,0.00010200,0.00009375,0.00010137,1989575.00000000,2019-06-17 08:59:59.999,194.78793311,10438,947557.00000000,92.90010469,0
25,2019-06-17 09:00:00.000,0.00010134,0.00010791,0.00009553,0.00009615,2920049.00000000,2019-06-18 08:59:59.999,295.70292024,15668,1439436.00000000,146.65212946,0
26,2019-06-18 09:00:00.000,0.00009638,0.00010131,0.00009571,0.00009733,881018.00000000,2019-06-19 08:59:59.999,85.76096584,4421,429455.00000000,41.80560001,0
27,2019-06-19 09:00:00.000,0.00009692,0.00010053,0.00009411,0.00009586,963169.00000000,2019-06-20 08:59:59.999,94.22802541,4745,397464.00000000,38.90189761,0
28,2019-06-20 09:00:00.000,0.00009570,0.00009610,0.00008697,0.00008810,1384918.00000000,2019-06-21 08:59:59.999,126.26774407,6965,647029.00000000,59.04633822,0
