,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00002209,0.00002844,0.00002082,0.00002282,151356832.00000000,2019-05-24 08:59:59.999,3765.93094745,87102,75770491.00000000,1882.54570167,0
1,2019-05-24 09:00:00.000,0.00002276,0.00002349,0.00001892,0.00001987,76956123.00000000,2019-05-25 08:59:59.999,1623.29666675,42723,36612633.00000000,776.47384490,0
2,2019-05-25 09:00:00.000,0.00001986,0.00002389,0.00001863,0.00002210,108901347.00000000,2019-05-26 08:59:59.999,2315.71782709,58491,51722010.00000000,1098.22444080,0
3,2019-05-26 09:00:00.000,0.00002208,0.00002618,0.00001920,0.00002017,120068545.00000000,2019-05-27 08:59:59.999,2715.31799942,63671,57572151.00000000,1304.98432924,0
4,2019-05-27 09:00:00.000,0.00002017,0.00002160,0.00001876,0.00001936,45712589.00000000,2019-05-28 08:59:59.999,913.01955343,25071,21646106.00000000,432.35496330,0
5,2019-05-28 09:00:00.000,0.00001936,0.00002344,0.00001934,0.00002084,59575838.00000000,2019-05-29 08:59:59.999,1268.68485175,38909,27692689.00000000,589.05884509,0
6,2019-05-29 09:00:00.000,0.00002087,0.00002144,0.00001969,0.00002030,34659989.00000000,2019-05-30 08:59:59.999,709.89136389,17763,16642110.00000000,340.86193467,0
7,2019-05-30 09:00:00.000,0.00002030,0.00002166,0.00001901,0.00001984,52584755.00000000,2019-05-31 08:59:59.999,1074.53953366,26028,23849619.00000000,487.56982858,0
8,2019-05-31 09:00:00.000,0.00001984,0.00002330,0.00001965,0.00002138,81588386.00000000,2019-06-01 08:59:59.999,1744.66537424,47159,39221021.00000000,839.81578076,0
9,2019-06-01 09:00:00.000,0.00002135,0.00002380,0.00002032,0.00002271,87935722.00000000,2019-06-02 08:59:59.999,1930.66260323,51008,41140772.00000000,904.48868373,0
10,2019-06-02 09:00:00.000,0.00002271,0.00002473,0.00002105,0.00002290,69406783.00000000,2019-06-03 08:59:59.999,1594.07097827,45153,32207786.00000000,741.76190112,0
11,2019-06-03 09:00:00.000,0.00002290,0.00002308,0.00002100,0.00002157,42102368.00000000,2019-06-04 08:59:59.999,921.57614494,26422,19574598.00000000,428.67226862,0
12,2019-06-04 09:00:00.000,0.00002151,0.00002339,0.00002057,0.00002289,61687575.00000000,2019-06-05 08:59:59.999,1349.21258797,34134,29269752.00000000,640.04087404,0
13,2019-06-05 09:00:00.000,0.00002294,0.00002793,0.00002212,0.00002630,144981050.00000000,2019-06-06 08:59:59.999,3619.03617836,86806,71943200.00000000,1799.31180795,0
14,2019-06-06 09:00:00.000,0.00002632,0.00002827,0.00002447,0.00002545,99047185.00000000,2019-06-07 08:59:59.999,2591.83814766,69672,46630148.00000000,1221.23196668,0
15,2019-06-07 09:00:00.000,0.00002545,0.00002750,0.00002504,0.00002596,55627630.00000000,2019-06-08 08:59:59.999,1455.50116667,35166,25790811.00000000,674.51686357,0
16,2019-06-08 09:00:00.000,0.00002596,0.00002740,0.00002505,0.00002695,37691331.00000000,2019-06-09 08:59:59.999,985.17143595,26226,18313419.00000000,479.31453973,0
17,2019-06-09 09:00:00.000,0.00002702,0.00003000,0.00002624,0.00002685,102680581.00000000,2019-06-10 08:59:59.999,2893.34206107,63816,49928729.00000000,1408.71097183,0
18,2019-06-10 09:00:00.000,0.00002692,0.00003197,0.00002594,0.00003052,120093366.00000000,2019-06-11 08:59:59.999,3440.26296168,67422,57954399.00000000,1662.87508290,0
19,2019-06-11 09:00:00.000,0.00003051,0.00003244,0.00002841,0.00003194,100559249.00000000,2019-06-12 08:59:59.999,3067.52192178,62445,48398293.00000000,1479.24726380,0
20,2019-06-12 09:00:00.000,0.00003192,0.00003243,0.00002796,0.00002906,79740159.00000000,2019-06-13 08:59:59.999,2370.38758655,45460,36390314.00000000,1081.36596631,0
21,2019-06-13 09:00:00.000,0.00002910,0.00002940,0.00002572,0.00002601,74863280.00000000,2019-06-14 08:59:59.999,2053.49831980,46677,35130577.00000000,964.25474354,0
22,2019-06-14 09:00:00.000,0.00002601,0.00002644,0.00002211,0.00002268,76541709.00000000,2019-06-15 08:59:59.999,1828.75153370,40028,37063486.00000000,885.50974400,0
23,2019-06-15 09:00:00.000,0.00002265,0.00002506,0.00002238,0.00002305,66907402.00000000,2019-06-16 08:59:59.999,1579.76881725,32600,32858991.00000000,775.20051872,0
24,2019-06-16 09:00:00.000,0.00002305,0.00002314,0.00002110,0.00002236,46324189.00000000,2019-06-17 08:59:59.999,1018.00129821,23597,22862312.00000000,502.94589081,0
25,2019-06-17 09:00:00.000,0.00002236,0.00002417,0.00002080,0.00002117,46161397.00000000,2019-06-18 08:59:59.999,1030.10486662,24537,22024691.00000000,492.28959935,0
26,2019-06-18 09:00:00.000,0.00002120,0.00002342,0.00002116,0.00002294,39961183.00000000,2019-06-19 08:59:59.999,884.80485481,18153,18419098.00000000,407.59634230,0
27,2019-06-19 09:00:00.000,0.00002290,0.00002380,0.00002165,0.00002186,49572879.00000000,2019-06-20 08:59:59.999,1131.45551924,20944,22580851.00000000,515.77592006,0
28,2019-06-20 09:00:00.000,0.00002187,0.00002224,0.00001972,0.00002012,51408518.00000000,2019-06-21 08:59:59.999,1083.71143823,18803,26644712.00000000,562.40002809,0
29,2019-06-21 09:00:00.000,0.00002007,0.00002017,0.00001750,0.00001772,38208211.00000000,2019-06-22 08:59:59.999,735.74097972,16192,19589106.00000000,377.75951188,0
30,2019-06-22 09:00:00.000,0.00001780,0.00001824,0.00001573,0.00001744,43644958.00000000,2019-06-23 08:59:59.999,743.86398671,19348,20581779.00000000,350.47847454,0
31,2019-06-23 09:00:00.000,0.00001744,0.00001802,0.00001577,0.00001620,47679903.00000000,2019-06-24 08:59:59.999,811.48852245,14629,24377564.00000000,415.34524128,0
32,2019-06-24 09:00:00.000,0.00001619,0.00001690,0.00001509,0.00001530,54784521.00000000,2019-06-25 08:59:59.999,881.34054486,15032,29265416.00000000,470.66652351,0
33,2019-06-25 09:00:00.000,0.00001533,0.00001534,0.00001368,0.00001377,55801408.00000000,2019-06-26 08:59:59.999,811.05060889,16938,29965343.00000000,435.53512366,0
34,2019-06-26 09:00:00.000,0.00001376,0.00001397,0.00001061,0.00001150,67917736.00000000,2019-06-27 08:59:59.999,832.22993676,25148,35442500.00000000,435.73358997,0
35,2019-06-27 09:00:00.000,0.00001146,0.00001406,0.00001105,0.00001335,62934400.00000000,2019-06-28 08:59:59.999,813.11783938,24200,34109402.00000000,438.75734593,0
36,2019-06-28 09:00:00.000,0.00001331,0.00001365,0.00001161,0.00001170,22895546.00000000,2019-06-29 08:59:59.999,292.29346497,10994,12191954.00000000,156.62252749,0
37,2019-06-29 09:00:00.000,0.00001168,0.00001430,0.00001165,0.00001371,30065396.00000000,2019-06-30 08:59:59.999,398.35748098,15588,14343846.00000000,190.12051423,0
38,2019-06-30 09:00:00.000,0.00001371,0.00001569,0.00001345,0.00001410,50701907.00000000,2019-07-01 08:59:59.999,746.70451469,24797,22423556.00000000,330.59519284,0
39,2019-07-01 09:00:00.000,0.00001409,0.00001547,0.00001407,0.00001538,21941941.00000000,2019-07-02 08:59:59.999,322.02219314,12181,10527817.00000000,154.82997633,0
40,2019-07-02 09:00:00.000,0.00001537,0.00001561,0.00001339,0.00001374,23303978.00000000,2019-07-03 08:59:59.999,340.00636474,13169,10340989.00000000,151.07878365,0
