,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-07-31 09:00:00.000,0.00002112,0.00003868,0.00002112,0.00002888,68685918.00000000,2020-08-01 08:59:59.999,2188.68265813,85849,33008429.00000000,1055.77302523,0
1,2020-08-01 09:00:00.000,0.00002895,0.00003130,0.00002306,0.00002455,26636715.00000000,2020-08-02 08:59:59.999,691.51423933,40566,11466409.00000000,297.93277424,0
2,2020-08-02 09:00:00.000,0.00002449,0.00002880,0.00002216,0.00002624,15736337.00000000,2020-08-03 08:59:59.999,408.66127068,22435,6886241.00000000,179.76323420,0
3,2020-08-03 09:00:00.000,0.00002617,0.00002745,0.00002252,0.00002309,9696395.00000000,2020-08-04 08:59:59.999,240.06963911,18331,4033645.00000000,100.05389744,0
4,2020-08-04 09:00:00.000,0.00002310,0.00002468,0.00002280,0.00002371,6604183.00000000,2020-08-05 08:59:59.999,156.81443873,9551,2814642.00000000,66.92349065,0
5,2020-08-05 09:00:00.000,0.00002361,0.00002500,0.00002084,0.00002131,8987930.00000000,2020-08-06 08:59:59.999,203.90189763,11481,3605766.00000000,81.98692031,0
6,2020-08-06 09:00:00.000,0.00002131,0.00002349,0.00002086,0.00002271,8834737.00000000,2020-08-07 08:59:59.999,194.10524432,11776,3992049.00000000,88.06739746,0
7,2020-08-07 09:00:00.000,0.00002269,0.00002419,0.00002154,0.00002200,6914707.00000000,2020-08-08 08:59:59.999,157.12756438,10679,2681583.00000000,61.13657361,0
8,2020-08-08 09:00:00.000,0.00002206,0.00002580,0.00002200,0.00002428,7781950.00000000,2020-08-09 08:59:59.999,186.17227727,13237,3828032.00000000,91.62534019,0
9,2020-08-09 09:00:00.000,0.00002427,0.00002580,0.00002327,0.00002367,4845392.00000000,2020-08-10 08:59:59.999,118.11586467,8362,2153916.00000000,52.81470756,0
10,2020-08-10 09:00:00.000,0.00002367,0.00002919,0.00002166,0.00002542,16823280.00000000,2020-08-11 08:59:59.999,432.15815750,23481,7830303.00000000,201.11066950,0
11,2020-08-11 09:00:00.000,0.00002542,0.00002785,0.00002392,0.00002621,8924503.00000000,2020-08-12 08:59:59.999,229.37816242,13053,3816601.00000000,98.11306997,0
12,2020-08-12 09:00:00.000,0.00002621,0.00003218,0.00002550,0.00002984,16765741.00000000,2020-08-13 08:59:59.999,493.25144367,29544,7735219.00000000,227.95023598,0
