,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-06-11 09:00:00.000,0.00000400,0.00000562,0.00000390,0.00000410,2013416465.00000000,2019-06-12 08:59:59.999,9507.26114198,125236,971148386.00000000,4604.37768304,0
1,2019-06-12 09:00:00.000,0.00000410,0.00000425,0.00000384,0.00000396,569091984.00000000,2019-06-13 08:59:59.999,2294.13220140,45738,244998666.00000000,989.42883842,0
2,2019-06-13 09:00:00.000,0.00000397,0.00000444,0.00000355,0.00000368,637065037.00000000,2019-06-14 08:59:59.999,2582.74611842,51193,262398242.00000000,1068.72527392,0
3,2019-06-14 09:00:00.000,0.00000367,0.00000379,0.00000301,0.00000316,563780487.00000000,2019-06-15 08:59:59.999,1884.67358889,38689,241103851.00000000,804.68754139,0
4,2019-06-15 09:00:00.000,0.00000315,0.00000349,0.00000291,0.00000305,346343533.00000000,2019-06-16 08:59:59.999,1110.62675899,24516,148242934.00000000,475.31027644,0
5,2019-06-16 09:00:00.000,0.00000304,0.00000310,0.00000278,0.00000299,229769800.00000000,2019-06-17 08:59:59.999,673.40039431,18452,100023696.00000000,293.38419846,0
6,2019-06-17 09:00:00.000,0.00000299,0.00000318,0.00000278,0.00000287,578072979.00000000,2019-06-18 08:59:59.999,1712.17690497,35172,252568001.00000000,751.42606715,0
7,2019-06-18 09:00:00.000,0.00000287,0.00000309,0.00000280,0.00000300,177814970.00000000,2019-06-19 08:59:59.999,525.51895025,15264,79421137.00000000,235.32973800,0
8,2019-06-19 09:00:00.000,0.00000301,0.00000329,0.00000299,0.00000301,282004698.00000000,2019-06-20 08:59:59.999,882.77130526,23080,124103201.00000000,389.44068406,0
9,2019-06-20 09:00:00.000,0.00000301,0.00000307,0.00000264,0.00000277,207169744.00000000,2019-06-21 08:59:59.999,591.55493266,16596,81720672.00000000,233.26722005,0
10,2019-06-21 09:00:00.000,0.00000277,0.00000277,0.00000233,0.00000234,178769429.00000000,2019-06-22 08:59:59.999,454.50805580,12771,73780416.00000000,188.52551000,0
11,2019-06-22 09:00:00.000,0.00000234,0.00000241,0.00000207,0.00000220,235167231.00000000,2019-06-23 08:59:59.999,522.04002725,15782,98283193.00000000,218.53876691,0
12,2019-06-23 09:00:00.000,0.00000221,0.00000235,0.00000196,0.00000211,183562916.00000000,2019-06-24 08:59:59.999,401.35654026,10583,74279117.00000000,163.08960943,0
13,2019-06-24 09:00:00.000,0.00000211,0.00000219,0.00000203,0.00000208,89382187.00000000,2019-06-25 08:59:59.999,187.68976215,6452,41540225.00000000,87.43536650,0
14,2019-06-25 09:00:00.000,0.00000208,0.00000208,0.00000182,0.00000182,130397296.00000000,2019-06-26 08:59:59.999,254.72884089,8403,48166175.00000000,94.34128372,0
15,2019-06-26 09:00:00.000,0.00000183,0.00000190,0.00000153,0.00000170,188186222.00000000,2019-06-27 08:59:59.999,329.43715939,11415,76188126.00000000,133.71329387,0
