,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-12-20 09:00:00.000,0.00027350,0.00031150,0.00027350,0.00029960,969205.44000000,2019-12-21 08:59:59.999,292.85962000,3707,394279.87000000,118.97630132,0
1,2019-12-21 09:00:00.000,0.00030010,0.00030170,0.00029840,0.00030120,191425.87000000,2019-12-22 08:59:59.999,57.42985266,1340,94182.34000000,28.23493243,0
2,2019-12-22 09:00:00.000,0.00030100,0.00030500,0.00029850,0.00030360,1411729.61000000,2019-12-23 08:59:59.999,425.06314855,10337,191454.97000000,57.68753966,0
3,2019-12-23 09:00:00.000,0.00030310,0.00030350,0.00029690,0.00029910,1504991.88000000,2019-12-24 08:59:59.999,450.36069004,10304,291457.66000000,87.22973215,0
4,2019-12-24 09:00:00.000,0.00029900,0.00029920,0.00029160,0.00029770,147597.77000000,2019-12-25 08:59:59.999,43.69696594,1051,44459.75000000,13.18532152,0
5,2019-12-25 09:00:00.000,0.00029750,0.00030010,0.00029450,0.00029720,48470.35000000,2019-12-26 08:59:59.999,14.47393733,418,32589.65000000,9.73771403,0
6,2019-12-26 09:00:00.000,0.00029680,0.00029910,0.00029490,0.00029690,90580.17000000,2019-12-27 08:59:59.999,26.82032838,713,36733.79000000,10.87874565,0
7,2019-12-27 09:00:00.000,0.00029720,0.00030230,0.00029600,0.00029670,142886.02000000,2019-12-28 08:59:59.999,42.70311572,1046,23626.77000000,7.06705714,0
8,2019-12-28 09:00:00.000,0.00029690,0.00029860,0.00029360,0.00029800,61647.63000000,2019-12-29 08:59:59.999,18.30484546,384,45586.02000000,13.54433208,0
9,2019-12-29 09:00:00.000,0.00029810,0.00030000,0.00029720,0.00029880,51042.76000000,2019-12-30 08:59:59.999,15.25516768,396,20355.53000000,6.08730899,0
10,2019-12-30 09:00:00.000,0.00029890,0.00030010,0.00029690,0.00029840,32630.68000000,2019-12-31 08:59:59.999,9.74233039,313,5716.16000000,1.70761249,0
11,2019-12-31 09:00:00.000,0.00029810,0.00030030,0.00029760,0.00029800,89319.32000000,2020-01-01 08:59:59.999,26.66738216,553,20581.42000000,6.13863284,0
12,2020-01-01 09:00:00.000,0.00029870,0.00029940,0.00029650,0.00029790,67099.57000000,2020-01-02 08:59:59.999,20.04333587,254,50154.05000000,14.98650894,0
13,2020-01-02 09:00:00.000,0.00029780,0.00030980,0.00029780,0.00030740,107275.23000000,2020-01-03 08:59:59.999,32.57484951,877,38626.99000000,11.81465119,0
14,2020-01-03 09:00:00.000,0.00030770,0.00031150,0.00029990,0.00030050,184143.83000000,2020-01-04 08:59:59.999,55.98133343,2042,52402.50000000,15.86256721,0
15,2020-01-04 09:00:00.000,0.00030100,0.00030120,0.00029470,0.00029490,26222.20000000,2020-01-05 08:59:59.999,7.81236316,327,7624.83000000,2.26815569,0
16,2020-01-05 09:00:00.000,0.00029490,0.00029530,0.00028560,0.00029090,131809.05000000,2020-01-06 08:59:59.999,38.08666584,676,56995.77000000,16.44226012,0
17,2020-01-06 09:00:00.000,0.00029050,0.00029110,0.00028030,0.00028140,101114.14000000,2020-01-07 08:59:59.999,28.63934597,862,35677.86000000,10.09884489,0
18,2020-01-07 09:00:00.000,0.00028150,0.00028190,0.00026240,0.00026510,635487.43000000,2020-01-08 08:59:59.999,172.41690374,5013,240771.00000000,66.50134275,0
19,2020-01-08 09:00:00.000,0.00026500,0.00027270,0.00025380,0.00027040,1007914.50000000,2020-01-09 08:59:59.999,264.70683779,6876,241151.18000000,63.38533212,0
20,2020-01-09 09:00:00.000,0.00027060,0.00027720,0.00026710,0.00027620,292691.62000000,2020-01-10 08:59:59.999,79.64867674,1944,71650.22000000,19.54862385,0
21,2020-01-10 09:00:00.000,0.00027630,0.00027830,0.00027130,0.00027260,397320.78000000,2020-01-11 08:59:59.999,109.31374328,3580,155511.20000000,42.82457815,0
22,2020-01-11 09:00:00.000,0.00027260,0.00027300,0.00025960,0.00026710,219798.49000000,2020-01-12 08:59:59.999,58.20961406,2203,46813.56000000,12.38378785,0
23,2020-01-12 09:00:00.000,0.00026760,0.00027040,0.00026060,0.00026720,168512.73000000,2020-01-13 08:59:59.999,44.65561127,1425,32539.38000000,8.65454993,0
24,2020-01-13 09:00:00.000,0.00026660,0.00026740,0.00026470,0.00026530,82717.24000000,2020-01-14 08:59:59.999,22.01185360,585,7509.22000000,1.99547699,0
25,2020-01-14 09:00:00.000,0.00026510,0.00026550,0.00024570,0.00024650,591062.84000000,2020-01-15 08:59:59.999,149.91401432,4125,124630.16000000,31.83372259,0
26,2020-01-15 09:00:00.000,0.00024730,0.00026820,0.00024600,0.00026790,736774.41000000,2020-01-16 08:59:59.999,186.81029503,5108,219398.18000000,56.07213500,0
27,2020-01-16 09:00:00.000,0.00026790,0.00027510,0.00026510,0.00027470,411445.07000000,2020-01-17 08:59:59.999,111.26658198,2583,158308.92000000,42.83357795,0
28,2020-01-17 09:00:00.000,0.00027460,0.00027810,0.00026700,0.00026760,391736.83000000,2020-01-18 08:59:59.999,107.44372701,2683,196085.67000000,53.98831007,0
29,2020-01-18 09:00:00.000,0.00026790,0.00026860,0.00026450,0.00026680,277427.06000000,2020-01-19 08:59:59.999,74.11790709,2024,117547.08000000,31.43896334,0
30,2020-01-19 09:00:00.000,0.00026670,0.00027350,0.00026150,0.00026230,400243.34000000,2020-01-20 08:59:59.999,105.93186063,2717,67777.17000000,17.95021909,0
31,2020-01-20 09:00:00.000,0.00026270,0.00026310,0.00025780,0.00026210,211241.59000000,2020-01-21 08:59:59.999,54.99679465,1312,29219.57000000,7.63202733,0
32,2020-01-21 09:00:00.000,0.00026200,0.00027020,0.00026170,0.00026870,332567.80000000,2020-01-22 08:59:59.999,88.92518732,2085,28958.17000000,7.73445153,0
33,2020-01-22 09:00:00.000,0.00026870,0.00026930,0.00026400,0.00026730,236612.34000000,2020-01-23 08:59:59.999,63.06187920,1877,38710.11000000,10.33958463,0
34,2020-01-23 09:00:00.000,0.00026740,0.00026830,0.00025890,0.00026540,689705.84000000,2020-01-24 08:59:59.999,181.77754385,4365,56055.50000000,14.79282391,0
35,2020-01-24 09:00:00.000,0.00026560,0.00026870,0.00026510,0.00026790,83725.50000000,2020-01-25 08:59:59.999,22.35016383,880,36635.64000000,9.79000428,0
36,2020-01-25 09:00:00.000,0.00026830,0.00026830,0.00026480,0.00026560,86555.47000000,2020-01-26 08:59:59.999,23.05872827,554,11979.38000000,3.19069965,0
37,2020-01-26 09:00:00.000,0.00026540,0.00026650,0.00026390,0.00026580,281869.08000000,2020-01-27 08:59:59.999,74.77839319,1733,19776.66000000,5.25445353,0
38,2020-01-27 09:00:00.000,0.00026580,0.00026910,0.00026520,0.00026630,333598.61000000,2020-01-28 08:59:59.999,89.01058646,2225,44519.86000000,11.89897083,0
39,2020-01-28 09:00:00.000,0.00026610,0.00026670,0.00025950,0.00026040,659936.02000000,2020-01-29 08:59:59.999,173.49841829,4294,51482.26000000,13.56002332,0
40,2020-01-29 09:00:00.000,0.00026100,0.00026110,0.00025190,0.00025240,516938.58000000,2020-01-30 08:59:59.999,132.72023967,3536,56953.77000000,14.59086392,0
41,2020-01-30 09:00:00.000,0.00025240,0.00025530,0.00024840,0.00025270,625396.68000000,2020-01-31 08:59:59.999,157.21491508,3720,58450.54000000,14.65855810,0
42,2020-01-31 09:00:00.000,0.00025280,0.00025380,0.00025010,0.00025380,226350.30000000,2020-02-01 08:59:59.999,57.00554330,1563,30089.79000000,7.59380816,0
43,2020-02-01 09:00:00.000,0.00025350,0.00025350,0.00024920,0.00025010,67190.84000000,2020-02-02 08:59:59.999,16.84199040,664,11130.69000000,2.78657472,0
44,2020-02-02 09:00:00.000,0.00025010,0.00025200,0.00024720,0.00024850,225840.65000000,2020-02-03 08:59:59.999,56.32244917,1403,59872.54000000,14.93582978,0
45,2020-02-03 09:00:00.000,0.00024850,0.00025090,0.00024300,0.00024740,746904.68000000,2020-02-04 08:59:59.999,183.65729605,5087,62006.25000000,15.24195764,0
46,2020-02-04 09:00:00.000,0.00024740,0.00024930,0.00024160,0.00024410,362981.91000000,2020-02-05 08:59:59.999,89.46229401,2807,52168.65000000,12.79260932,0
47,2020-02-05 09:00:00.000,0.00024460,0.00024780,0.00024290,0.00024370,751941.43000000,2020-02-06 08:59:59.999,184.00646758,6107,254874.58000000,62.40502265,0
48,2020-02-06 09:00:00.000,0.00024350,0.00024760,0.00024010,0.00024660,532222.29000000,2020-02-07 08:59:59.999,129.87899155,3811,186798.27000000,45.61634899,0
49,2020-02-07 09:00:00.000,0.00024680,0.00024980,0.00024070,0.00024270,679722.10000000,2020-02-08 08:59:59.999,167.54854938,4047,146067.72000000,35.93479206,0
50,2020-02-08 09:00:00.000,0.00024300,0.00024360,0.00024070,0.00024070,247790.17000000,2020-02-09 08:59:59.999,60.05051725,1511,60936.84000000,14.78083281,0
51,2020-02-09 09:00:00.000,0.00024070,0.00024090,0.00023560,0.00023730,364999.68000000,2020-02-10 08:59:59.999,87.13519481,2801,56350.23000000,13.41444490,0
52,2020-02-10 09:00:00.000,0.00023700,0.00025770,0.00023440,0.00025290,1749147.16000000,2020-02-11 08:59:59.999,419.99570129,10253,525254.32000000,127.92387276,0
53,2020-02-11 09:00:00.000,0.00025340,0.00025500,0.00024550,0.00025000,513046.36000000,2020-02-12 08:59:59.999,128.31139885,4142,222713.28000000,55.73915900,0
54,2020-02-12 09:00:00.000,0.00025010,0.00025220,0.00024710,0.00024890,366960.97000000,2020-02-13 08:59:59.999,91.63709409,2716,207020.10000000,51.71516949,0
