,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-03-09 09:00:00.000,0.00000246,0.00000263,0.00000239,0.00000260,542340986.00000000,2019-03-10 08:59:59.999,1371.17744872,26783,308103448.00000000,781.00989170,0
1,2019-03-10 09:00:00.000,0.00000261,0.00000323,0.00000259,0.00000300,970577204.00000000,2019-03-11 08:59:59.999,2767.80165046,59863,521678482.00000000,1490.80640319,0
2,2019-03-11 09:00:00.000,0.00000299,0.00000300,0.00000264,0.00000279,293617649.00000000,2019-03-12 08:59:59.999,815.34962108,21379,146681232.00000000,408.40378258,0
3,2019-03-12 09:00:00.000,0.00000279,0.00000312,0.00000260,0.00000300,417720858.00000000,2019-03-13 08:59:59.999,1214.82795337,33589,227423255.00000000,663.47597132,0
4,2019-03-13 09:00:00.000,0.00000299,0.00000312,0.00000283,0.00000293,498585068.00000000,2019-03-14 08:59:59.999,1472.41267384,32190,276425800.00000000,818.31278749,0
5,2019-03-14 09:00:00.000,0.00000292,0.00000293,0.00000277,0.00000289,264242118.00000000,2019-03-15 08:59:59.999,752.27533459,16393,143159640.00000000,408.47317876,0
6,2019-03-15 09:00:00.000,0.00000290,0.00000305,0.00000287,0.00000292,139988264.00000000,2019-03-16 08:59:59.999,409.71143819,15345,76075377.00000000,222.99210724,0
7,2019-03-16 09:00:00.000,0.00000291,0.00000294,0.00000273,0.00000289,727440219.00000000,2019-03-17 08:59:59.999,2085.45963694,33343,400632106.00000000,1150.53442696,0
8,2019-03-17 09:00:00.000,0.00000290,0.00000337,0.00000284,0.00000305,881077804.00000000,2019-03-18 08:59:59.999,2720.56634913,52725,472531558.00000000,1459.54940491,0
9,2019-03-18 09:00:00.000,0.00000304,0.00000318,0.00000296,0.00000306,262566775.00000000,2019-03-19 08:59:59.999,808.64217595,20608,174868149.00000000,540.27899801,0
10,2019-03-19 09:00:00.000,0.00000306,0.00000308,0.00000296,0.00000302,88703592.00000000,2019-03-20 08:59:59.999,268.75223449,8509,43563915.00000000,132.36393179,0
11,2019-03-20 09:00:00.000,0.00000302,0.00000313,0.00000299,0.00000305,201629433.00000000,2019-03-21 08:59:59.999,619.57383877,15273,117772588.00000000,362.61927846,0
12,2019-03-21 09:00:00.000,0.00000305,0.00000306,0.00000274,0.00000285,186801899.00000000,2019-03-22 08:59:59.999,537.97170729,16479,86811297.00000000,249.75358027,0
13,2019-03-22 09:00:00.000,0.00000285,0.00000303,0.00000280,0.00000294,401764390.00000000,2019-03-23 08:59:59.999,1166.70360179,28414,230051834.00000000,670.46605155,0
14,2019-03-23 09:00:00.000,0.00000294,0.00000294,0.00000285,0.00000286,34657951.00000000,2019-03-24 08:59:59.999,100.36409201,3333,13036294.00000000,37.80947762,0
15,2019-03-24 09:00:00.000,0.00000285,0.00000291,0.00000279,0.00000286,352150605.00000000,2019-03-25 08:59:59.999,1009.48552187,15952,194391187.00000000,558.67670800,0
16,2019-03-25 09:00:00.000,0.00000286,0.00000292,0.00000273,0.00000280,329697597.00000000,2019-03-26 08:59:59.999,935.09286289,19197,186455725.00000000,530.11927378,0
17,2019-03-26 09:00:00.000,0.00000280,0.00000295,0.00000273,0.00000288,179443917.00000000,2019-03-27 08:59:59.999,516.33282000,15503,97842899.00000000,282.54978336,0
18,2019-03-27 09:00:00.000,0.00000289,0.00000315,0.00000284,0.00000299,534736269.00000000,2019-03-28 08:59:59.999,1602.21065714,32813,288147296.00000000,866.84995468,0
19,2019-03-28 09:00:00.000,0.00000299,0.00000335,0.00000295,0.00000318,216642495.00000000,2019-03-29 08:59:59.999,686.40390372,22566,103340113.00000000,328.31177691,0
20,2019-03-29 09:00:00.000,0.00000318,0.00000340,0.00000314,0.00000339,534430709.00000000,2019-03-30 08:59:59.999,1765.01042994,35500,309009143.00000000,1022.63564956,0
21,2019-03-30 09:00:00.000,0.00000339,0.00000368,0.00000323,0.00000349,657543505.00000000,2019-03-31 08:59:59.999,2265.84726402,47621,356172920.00000000,1228.24395392,0
22,2019-03-31 09:00:00.000,0.00000348,0.00000357,0.00000333,0.00000349,178470728.00000000,2019-04-01 08:59:59.999,619.02048688,20013,91859138.00000000,319.66176002,0
23,2019-04-01 09:00:00.000,0.00000348,0.00000357,0.00000306,0.00000311,264247780.00000000,2019-04-02 08:59:59.999,855.79574102,28826,106258888.00000000,345.23873348,0
24,2019-04-02 09:00:00.000,0.00000311,0.00000313,0.00000250,0.00000268,436843507.00000000,2019-04-03 08:59:59.999,1244.73551989,31269,218080076.00000000,622.20146414,0
25,2019-04-03 09:00:00.000,0.00000267,0.00000272,0.00000242,0.00000257,307029696.00000000,2019-04-04 08:59:59.999,803.02484710,24566,161718070.00000000,423.94859015,0
26,2019-04-04 09:00:00.000,0.00000256,0.00000263,0.00000246,0.00000258,302513635.00000000,2019-04-05 08:59:59.999,766.47531015,21255,167215673.00000000,425.11879094,0
27,2019-04-05 09:00:00.000,0.00000259,0.00000264,0.00000251,0.00000262,95412640.00000000,2019-04-06 08:59:59.999,246.41825650,9902,50266747.00000000,130.26671029,0
28,2019-04-06 09:00:00.000,0.00000261,0.00000264,0.00000241,0.00000246,52913798.00000000,2019-04-07 08:59:59.999,133.18971102,6341,19882310.00000000,49.96754479,0
29,2019-04-07 09:00:00.000,0.00000246,0.00000275,0.00000244,0.00000266,585671663.00000000,2019-04-08 08:59:59.999,1534.24135370,37513,331690988.00000000,869.88977418,0
30,2019-04-08 09:00:00.000,0.00000266,0.00000292,0.00000250,0.00000253,698725655.00000000,2019-04-09 08:59:59.999,1887.50407128,51305,370657796.00000000,1003.89978353,0
31,2019-04-09 09:00:00.000,0.00000254,0.00000267,0.00000233,0.00000240,149827070.00000000,2019-04-10 08:59:59.999,374.23296275,13698,71400025.00000000,179.31392723,0
32,2019-04-10 09:00:00.000,0.00000241,0.00000242,0.00000222,0.00000225,409370779.00000000,2019-04-11 08:59:59.999,951.37797736,24269,217482254.00000000,506.98005801,0
33,2019-04-11 09:00:00.000,0.00000224,0.00000231,0.00000195,0.00000211,294863417.00000000,2019-04-12 08:59:59.999,627.50892979,19280,153653838.00000000,330.12623906,0
34,2019-04-12 09:00:00.000,0.00000210,0.00000222,0.00000203,0.00000220,338059935.00000000,2019-04-13 08:59:59.999,722.06207415,20191,196715839.00000000,421.72339249,0
35,2019-04-13 09:00:00.000,0.00000219,0.00000221,0.00000208,0.00000212,87752467.00000000,2019-04-14 08:59:59.999,188.05610853,6016,44205701.00000000,94.97054320,0
36,2019-04-14 09:00:00.000,0.00000212,0.00000218,0.00000207,0.00000212,56286056.00000000,2019-04-15 08:59:59.999,119.85879352,4390,26481154.00000000,56.55343949,0
37,2019-04-15 09:00:00.000,0.00000211,0.00000218,0.00000206,0.00000214,181355145.00000000,2019-04-16 08:59:59.999,384.21962416,11875,105196242.00000000,223.49535885,0
38,2019-04-16 09:00:00.000,0.00000215,0.00000226,0.00000210,0.00000213,302857397.00000000,2019-04-17 08:59:59.999,661.47599852,23325,179133592.00000000,392.57193341,0
39,2019-04-17 09:00:00.000,0.00000212,0.00000222,0.00000206,0.00000215,129583964.00000000,2019-04-18 08:59:59.999,279.14346849,9264,77777586.00000000,168.18976641,0
40,2019-04-18 09:00:00.000,0.00000215,0.00000217,0.00000211,0.00000217,40360045.00000000,2019-04-19 08:59:59.999,86.41713201,3445,20729183.00000000,44.50966380,0
