,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000082,0.00000085,0.00000078,0.00000083,45901883.00000000,2019-05-24 08:59:59.999,37.73648644,1580,21293541.00000000,17.56939179,0
1,2019-05-24 09:00:00.000,0.00000083,0.00000084,0.00000077,0.00000080,31371401.00000000,2019-05-25 08:59:59.999,25.19754506,1280,11348947.00000000,9.12981902,0
2,2019-05-25 09:00:00.000,0.00000080,0.00000082,0.00000076,0.00000077,20225287.00000000,2019-05-26 08:59:59.999,15.95217063,843,7796105.00000000,6.18727374,0
3,2019-05-26 09:00:00.000,0.00000077,0.00000083,0.00000073,0.00000076,47927554.00000000,2019-05-27 08:59:59.999,37.65745460,2002,23290374.00000000,18.46782210,0
4,2019-05-27 09:00:00.000,0.00000075,0.00000078,0.00000072,0.00000075,29254546.00000000,2019-05-28 08:59:59.999,21.79193690,1184,12666177.00000000,9.50602119,0
5,2019-05-28 09:00:00.000,0.00000075,0.00000077,0.00000071,0.00000074,43310064.00000000,2019-05-29 08:59:59.999,32.26513153,1472,18966545.00000000,14.25853272,0
6,2019-05-29 09:00:00.000,0.00000074,0.00000076,0.00000073,0.00000074,28270095.00000000,2019-05-30 08:59:59.999,20.96006839,941,12874561.00000000,9.59143509,0
7,2019-05-30 09:00:00.000,0.00000074,0.00000083,0.00000074,0.00000076,75001216.00000000,2019-05-31 08:59:59.999,58.51830618,2581,37891757.00000000,29.66155393,0
8,2019-05-31 09:00:00.000,0.00000077,0.00000079,0.00000074,0.00000078,26688933.00000000,2019-06-01 08:59:59.999,20.49312423,1145,14292111.00000000,11.01208156,0
9,2019-06-01 09:00:00.000,0.00000078,0.00000079,0.00000073,0.00000075,31532615.00000000,2019-06-02 08:59:59.999,23.73052040,1203,12110481.00000000,9.17344033,0
10,2019-06-02 09:00:00.000,0.00000075,0.00000076,0.00000073,0.00000075,23253886.00000000,2019-06-03 08:59:59.999,17.31303464,908,10242789.00000000,7.67513753,0
11,2019-06-03 09:00:00.000,0.00000076,0.00000076,0.00000074,0.00000075,20404672.00000000,2019-06-04 08:59:59.999,15.33610212,717,9908932.00000000,7.48149501,0
12,2019-06-04 09:00:00.000,0.00000074,0.00000077,0.00000073,0.00000076,25899539.00000000,2019-06-05 08:59:59.999,19.33596893,984,13042125.00000000,9.79663870,0
13,2019-06-05 09:00:00.000,0.00000076,0.00000078,0.00000075,0.00000077,14236382.00000000,2019-06-06 08:59:59.999,10.87767106,696,8218829.00000000,6.31059534,0
14,2019-06-06 09:00:00.000,0.00000077,0.00000080,0.00000077,0.00000078,22425411.00000000,2019-06-07 08:59:59.999,17.59489991,854,12266642.00000000,9.64793546,0
