,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001158,0.00001164,0.00001088,0.00001133,3583701.00000000,2019-05-24 08:59:59.999,40.16747778,3308,1614214.00000000,18.08188451,0
1,2019-05-24 09:00:00.000,0.00001129,0.00001439,0.00001128,0.00001198,21178675.00000000,2019-05-25 08:59:59.999,261.38668178,15825,9962962.00000000,123.96654579,0
2,2019-05-25 09:00:00.000,0.00001198,0.00001258,0.00001178,0.00001201,3805453.00000000,2019-05-26 08:59:59.999,46.45419821,3703,1813140.00000000,22.16394811,0
3,2019-05-26 09:00:00.000,0.00001199,0.00001254,0.00001101,0.00001129,4726415.00000000,2019-05-27 08:59:59.999,56.21086781,5032,2386341.00000000,28.45631010,0
4,2019-05-27 09:00:00.000,0.00001123,0.00001172,0.00001110,0.00001142,2681319.00000000,2019-05-28 08:59:59.999,30.47770194,3104,1325262.00000000,15.09416979,0
5,2019-05-28 09:00:00.000,0.00001147,0.00001177,0.00001140,0.00001169,2719073.00000000,2019-05-29 08:59:59.999,31.42308298,2861,1205825.00000000,13.96865345,0
6,2019-05-29 09:00:00.000,0.00001169,0.00001248,0.00001164,0.00001207,3902868.00000000,2019-05-30 08:59:59.999,47.15241011,4813,1957955.00000000,23.68347869,0
7,2019-05-30 09:00:00.000,0.00001209,0.00001241,0.00001116,0.00001128,7679768.00000000,2019-05-31 08:59:59.999,91.00147286,8113,3975609.00000000,47.25877884,0
8,2019-05-31 09:00:00.000,0.00001128,0.00001191,0.00001103,0.00001136,4859551.00000000,2019-06-01 08:59:59.999,55.25421878,5301,2675872.00000000,30.40801820,0
9,2019-06-01 09:00:00.000,0.00001141,0.00001150,0.00001093,0.00001099,3205065.00000000,2019-06-02 08:59:59.999,35.81833302,2659,1441816.00000000,16.11097745,0
10,2019-06-02 09:00:00.000,0.00001100,0.00001135,0.00001092,0.00001125,2442076.00000000,2019-06-03 08:59:59.999,27.19458527,2392,1226783.00000000,13.66538453,0
11,2019-06-03 09:00:00.000,0.00001119,0.00001186,0.00001096,0.00001107,6112050.00000000,2019-06-04 08:59:59.999,68.87584729,5507,2918084.00000000,32.88096419,0
12,2019-06-04 09:00:00.000,0.00001111,0.00001141,0.00001073,0.00001093,4609143.00000000,2019-06-05 08:59:59.999,50.59701487,4641,2187177.00000000,24.04922502,0
